forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:36:44+00:00,2025-11-05 00:00:00+00:00,291.80148,276.3401,279.86575,340.0168,139.08571,207.89717,220.91429,224.9999,203.6294,183.814,155.55606,145.71307,131.82008,127.875046,159.44388,180.0,237.52882,243.43501,120.96369,138.01286,135.97093,129.47243,104.03627,66.80139,137.20262,162.47433,188.13002,241.11351,284.22598,290.72565,298.12363,298.12363,299.3099,297.3498,296.1468,302.2756,302.3998,297.01257,298.68604,298.41257,300.46545,297.8972,296.56497,296.11386,293.86017,288.43503,270.0,279.09018,285.94547,258.6901,224.9999,213.6901,199.65392,197.35411,190.00792,201.80147,186.70975,176.82024,176.98727,168.11136,174.55975,164.3577,164.3577,169.99208,164.87595,158.19853,161.20001,157.3801,170.21767,164.47583,166.86597,176.186,165.52966,159.67677,169.3804,171.6342,169.6952,168.69011,156.80138,159.44388,164.93146,171.86998,190.95403,177.27374,180.0,174.80566,196.9276,223.02507,273.17978,317.29062,349.99207,342.47433,343.0724,343.73972,341.56494,338.74942,349.99207,345.06854,351.2539,12.99463,349.69522,15.255177,8.746089,44.999897,44.999897,44.999897,90.0,80.53775,129.80553,96.340096,90.0,147.52882,112.61991,135.0001,124.50858,124.50858,126.25393,128.15727,132.70937,139.76372,144.46223,135.0001,120.963684,129.80553,185.44025,210.25635,218.65982,222.97864,228.62158,234.46223,239.42085,242.928,247.5572,251.56496,254.40712,259.46088,265.23645,268.977,270.9548,270.0,267.7543,266.186,268.60284,271.5074,271.5911,261.87,248.74942,239.74365,238.13406,238.13406,238.13406,234.78232,232.25313,229.39879,229.76372,233.84172,240.2552,248.74942,255.96373,259.8754,264.19336,268.05856,268.99493,263.15732,251.14674,240.2552,239.26459,242.90453
2025-11-06 02:27:17+00:00,2025-11-06 00:00:00+00:00,317.86246,38.65983,322.12494,303.6901,280.53912,302.57404,297.0505,297.09546,295.51382,294.44394,294.10223,292.30624,291.3707,295.40768,297.84747,297.80136,296.13095,297.01257,297.47433,292.8906,289.50253,286.31393,291.03757,287.81897,274.76355,279.46225,271.90912,287.81897,285.06854,277.76508,279.46225,341.56494,100.619606,110.22495,124.3804,150.2552,151.55717,144.6887,166.9081,161.93944,160.55988,154.69865,149.38147,144.34459,150.9455,157.249,151.47697,153.43501,155.63756,195.6423,194.62091,189.46225,184.39862,185.5721,191.30989,191.0035,201.5015,208.88649,217.18478,214.28693,215.83774,211.42952,236.97612,274.23633,287.24155,299.98157,334.53668,350.53775,348.11136,346.75946,348.6901,347.90527,360.0,14.036275,33.6901,10.304792,44.999897,26.564985,11.3098955,56.309914,68.19853,14.036275,270.0,90.0,111.801476,161.56496,127.875046,145.0079,135.0001,144.46223,150.64235,125.537766,135.0001,139.28925,144.6887,149.88635,169.99208,161.56496,163.49556,152.24155,145.30478,131.98714,135.0001,147.26479,166.75948,155.22488,192.5288,209.7448,281.3099,270.0,270.0,260.53775,257.19574,276.91113,297.3498,299.0545,300.57913,303.6901,303.6901,302.27563,301.75943,301.32864,300.96368,300.96368,299.4758,298.8107,295.20108,292.6199,285.94547,261.87,246.80138,247.06787,247.93205,250.82089,254.74483,257.96942,262.8751,268.2101,272.72626,273.814,273.0664,272.20255,271.14572,270.0,267.45526,258.9965,242.52565,224.9999,221.98714,224.9999,223.72705,214.15974,202.38017,194.7436,193.32454,194.03627,195.52417,195.75124,198.03438,199.57321,203.35558,207.64589,210.96368,211.60745,209.42737,208.92633,211.42952,214.07724
2025-11-07 02:25:36+00:00,2025-11-07 00:00:00+00:00,267.79745,284.03625,297.8972,306.25394,322.12494,348.6901,360.0,54.46224,63.435013,82.875084,68.19853,93.814,115.01687,132.70937,150.5242,154.23073,168.69011,153.97047,147.99466,144.46223,145.24402,144.6598,154.04129,156.80139,157.61983,153.90463,155.55606,167.125,120.57915,135.0001,123.23173,143.13002,148.73633,128.04709,135.0001,148.39255,165.96373,138.36655,255.06853,293.70264,292.20352,296.0753,297.64587,299.8988,296.56497,297.8972,305.53775,312.39737,306.86996,335.55606,343.3007,18.435053,21.801476,35.537766,44.999897,135.0001,149.03632,104.03627,104.03627,116.56499,116.56499,135.0001,143.74608,158.4985,152.59251,161.24126,159.92839,164.21918,155.82089,149.62096,152.52565,153.43501,158.68202,150.39565,159.44388,169.50858,167.4712,183.3664,142.12495,116.56499,90.0,30.963696,18.435053,316.8476,327.99466,352.87506,309.47244,323.74606,310.60123,310.60123,313.53125,307.23492,298.4428,301.60745,296.56497,295.20108,275.19434,258.6901,294.44394,315.0001,303.6901,298.61035,297.75842,299.74478,284.74362,274.63538,278.53067,276.78888,276.78888,278.32556,275.94678,271.1691,272.43658,267.6141,261.87,256.55136,249.90468,242.176,236.3099,228.81418,219.55963,208.1785,198.92474,195.37631,195.25517,196.9276,198.43504,201.19412,203.7495,205.2011,204.36244,202.3287,201.97456,203.57472,207.01259,210.25635,213.40784,215.88223,218.04709,218.33337,216.86998,217.11694,220.60121,224.9999,228.36655,228.69148,228.23979,227.4896,229.18501,232.69597,238.24055,248.19853,264.2895,275.44025,279.46225,277.8532,278.36578,279.68872,281.76825,283.78162,286.79846,291.41302,294.1791,295.08356,295.01685,294.94388,295.46332,294.34106
2025-11-08 02:14:53+00:00,2025-11-08 00:00:00+00:00,145.37578,161.82188,161.56496,163.81073,97.76508,125.753975,146.82147,136.16905,149.30035,148.73633,131.00899,143.53067,210.96368,77.735245,264.47256,296.56497,296.56497,292.78244,299.60434,299.74478,296.56497,307.74686,332.52567,326.3099,306.25394,323.97253,287.1028,275.19434,349.99207,4.763556,25.346138,22.833694,335.55606,303.6901,355.23645,315.0001,321.34018,218.65984,140.19447,104.03627,71.564964,81.86999,333.43503,49.398785,71.564964,360.0,68.19853,308.65982,220.36446,134.14499,152.35411,159.14546,139.51407,151.85849,160.64091,160.25307,156.80139,160.82089,138.01286,104.03627,143.13002,81.86999,143.13002,338.19852,347.00537,307.56866,311.82007,319.0857,325.4914,313.1524,298.61035,309.28937,311.63345,307.87503,298.30066,299.74478,290.55612,270.0,296.56497,101.3099,101.3099,153.43501,224.9999,236.3099,240.2552,251.56496,257.90524,264.55975,274.39862,273.57626,271.5074,273.01273,285.12405,275.19434,267.33704,268.727,273.50345,274.48453,279.46225,274.63538,270.0,248.19853,176.82024,176.6336,176.98727,167.90526,168.69011,167.73524,172.87508,194.47034,197.96924,198.88618,197.10281,195.37631,196.14441,193.32454,190.71307,189.46225,194.82652,204.30453,211.26367,214.21576,217.30403,216.38445,213.6901,206.56499,201.25058,198.43504,195.52417,196.38962,201.80147,211.60745,227.4896,241.1893,249.86362,255.96373,263.82993,274.89902,284.47034,289.79895,291.25058,292.6199,282.5288,254.05453,236.3099,236.3099,246.80138,263.6599,284.03625,293.6294,300.46545,302.7352,299.0545,300.96368,315.0001,341.56494,341.56494,329.74365,321.70978,319.9698,320.59937,322.52374,323.74606,323.8417,324.46225,323.74606,321.34018,321.34018
2025-11-09 02:36:11+00:00,2025-11-09 00:00:00+00:00,17.650223,27.552727,284.03625,265.23645,270.0,289.6539,317.72638,274.76355,288.43503,278.13,289.9832,224.9999,218.65984,263.6599,285.25516,141.34016,164.74483,278.13,149.74365,246.0375,137.4896,116.56499,266.42374,295.01685,258.6901,294.77512,280.30478,209.93143,184.63538,215.21768,177.6141,180.0,216.86998,155.37645,133.72705,175.42616,110.55612,263.6599,311.98712,296.56497,303.02386,342.47433,355.42615,345.9637,357.79745,354.95764,355.81516,358.21014,355.42615,319.39877,303.6901,296.56497,306.86996,307.87503,306.02747,293.9625,315.0001,315.0001,333.43503,333.43503,347.4712,312.70938,300.57913,295.34613,295.46332,290.85452,287.2816,286.6993,282.17145,282.01144,285.46127,284.57425,284.57425,290.43292,290.28265,284.03625,278.32556,280.71307,281.3099,185.19434,172.87508,180.0,169.99208,171.02745,163.61038,190.78426,205.01686,200.92458,200.72563,203.9625,199.9832,191.30989,184.08554,177.79745,160.70985,167.19574,172.56868,180.0,199.9832,213.6901,208.30066,207.89717,206.56499,234.46223,203.19862,26.564985,21.801476,324.46225,274.76355,287.52567,299.98157,291.80148,292.3802,294.10223,291.25058,289.9832,286.50443,283.39252,281.3099,277.1249,251.56496,198.43504,194.03627,201.80147,218.65984,230.19447,243.43501,254.05453,270.0,291.80148,291.80148,281.3099,293.1986,308.15726,315.0001,315.9391,317.5638,317.5638,317.64258,316.9749,317.38596,315.0001,313.0251,311.98712,310.60123,309.8055,305.53775,310.60123,315.0001,318.81415,322.12494,322.12494,326.3099,323.13,315.0001,296.56497,288.43503,309.8055,316.33215,316.9749,315.90927,312.27362,311.18582,312.8789,318.81418,323.13,321.8427,315.0001
2025-11-10 02:27:23+00:00,2025-11-10 00:00:00+00:00,293.1986,326.3099,255.96373,252.64589,230.19447,270.0,360.0,319.7637,36.86999,41.185837,255.96373,150.9455,146.3099,60.255207,323.13,311.63345,300.96368,285.25516,306.02747,290.55612,303.6901,280.08054,292.71445,285.25516,284.5345,292.751,298.61035,297.8972,299.35767,292.83368,296.56497,295.01685,250.34608,224.9999,240.94548,241.8215,237.99466,242.81897,243.9967,245.13632,247.96371,245.46228,247.28555,267.70944,274.08554,268.89832,273.3664,270.0,278.47107,287.47485,282.09473,281.5138,281.53458,279.46225,282.33908,239.0363,188.53069,183.01273,183.01273,180.0,165.06853,190.3048,211.82741,212.34741,217.74687,217.74687,221.87778,222.79738,210.65059,198.43504,177.5105,167.73524,173.99109,173.6599,195.94547,212.47118,184.39862,176.42374,189.46225,194.93147,229.08571,204.44394,251.56496,245.22488,251.56496,270.0,262.40546,292.16638,294.30453,295.82092,300.37906,300.65057,301.75943,296.56497,270.0,254.05453,240.2552,246.80138,240.2552,264.2895,259.69522,254.74483,251.56496,241.38963,232.12495,221.98714,224.9999,216.02747,224.9999,270.0,299.74478,299.5387,305.75397,306.46933,301.75943,309.09384,320.1945,337.3801,344.7448,347.4712,352.87506,7.12493,20.556128,23.962492,21.801476,18.435053,12.99463,4.398633,350.53775,340.0168,333.43503,326.3099,325.0079,330.25522,332.24155,333.43503,331.8215,328.4958,327.52884,327.99466,331.11353,333.43503,334.44006,338.19852,336.3706,329.74365,311.18582,293.9625,296.56497,305.53775,319.39877,326.3099,325.0079,323.97253,321.34018,318.81415,323.13,335.55606,345.06854,344.47583,333.43503,320.52756,313.26434,313.0251,315.0001,327.52884,350.53775,15.945477
2025-11-11 02:17:27+00:00,2025-11-11 00:00:00+00:00,277.76508,293.1986,294.44394,299.4758,297.18103,289.9832,309.09384,61.189304,104.743614,136.73567,163.61038,157.1663,188.13002,206.56499,233.61555,276.58185,292.47946,287.96924,281.88864,285.52417,282.5288,276.58185,102.09474,258.6901,270.0,268.36346,279.16226,273.17978,262.5687,263.4803,257.73523,127.568665,144.6887,156.80139,157.61983,148.73633,150.2552,160.0168,173.82993,180.0,175.81517,168.3664,149.74365,158.5522,155.22488,155.85446,151.11351,147.26479,140.19447,212.27562,210.96368,208.61037,198.43504,214.69522,213.6901,216.86998,231.34016,261.87,257.4712,243.43501,224.9999,224.9999,255.96373,278.53067,274.96964,267.3975,275.7105,290.22495,270.0,270.0,279.7275,281.3099,279.46225,260.53775,228.81418,214.9921,214.9921,232.12495,233.13002,232.12495,254.74483,280.6196,280.6196,266.186,270.0,286.38962,298.1785,306.86996,306.3269,310.1559,312.9546,319.23648,319.9698,318.01288,315.0001,296.56497,302.00534,336.0375,341.56494,339.44388,323.13,322.12494,323.97253,318.01288,315.0001,315.0001,315.0001,321.34018,327.52884,330.64233,315.0001,318.94528,317.91092,315.97092,315.97092,316.04153,316.16904,316.3971,316.8476,317.72638,315.0001,306.86996,288.43503,243.43501,206.56499,180.0,180.0,189.46225,188.13002,192.5288,191.30989,185.7105,180.0,171.86998,164.47583,158.19853,152.24155,145.49142,143.74608,149.53453,157.1663,163.30067,165.96373,169.6952,164.05453,144.46223,131.63345,126.027466,120.96369,108.43504,44.999897,320.1945,309.8055,307.40543,313.1524,325.4914,332.1028,329.9315,325.71307,323.13004,322.43134,322.12497,323.13,323.47104,325.78424,326.88864,326.97614,323.13
2025-11-12 02:20:12+00:00,2025-11-12 00:00:00+00:00,270.0,264.80566,277.90707,274.96964,265.36462,264.80566,266.42374,246.3706,131.63345,162.18102,165.2564,148.73633,132.27362,148.39255,170.53775,171.57312,172.56868,176.30869,171.25392,152.24155,148.67137,139.89915,139.39879,143.97253,140.71062,141.009,128.65984,150.2552,161.56496,150.2552,168.69011,183.01273,180.0,162.64589,206.56499,123.690094,296.56497,290.85452,293.49857,298.8107,293.7495,293.1986,299.74478,298.1785,297.3498,293.1986,293.1986,296.56497,294.14554,270.0,232.12495,233.13002,240.94548,236.3099,229.39879,234.46223,246.0375,251.56496,294.44394,299.0545,308.65982,307.6943,307.47626,308.8845,311.05472,303.34073,301.1849,305.21768,308.15726,315.0001,327.99466,278.13,270.0,306.86996,270.0,277.1249,305.53775,327.99466,315.0001,315.0001,322.12494,326.3099,329.03632,299.74478,315.0001,315.0001,318.01288,310.0302,306.25394,304.50858,310.426,313.7812,307.30402,309.8055,303.6901,44.999897,224.9999,180.0,180.0,150.2552,150.9455,135.0001,169.3804,121.60746,135.0001,198.43504,156.3706,153.43501,189.46225,219.80553,217.87505,219.80553,224.9999,285.94547,312.5104,297.47433,288.43503,286.09088,289.50253,295.34613,300.69965,295.90643,288.03436,284.03625,282.65256,283.17255,283.44864,286.1135,289.23077,292.0363,292.0363,290.40997,289.9832,291.80145,294.0755,295.60214,296.09537,297.0308,297.5119,297.5972,296.56497,295.8663,295.76926,296.56497,294.22772,281.3099,250.0168,214.9921,202.6199,197.10281,197.10281,197.10281,192.99461,194.03627,194.03627,180.0,270.0,270.0,243.43501,254.05453,291.80148,310.60123,318.57642,321.34018,329.03632,341.56494,348.6901,348.6901
2025-11-13 02:38:12+00:00,2025-11-13 00:00:00+00:00,133.66785,136.46873,149.34941,147.99466,182.72626,202.8337,146.3099,123.6901,128.65984,180.0,306.86996,57.99466,75.96373,123.6901,296.56497,294.14554,295.8663,293.1986,287.81897,295.1148,293.9625,285.94547,290.55612,295.5599,301.32864,293.80594,295.1148,290.37653,296.56497,297.2995,294.90472,293.1986,293.1986,297.4075,294.90472,291.80148,292.47946,298.0724,298.61035,296.56497,296.56497,298.30066,304.43906,306.02747,304.1145,303.6901,308.4181,312.614,301.5042,281.3099,284.03625,282.5288,270.0,270.0,282.5288,299.0545,290.55612,293.9625,299.74478,284.03625,305.53775,299.0545,298.61035,308.65982,312.8789,310.2363,311.98712,302.47116,285.94547,306.86996,224.9999,150.9455,143.13002,161.56496,139.76372,162.64589,162.89719,136.8476,144.46223,158.19853,162.3498,166.86597,169.8754,171.46931,187.12492,210.96368,231.34016,313.26434,292.06796,298.1415,296.56497,289.44012,295.60214,278.74606,283.17255,294.34106,288.43503,286.6993,282.4074,281.3099,277.59454,273.814,276.48297,278.74606,279.21094,273.01273,276.3401,278.32556,276.78888,270.0,270.0,283.34872,284.5002,285.94547,286.22028,286.50443,287.1028,286.38962,285.6423,284.85864,284.03625,283.44864,284.03625,283.39252,282.68036,281.88864,280.0079,276.3401,270.0,261.87,251.56496,243.43501,251.56496,272.6025,287.3541,292.83368,294.67685,296.56497,297.4075,299.74478,305.53775,307.87503,296.56497,281.3099,264.80566,248.19853,228.81418,213.6901,206.56499,206.56499,201.80147,191.30989,189.46225,189.46225,189.46225,191.30989,224.9999,285.94547,298.30066,305.21768,306.86996,306.02747,306.02747,303.6901,300.25635,285.94547,260.53775,246.80138
2025-11-14 02:21:07+00:00,2025-11-14 00:00:00+00:00,329.03632,272.4895,71.564964,114.44395,201.80147,290.55612,283.39252,285.25516,288.43503,289.44012,295.01685,336.0375,18.435053,305.21768,303.17853,303.6901,300.06848,301.1849,313.1524,325.56094,313.7812,304.9921,301.75943,306.86996,289.9832,307.56866,327.26477,324.78232,315.0001,320.52756,311.63345,315.0001,318.1799,312.1375,321.34018,323.13,316.63654,316.8476,323.13004,311.98712,293.9625,284.03625,254.05453,75.96373,109.653915,151.1893,135.0001,183.17976,142.76509,145.30478,156.0375,126.027466,142.43134,143.97253,140.19447,153.43501,162.89719,168.69011,171.25392,186.3401,279.78235,288.43503,303.17853,285.25516,291.80148,301.1849,296.0033,287.0206,297.0308,297.12122,301.60745,290.95584,286.5874,285.46127,280.84027,279.0394,278.32556,272.86234,275.31445,272.6025,272.6025,271.39716,273.01273,273.094,273.094,268.56793,270.0,272.2457,278.58353,279.2932,281.72507,282.5288,283.24054,285.1541,286.46008,290.55612,288.9705,279.09018,270.0,265.42615,274.08554,272.12103,267.95465,246.3706,208.07239,206.56499,199.9832,210.96368,201.80147,219.80553,274.57382,277.49576,277.49576,279.21094,278.13,283.13403,290.55612,293.9625,282.09473,243.43501,212.47118,202.6199,201.80147,203.9625,206.56499,206.56499,206.56499,203.9625,201.80147,199.9832,194.03627,184.39862,195.25517,255.96373,285.6423,292.98874,295.1148,296.56497,296.56497,288.43503,270.0,231.34016,224.9999,248.19853,260.53775,251.56496,231.34016,224.9999,224.9999,224.9999,224.9999,224.9999,224.9999,224.9999,209.7448,191.30989,191.30989,231.34016,293.9625,307.56866,302.00534,290.22495,281.88864,281.3099,288.43503,306.86996,323.13,329.03632
