forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:40:50+00:00,2025-11-05 00:00:00+00:00,-2.3791916,-3.164382,-3.4716425,-3.8505478,-3.2842057,-3.3169594,-2.8780718,-3.7531412,-4.2528,-4.43078,-4.4782395,-4.4782395,-4.014669,-1.7773477,-0.4669044,-0.12029148,0.9121955,-0.22904575,1.6018413,1.6057568,2.3124015,2.5053232,1.6247934,2.3603086,1.835886,3.7401025,5.1296706,5.356576,5.8607173,3.1512718,1.3355436,0.7956843,0.269853,0.5993659,0.5502863,-0.21963002,-1.9110188,-1.3163917,-1.6311113,-2.1128812,-1.7756102,-1.8237777,-1.438451,-1.5829458,-1.6362729,-1.0665293,-2.2365403,-2.0154636,-1.4130653,-3.6365678,-3.983374,-4.427549,-4.8277206,-5.0299335,-4.7426014,-4.6857796,-4.9390035,-4.764015,-4.7778587,-4.616983,-4.054899,-3.6883814,-3.1965387,-2.053863,-1.3874269,-1.5303664,-1.1160936,-0.29516104,0.17897375,1.1148992,2.4046972,3.8234026,4.4932528,4.98968,5.2378907,5.4364586,5.4861,5.5890756,5.591158,5.6409817,5.7406273,6.039567,6.3378506,6.5872626,6.8366737,7.634787,8.676226,9.667617,9.7861595,9.859331,9.466418,8.851685,9.009174,7.6268373,5.4311404,5.23282,4.741467,4.695241,4.5946836,4.2957387,4.192883,4.043233,4.043233,4.1429996,4.1429996,4.242767,4.2926497,3.6493099,4.048302,4.14575,4.3443236,4.7802405,5.138607,5.5798793,6.130933,6.3545475,6.4789186,6.4369593,6.3385043,6.188204,6.2356234,6.335507,6.437615,6.637144,6.936438,7.1359673,6.63744,4.741467,2.2496238,0.104332246,-0.88123745,-1.3679211,-1.7758545,-2.2277646,-2.8694284,-3.762776,-4.774654,-5.594169,-6.377026,-6.972516,-7.116661,-7.023724,-6.5510497,-5.673259,-5.3189683,-5.536341,-6.130575,-6.6624293,-7.0674844,-7.192835,-7.1396375,-6.4408274,-5.6351633,-4.8811893,-4.421922,-4.080575,-3.7854872,-3.6939027,-3.6727326,-3.7836268,-3.8771124,-3.5158439,-2.887355,-1.0691061,0.47892833,1.1614462,0.666803,-0.6188541
2025-11-06 02:32:37+00:00,2025-11-06 00:00:00+00:00,2.2901819,2.6456072,2.7964106,2.8960943,2.6474733,2.344791,1.6329768,0.83460164,0.41753164,0.41753164,0.09546242,-0.9586368,-0.34803712,1.6538975,0.15132944,-2.4004972,-1.3544014,-3.1907165,-2.3046231,-2.5108035,-1.0923096,-2.7350228,-2.6380596,-2.4396086,-2.3611944,-2.4315557,-3.039619,-4.3771505,-4.7073216,-4.434903,-3.978313,-3.4052725,-3.3566527,-3.4810295,-3.2594147,-3.1621778,-3.0649414,-2.170313,-1.9257318,-0.24557962,1.4633775,1.8091335,1.442166,-0.40251452,-0.13251917,0.09954137,1.7791996,1.7791996,2.1015246,3.636917,4.462774,5.0313053,5.3545785,5.3545785,5.6294584,5.783948,6.036398,6.181076,6.4837146,6.677479,6.43815,7.322792,7.9663396,7.8334074,6.9966755,6.2008805,7.783941,7.828216,8.205347,7.2065444,6.387196,6.2352057,5.9393315,5.3919353,5.093353,4.8435283,3.9985375,4.4436097,4.096441,4.396193,4.5453053,4.9938254,5.5413346,4.2957387,5.2922173,5.783948,6.2657595,6.9201064,7.2446733,7.343574,8.017158,8.005165,8.173536,7.734551,7.1854863,6.8350577,6.8813257,7.428035,7.8829947,8.231746,8.082282,7.4345984,8.27814,8.477183,7.733529,7.733529,7.9328165,8.432893,8.431032,8.725985,8.802381,8.449909,8.925927,7.85022,6.821463,6.144818,5.513841,4.879278,4.340361,3.748598,2.9050417,1.2150054,-0.86861694,-2.358173,-2.9540133,-3.102975,-3.2962246,-3.6865256,-4.286215,-4.644403,-4.7349443,-4.926177,-5.0299335,-5.4655843,-6.41911,-7.193672,-7.570639,-7.713713,-7.815395,-7.429489,-7.0685015,-6.647661,-6.4827394,-6.435345,-6.16238,-5.796429,-5.4703803,-5.0558844,-4.114843,-2.957149,-2.1081066,-2.1625652,-2.5227172,-2.7910445,-2.8054283,-2.889474,-2.7874186,-2.759517,-2.5820758,-2.3976426,-1.9766887,-1.2491983,-0.5169087,-0.12947807,0.19224621,0.5407588,0.96700907,1.2575654
2025-11-07 02:30:36+00:00,2025-11-07 00:00:00+00:00,-3.9194198,-2.9741132,-3.8385556,-4.270825,-4.226215,-4.0005565,-3.5590765,-3.2594147,-3.3080337,-3.4324806,-3.3080337,-3.0883071,-3.7362804,-3.317136,-2.8848476,-2.7289617,-2.2007375,-0.66322565,-0.2562806,-0.40261644,-0.35556123,-0.5235819,-1.4080926,0.081736036,0.33840725,2.7037275,3.5633464,3.6768112,4.6253242,4.967818,5.793091,5.9406724,5.8754315,5.3995304,3.4658988,3.670086,4.2579618,5.702678,6.618229,4.1301713,3.5070014,2.9341617,1.8575957,0.85110897,0.027420236,-0.85980874,-1.7334546,-2.3644795,-2.7528272,0.047105465,-0.24318525,-0.37531593,-0.6024202,-0.81519365,-0.62197524,-0.7982257,-1.1166668,-1.1705434,-1.2198877,-1.097244,-0.9624499,-0.4968793,0.254927,1.49034,2.60233,3.150923,3.5492103,4.3517294,4.8057523,5.019293,5.1925693,5.0430984,4.9440618,5.2423935,5.3918643,5.3421717,5.4416986,5.5909886,5.6407523,5.7891426,5.7891426,5.836091,5.8860326,5.8860326,5.8860326,5.839025,3.7994778,1.4622673,1.6005205,0.9017937,1.0623289,1.0161734,1.1652977,1.3560438,1.2996027,0.60121286,-0.22654986,-0.7664638,-1.7623427,-2.20286,-3.3421288,-3.9409626,-4.4865203,-5.026357,-5.274047,-5.3235855,-5.7737417,-6.4543757,-7.024158,-7.2260146,-8.777121,-9.399311,-9.410936,-9.601732,-9.165746,-8.026405,-6.781109,-5.375284,-4.079065,-3.1324553,-2.7075076,-2.9686282,-3.4451408,-3.7275677,-3.7135649,-3.3403318,-3.1951241,-3.0983205,-3.0499187,-3.085279,-3.351659,-3.594197,-3.720355,-3.3094978,-2.549023,-1.7886719,-1.1013047,-0.42040327,0.2737949,0.6801199,0.8749557,1.3048975,2.0895045,2.8992066,3.4366658,3.486125,3.3192239,3.1592274,3.1218941,3.1399112,3.1503742,3.2032762,3.052997,2.8009934,2.1476417,1.1998333,0.51488197,0.16170058,-0.30474332,-0.9470326,-1.6422977,-2.2918987,-2.5143692,-2.3892457,-1.9674134,-1.8930149,-1.9442024,-2.2277796
2025-11-08 02:19:16+00:00,2025-11-08 00:00:00+00:00,-0.74663574,2.3427505,4.594362,4.796934,5.041913,5.038179,5.531856,5.433869,4.7214274,4.7704906,4.136028,2.9248972,4.72318,6.303211,4.7307086,4.4272633,3.8069615,2.9406717,1.8362609,0.77672523,-0.041837078,-0.26331437,-1.4510337,-1.7035202,-1.5393027,-1.6849161,-1.9468067,-2.7474957,-2.893556,-2.8704727,-2.990931,-2.7517865,-2.7517865,-2.870356,-2.7029614,-2.292935,-1.1794254,-0.67675126,-0.14106663,0.06275945,0.659267,1.0569339,1.3067913,1.7955632,2.0856242,1.986825,0.092376195,0.14139158,0.53894985,3.0535731,3.4020977,3.650624,4.192883,4.392417,4.4452105,4.59195,4.7939796,5.1928806,5.142746,5.3918643,5.2423935,5.989094,6.387196,6.735038,7.086085,7.233153,7.3847756,6.9348035,6.5352716,3.1995952,1.5315001,0.5921552,-0.24683812,-0.93600684,-1.4342885,-3.4894485,-2.3810337,-3.0903528,-5.0359592,-6.1183095,-5.370838,-5.5203323,-5.869151,-5.9189825,-5.9553795,-4.4369235,-4.187762,-4.612099,-4.3731575,-4.6473336,-4.1994424,-4.3455267,-4.6375494,-4.910923,-5.619931,-5.711373,-5.366092,-4.723669,-4.822511,-5.0790997,-6.272453,-7.2489634,-7.6394076,-7.589985,-7.0434422,-6.1550274,-5.2202845,-4.741596,-3.841771,-2.261133,-1.4183686,-0.39779267,-0.6513715,-0.01594684,0.5372496,1.1119823,1.6097702,1.8906654,1.9314998,1.7907803,1.6986808,1.9481039,2.440033,2.689745,2.6464849,2.356272,2.2091527,2.2091527,2.4060378,2.5518663,2.5966003,2.5467165,2.5518663,2.502275,2.5395162,2.3335085,2.3052187,2.3823085,2.3342607,2.0972576,1.6418573,1.2146401,0.81946886,0.32025293,-0.03257073,-0.3380733,-0.49626622,-0.69580907,-0.6459234,-0.49626622,-0.4463805,-0.7865229,-1.3698881,-2.0602567,-3.0600975,-4.038208,-4.7230363,-4.577082,-4.191047,-4.018007,-4.1213384,-4.0700555,-4.1180863,-3.9918697,-3.8341093,-3.8976543,-4.0061226,-4.1340313
2025-11-09 02:40:23+00:00,2025-11-09 00:00:00+00:00,-3.2705207,-2.8835444,-3.5580332,-3.6470017,-3.185684,-3.1629012,-3.5295784,-3.7362804,-4.0970755,-2.8804219,-2.2673955,-1.7002673,-0.1808531,0.11246869,0.66158664,1.0569339,1.7817906,2.0388935,2.3311582,2.6956775,3.7907915,3.838951,2.1756713,2.1844213,2.0046587,2.509863,2.4938881,2.9839342,2.9103105,3.5928974,4.7713275,4.862024,4.6123815,4.4296074,5.104354,6.265064,6.2046943,6.6086245,6.9928184,8.743884,9.772235,9.741001,8.555842,6.664615,4.740917,3.1996264,1.7215254,1.0976217,0.756829,1.4911246,0.692041,-0.5373839,-0.7456949,-1.2768029,-1.6436429,-2.0926194,-2.242279,-2.5914853,-2.8409185,-3.1783025,-3.9146724,-4.581579,-5.511604,-5.2767143,-5.439801,-5.0745654,-5.0048113,-4.3942223,-4.714515,-5.0955276,-5.019794,-5.4184737,-5.6620793,-5.6620793,-6.307848,-6.942817,-5.712015,-4.5857134,-4.3823743,-4.3443475,-5.297245,-5.7843957,-6.082344,-6.082344,-5.6354227,-2.957149,-1.5507971,-0.91728044,-0.93301535,-0.009175756,-0.3657556,-0.12310784,0.57654643,0.37355125,-0.82887584,-0.32246244,0.7508683,0.941755,1.141526,1.1998333,1.3494875,1.59101,1.9406081,1.9406081,1.9041319,0.0025893787,1.6409527,1.2414113,1.0002935,0.9686069,0.5738163,-0.8996063,-0.8238003,-0.25607046,-0.09102727,0.08844676,0.0031679205,-0.28988862,-1.3613479,-2.6623948,-3.82609,-4.287645,-4.523714,-4.6233754,-4.872529,-4.9361844,-5.0359592,-4.901629,-4.751797,-4.4871955,-4.1953807,-3.7366207,-3.5264704,-3.2312589,-3.104808,-2.8411791,-2.6470006,-2.4727979,-2.397934,-2.2547607,-2.2668755,-2.2387426,-2.3752477,-2.4649317,-2.507555,-2.6061249,-2.6061249,-2.8587048,-3.2600877,-3.6533678,-4.153415,-4.497104,-4.8899026,-5.184509,-5.479122,-5.5707645,-5.577328,-5.315797,-5.026006,-4.7157965,-4.6453624,-4.318024,-4.231649,-3.9739966,-3.8412204,-3.768373,-3.686751,-3.5264704
2025-11-10 02:32:40+00:00,2025-11-10 00:00:00+00:00,2.19622,2.5960224,2.0171564,3.0320897,3.271162,3.4090083,3.6556654,3.316875,3.1799471,2.8882408,3.4456897,3.7908304,3.7543268,5.328239,6.1721406,6.592907,7.355125,7.4164147,7.68933,7.0995426,8.547722,8.187895,6.6529717,4.14897,1.5617934,0.9824257,1.3054739,0.05947582,0.1717971,0.4896741,0.18390873,-0.5938572,-1.3944749,-1.8529259,-3.316693,-3.335384,-3.383932,-4.0970755,-5.569396,-5.665006,-5.422083,-5.517851,-5.087419,-4.627956,-4.9658103,-6.476628,-6.240452,-7.39723,-7.581493,-5.9515777,-5.757796,-3.8342192,-4.095821,-4.3007097,-4.384669,-4.9234195,-5.4864507,-5.825661,-5.974458,-5.368718,-5.2381635,-2.7602608,-1.8153676,-1.403349,-1.2237862,-0.5770489,-0.59379643,-0.061380778,0.5913412,0.30143923,0.07601896,0.16020067,-0.5960375,-1.4440984,-1.4939845,-0.38790092,0.22478552,-0.03910855,-0.18859078,-1.094896,0.110373415,0.6086442,1.1652977,1.3560438,1.59101,1.9539574,0.8364053,0.08459662,-0.18048286,0.63795257,0.41069165,0.7660026,0.68936795,0.16170058,-0.48049083,-0.98583466,-1.3346318,-1.7933015,-1.8431878,-2.1923928,-2.1425061,-2.9406922,-3.4274504,-2.4635448,-1.811995,-0.9722016,-1.0356628,-2.9406922,-1.2270329,-0.9150528,-1.1898474,-2.081958,-3.0149543,-3.110971,-3.2112708,-2.6889992,-2.130258,-1.8742925,-2.499171,-3.5498643,-4.4621716,-5.0220213,-5.5571866,-5.7562833,-5.7562833,-5.744689,-5.6452565,-5.744689,-5.9435544,-5.993271,-5.9056053,-5.8060565,-5.5361075,-5.2265964,-4.9078383,-5.0827694,-5.298027,-5.798518,-5.798518,-5.4401755,-5.126171,-4.825286,-4.783219,-4.8324914,-4.7938533,-4.6660786,-4.341634,-4.2819014,-4.3791776,-4.642284,-4.91013,-4.9721904,-5.109223,-5.158996,-5.3210077,-5.5701637,-5.7843957,-5.970159,-6.3569865,-6.6380296,-6.7392063,-6.4942994,-6.1202946,-5.417796,-4.6986613,-4.540309,-4.5953026,-4.822511
2025-11-11 02:21:43+00:00,2025-11-11 00:00:00+00:00,2.7427392,1.6534272,-0.5277327,-1.0807372,-0.87443835,-2.3457603,-2.728194,-2.6298795,-2.4245708,-3.5330157,-3.9553545,-4.332118,-4.3810854,-4.7049737,-4.5584717,-4.333171,-4.381935,-5.034747,-5.0833054,-5.301653,-5.642073,-5.863969,-5.9913,-6.218956,-6.740672,-6.449469,-6.009289,-5.340653,-5.3495374,-5.2915516,-5.7825813,-5.458416,-5.9425273,-5.71786,-6.1770477,-7.910696,-6.906613,-3.3983984,-1.0872289,-0.84958637,-0.6637324,-0.5786049,-0.024793517,0.2432928,0.4059913,0.20215961,0.054137647,-0.052369572,0.046185177,-0.43772855,0.1740341,0.6214925,1.0677097,1.2166537,1.3609338,1.3494875,0.692041,0.18150002,-0.30681804,0.3096821,0.0025893787,0.57190436,-0.31722528,-0.65854084,-0.14642034,-0.04965674,0.37531802,0.7351451,1.1107357,0.7201719,0.34244078,1.1914686,0.45916325,-0.17351277,-0.32070202,-2.222439,-3.6267698,-4.038208,-3.3896747,-4.3874207,-5.3851757,-5.784279,-5.6199946,-2.9291549,-3.6391103,-2.2518134,-2.596524,-2.5499132,-2.1446338,-2.2755399,-1.8408345,-1.86242,-2.032753,-2.6314728,-3.3911657,-3.9338987,-3.74258,-3.6888723,-3.6859798,-3.9330463,-4.4766035,-4.822511,-5.3159237,-5.9096875,-6.413452,-6.4704533,-6.512533,-6.8097787,-7.2489634,-6.5032187,-6.3903656,-6.0940824,-5.7965455,-5.5677156,-5.3291063,-5.2688274,-5.1314673,-5.250958,-5.5368605,-5.809962,-6.0119414,-5.9675922,-5.9129834,-5.8635044,-6.0666714,-6.280978,-6.341288,-6.172856,-5.7150674,-5.4649034,-5.3740964,-5.389748,-5.0464916,-4.341634,-3.4898672,-2.5991216,-1.7623427,-1.0716228,-0.48049083,-0.03910855,0.110373415,0.40167212,0.45155737,0.5921552,0.6420981,0.79192656,0.9916977,1.141526,1.2414113,1.4314998,1.4314998,1.4314998,1.4314998,1.3815001,0.8577783,0.27333257,-0.17411551,-0.12855645,0.32054618,0.6173379,0.8151972,1.0130547,1.0625185,0.8646616,0.5678731,0.2710805,0.22410731,0.1256079
2025-11-12 02:24:36+00:00,2025-11-12 00:00:00+00:00,-5.999655,-5.90094,-5.5657363,-4.4831653,-4.611097,-3.929906,-3.6075542,-3.5295784,-3.3566527,-3.5781279,-3.4810295,-3.3080337,-2.260585,-1.1941005,-0.5944307,-0.39731553,-0.67677385,-0.945426,-0.60371864,0.28233296,0.39112204,0.1589747,-0.13355294,-0.2856628,-0.63664746,-0.64370984,0.21585956,0.46380204,0.46282932,0.046185177,-0.07394172,0.2432928,0.35018042,-0.11136842,0.004796811,0.060167093,0.3142473,0.20837815,-0.123089984,0.13469644,0.36838472,0.053569864,-0.11558522,-0.31083593,-0.58189106,-0.5786049,-0.49587283,-0.5379622,-0.33142033,-1.1946679,-1.6935294,-2.5415983,-3.3896747,-4.437308,-4.8862963,-5.1357355,-5.3352876,-5.6346154,-4.3874207,-3.82609,-3.5769405,-2.998658,-2.5949385,-2.6955447,-2.69867,-2.3995073,-2.0221546,-1.821795,-2.0815053,-2.8769355,-3.5871544,-4.5429716,-5.5571866,-4.91013,-4.4023714,-3.8374786,-3.5871544,-3.6859798,-3.8342192,-4.180785,-4.3781962,-4.9754057,-5.4184737,-5.6127844,-5.908551,-5.233376,-5.357041,-5.221934,-5.068569,-4.824232,-4.587354,-4.564617,-3.8301651,-3.4774404,-4.684908,-5.2304797,-5.5361075,-5.6655884,-5.6625967,-5.365279,-4.791702,-4.7426014,-4.3377476,-4.191047,-2.549589,-1.3763425,0.40167212,1.141526,1.2414113,1.59101,1.9815,2.5815003,2.7896297,3.2949774,3.2315,2.6016915,1.762775,0.8151972,0.013678109,-0.8407275,-1.5297629,-2.2561471,-2.800282,-3.0685487,-2.9192343,-2.5567856,-2.254755,-2.254755,-2.5027206,-2.750688,-3.2430594,-3.6888723,-4.081288,-4.0893097,-3.9805408,-3.8367636,-3.639623,-3.202045,-3.104808,-3.1053665,-3.2950435,-3.5550463,-3.8342192,-4.1953807,-4.573545,-4.986072,-5.5203323,-5.855831,-5.7562833,-5.6452565,-5.4463916,-5.4961085,-5.6949725,-5.844122,-6.104703,-6.5029006,-6.2915716,-5.4146347,-4.2078514,-3.3887353,-3.351659,-3.4945297,-3.445699,-2.8716965,-2.447861,-2.202342,-2.5071323,-3.1098104
2025-11-13 02:42:25+00:00,2025-11-13 00:00:00+00:00,-2.6014373,-1.0840476,-0.48861983,-0.18301961,0.60545987,0.4105734,0.30084023,0.30718476,0.5047969,0.7073641,0.8590432,0.95968103,0.66093695,0.80121136,0.67602485,0.5649702,0.8728671,1.040928,0.5502863,-0.2648314,0.14139158,-0.25073564,0.046185177,0.054137647,-0.34803712,-0.34059352,-0.08408624,-0.33506754,-0.4338774,-0.48328257,-0.63149863,-1.0872289,-1.6959252,-2.0644875,-2.3246465,-2.4885,-2.4885,-2.3736053,-2.2756884,-2.504067,-2.510108,-2.589588,-2.9489968,-3.0456505,-2.831949,-2.5778203,-2.870356,-2.9191132,-2.8215997,-4.014217,-3.7484837,-4.4738836,-4.772867,-3.7854745,-3.9052277,-4.424053,-3.9409626,-3.9549417,-3.9549417,-4.523714,-4.6612635,-4.43996,-4.5684443,-4.9825296,-5.1341834,-4.9612117,-5.1871953,-4.819883,-4.6138477,-3.8779387,-3.9436107,-3.906895,-4.03514,-4.040129,-3.750578,-3.2785919,-1.4313273,0.11673507,1.007258,1.4492571,1.8483348,1.9979882,2.0536094,2.4469478,2.889514,3.2890522,3.6814997,3.6814997,3.6940477,2.7852094,2.2832215,0.77177984,0.03963567,-1.075224,-0.23841827,-1.7190176,-2.6701882,-3.6377866,-3.9677472,-3.7516894,-3.6533678,-3.7939553,-3.6955047,-4.0167794,-4.2433085,-4.433896,-4.2819014,-3.3402076,-3.4389164,-3.4169693,-2.8543887,-1.8345399,-3.1336064,-3.3084638,-3.5440695,-3.5575514,-3.2992826,-3.0012717,-2.8668187,-2.852552,-2.7471545,-2.6970592,-2.8459764,-2.8459764,-3.045718,-3.400158,-3.5970554,-3.8846745,-4.233765,-4.3873277,-4.035621,-3.5885673,-3.2205908,-3.056609,-3.2680213,-3.3027468,-3.2591352,-2.8694284,-2.5858285,-2.3120813,-1.9674134,-1.86242,-1.8153676,-1.8262609,-1.9085925,-1.9085925,-1.8105459,-1.8460239,-2.2118492,-2.6515012,-3.2178636,-3.7762597,-4.412399,-4.7503757,-4.5515165,-4.1457253,-3.639337,-3.1048174,-2.4988763,-2.1446338,-2.200456,-2.6369326,-2.589074,-1.9652922,-1.3989928,-0.9989408,-0.9238243,-0.9161286
2025-11-14 02:25:39+00:00,2025-11-14 00:00:00+00:00,-2.3580127,-1.7002673,-1.7861167,-1.3909689,-1.1941005,-0.68090415,-0.8260963,-1.2843523,-1.6467716,-1.9530386,-1.9530386,-2.051218,-2.051218,-2.6501234,-2.610719,-2.8798897,-2.9045215,-3.1021113,-2.9853306,-3.4590433,-3.5291402,-3.4592123,-3.2522385,-3.316693,-3.0649414,-3.335384,-4.193596,-4.2807784,-4.6550903,-4.845823,-4.8952684,-4.7073216,-4.618087,-4.5439553,-4.821014,-5.567822,-5.900996,-5.996716,-5.856231,-5.538912,-5.0771294,-4.7853837,-4.558311,-4.866525,-4.5457187,-3.7458763,-2.782032,-2.4018106,0.16217792,-4.7412753,-2.2118492,-0.9224911,-0.38095275,0.6510981,1.0915834,1.5410674,1.7408379,1.9905506,1.9979882,1.9979882,2.2902055,2.8395717,3.3026872,2.8848822,1.8656199,2.0406263,1.3793017,1.1794865,-0.8390072,-1.5887703,-2.6015804,-3.0989826,-4.127438,-4.251611,-4.2924705,-4.341634,-4.43996,-4.3804812,-4.035621,-4.335443,-4.988104,-5.3809166,-5.577328,-5.6755347,-5.7182674,-5.204745,-5.295736,-5.5166283,-5.1268106,-4.9810658,-4.0732303,-3.2594914,-3.0078514,-2.6618168,-2.499171,-3.0063717,-3.4493823,-3.5402668,-3.8648999,-3.52711,-2.6800082,-2.5210643,-2.7057452,-3.191856,-3.7560859,-4.0543704,-4.4436593,-4.734504,-4.7786694,-3.8696842,-3.5011804,-3.1155438,-2.631559,-2.4454997,-2.0051281,-1.4423367,-0.93751657,-0.7492741,-0.7422965,-0.96844727,-1.162703,-0.965368,-0.521063,-0.4714128,-0.87278056,-1.5256528,-2.0820603,-2.58035,-3.1183202,-3.416951,-3.6267698,-3.5531423,-3.4274504,-2.9470198,-2.4727979,-2.293214,-2.2155528,-2.1200058,-2.0083842,-1.5145686,-1.1587945,-1.0636426,-1.1213336,-1.0356628,-1.1851472,-1.3763425,-1.5637352,-1.9056681,-2.153328,-2.549589,-2.750688,-2.9043598,-3.1526291,-3.1595244,-3.2676356,-3.228132,-3.0187776,-2.6509283,-2.2277646,-1.9255148,-1.6275892,-1.2592921,-1.0452079,-0.71652925,-0.6024202,-0.6057351,-0.8251375,-1.2122333
