forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:36:44+00:00,2025-11-05 00:00:00+00:00,999.33246,999.4905,999.16376,999.0848,999.9687,1000.82056,999.29553,999.18445,999.1289,999.3089,1000.0981,1000.09454,1000.16003,999.72815,999.4261,998.391,997.01953,995.77954,993.84595,991.59534,988.34424,985.9274,983.818,982.1108,980.81824,979.1996,977.73676,977.30975,976.6439,978.3983,980.83844,982.75775,984.4082,986.35925,988.209,990.0651,991.63293,992.99384,994.3031,995.6023,996.66644,997.2589,997.2589,998.1333,999.2925,1000.30096,1000.61145,1000.74146,1000.9996,1002.19855,1002.5513,1002.2063,1001.6747,1001.59015,1001.7493,1001.6375,1001.5461,1001.06213,1001.1364,1000.7267,1000.2251,999.51904,998.70435,997.9086,996.8115,994.6016,992.79395,991.265,990.2517,989.2076,988.88794,988.78973,988.2985,987.6419,987.3161,986.46515,986.0722,985.6979,985.0102,984.62036,984.2769,984.0038,984.053,983.6752,984.455,984.455,984.458,984.9514,985.5137,985.6193,985.2531,985.5539,986.1819,987.2488,988.4857,989.55084,989.9158,990.59717,991.37683,991.51556,991.9023,992.47925,992.4196,992.72986,992.9994,992.9961,992.8754,992.8564,993.45844,993.26874,993.0749,992.6989,991.6056,990.02325,989.01636,987.9113,986.9692,986.23895,985.74146,985.4498,985.25336,984.9493,984.6394,984.59326,984.89026,985.45215,986.0315,986.4487,986.7864,987.13696,987.595,988.0695,988.4722,988.81934,989.19196,989.44653,989.5639,989.5608,989.7411,990.1997,990.74347,991.4771,992.3963,993.50494,994.332,994.7926,995.0736,995.26306,995.3647,995.38165,995.3882,995.3782,995.3647,995.36816,995.39154,995.5336,995.5903,995.7745,996.0758,996.06213,995.629,995.0813,994.6026,994.476,994.51636,994.74976,995.1823,995.8108
2025-11-06 02:27:18+00:00,2025-11-06 00:00:00+00:00,981.80365,981.0021,979.9246,979.2885,979.61115,980.0586,981.7507,984.1392,985.96954,987.6983,989.1357,990.4579,991.9309,992.9118,994.034,995.32996,996.1979,996.866,997.0593,997.93036,998.49695,998.9064,999.312,999.85114,1000.82635,1000.81323,1000.3153,999.6179,999.2187,998.9176,998.61633,998.6129,998.7111,998.8259,998.92413,998.6461,998.7277,998.3301,997.3515,996.28644,995.46344,993.95575,992.1081,990.49493,988.83417,987.12054,986.37335,985.8506,986.0941,988.62006,988.21747,987.6346,987.5457,987.3771,987.371,987.06067,986.8094,987.1714,987.3927,987.56744,988.4267,988.78973,988.89764,989.16437,989.60596,989.16895,989.3419,989.7172,990.3903,990.74585,991.6699,992.498,992.9517,993.3057,993.65497,994.286,994.1718,994.0673,994.26074,994.4253,994.39996,994.1909,994.39667,994.0102,994.1021,994.32385,994.0246,993.80743,992.662,992.2103,991.1205,990.62305,989.9168,988.9588,988.6793,988.86646,989.0478,988.8513,988.7593,988.45825,987.6663,987.22736,987.7096,986.9911,986.592,986.8898,986.1865,984.86633,985.63055,985.45264,985.5262,985.325,985.13794,984.555,984.7481,984.8975,985.22406,985.5439,985.95776,986.46564,986.6949,986.5507,986.3245,986.1085,986.0982,986.19635,986.38965,986.7724,987.3447,987.82227,988.38446,988.85175,989.2512,989.4163,989.3229,989.3068,989.16266,988.99854,989.0148,989.2932,989.74854,990.3118,991.0974,992.0859,992.8746,993.2543,993.43097,993.5095,993.6959,993.8857,993.9708,993.8495,993.52496,993.119,992.7229,992.24536,991.69586,991.1039,990.4447,989.7549,988.82025,987.6666,986.88745,986.5801,986.45013,986.5234,986.71313,987.1061
2025-11-07 02:25:37+00:00,2025-11-07 00:00:00+00:00,999.62646,999.2599,998.8075,998.66284,998.84955,998.4533,998.057,997.35,998.3284,998.8259,998.93066,998.8294,998.82275,998.15344,996.798,996.19476,995.20386,993.9745,992.6089,991.5378,990.71625,988.99927,987.8371,987.29846,986.9372,986.1258,984.94055,984.1643,983.70123,983.22864,982.9463,982.6762,982.50977,982.09186,982.6111,983.19135,984.3062,984.6472,984.8746,985.80164,986.6676,987.0822,987.5583,988.4911,989.51874,990.0267,991.1162,992.2243,993.1384,996.144,996.59283,996.6782,996.8776,997.2115,997.2217,997.5916,997.48334,997.467,997.7383,997.9316,997.994,998.1113,997.8622,997.63214,997.2134,995.8086,995.06464,994.9577,994.0989,993.57935,993.88995,993.87714,993.6714,993.7567,993.0598,992.56866,991.4882,991.39624,990.2175,990.22363,988.2626,987.8821,986.7065,987.30853,987.8631,987.01746,986.4058,987.33417,987.98944,987.7672,988.6608,989.3611,989.5864,989.83276,990.51135,991.36237,991.71893,991.9608,992.0157,992.18207,991.76605,992.443,992.63275,992.9138,993.2996,993.89557,994.2847,994.7622,995.42566,995.9876,996.27405,996.16724,996.23303,995.6173,995.2765,995.2796,995.3518,995.5159,995.8697,996.315,996.5569,996.484,996.1123,995.6896,995.0627,994.38324,993.57825,992.71747,991.8303,991.04156,990.45233,989.8663,989.2967,988.6577,988.03735,987.41656,986.60516,985.7961,985.25006,985.04425,985.00085,985.05237,985.19867,985.538,985.7976,986.0037,986.1334,986.24744,986.22864,986.09534,985.95905,985.8255,985.78705,985.9513,986.5079,987.16956,987.85693,988.39325,988.75903,989.01324,988.855,988.4908,988.2974,988.46216,988.8007,989.2307,989.7615,990.38696
2025-11-08 02:14:54+00:00,2025-11-08 00:00:00+00:00,986.6355,985.57074,985.7483,985.57697,984.20795,984.3402,983.76935,983.3362,983.7106,983.6948,983.76825,984.1581,985.04834,985.7248,986.2349,987.14056,987.6471,987.74225,987.8346,988.7033,990.0327,990.81445,991.858,992.96643,993.7957,994.4475,994.7034,995.44,995.7867,995.65216,995.4361,995.87524,995.8981,995.7867,995.4856,995.9599,996.5788,996.7002,996.0423,995.8621,994.93854,993.9358,992.3426,990.58734,990.21655,989.5479,988.8572,988.88556,988.1948,992.09875,991.6076,991.1164,990.05756,989.4774,988.9832,988.5808,988.4795,987.2975,986.7051,986.9015,986.8063,986.4258,985.4651,984.8541,983.7245,983.02136,982.78784,982.7681,983.0664,983.5509,984.3575,985.0615,985.7917,986.0465,986.50116,986.66394,986.7354,986.9185,987.1083,987.3013,987.10144,987.10144,986.99646,987.0033,987.2465,987.4994,987.22125,987.06116,986.6261,985.8605,985.68665,986.1711,986.72437,987.431,988.2649,989.28796,989.9072,990.12683,990.69946,990.8958,990.9721,991.18494,990.969,991.4961,991.36487,990.96564,990.56946,990.2518,990.2484,989.84686,989.0384,987.85254,986.814,985.20514,984.05206,983.5483,983.31354,983.1803,983.1581,983.335,983.4236,983.5252,983.6361,983.7439,983.85175,983.8582,983.95953,984.0546,984.2446,984.53296,984.91925,985.3025,985.6984,986.11053,986.43085,986.55457,986.3837,986.0098,985.91473,986.1746,986.5163,986.9589,987.3227,987.791,988.1676,988.45917,988.7538,988.94354,989.1139,989.17914,989.43756,989.7908,990.2418,990.69946,991.16016,991.72894,992.1419,992.52997,992.95966,993.159,993.0079,992.5296,992.4217,992.7825,993.31946,993.9385,994.5368,995.12054
2025-11-09 02:36:12+00:00,2025-11-09 00:00:00+00:00,992.80536,993.4095,993.77325,994.0288,994.7034,995.3971,995.46936,995.3808,995.4825,995.4922,996.3531,996.4545,996.77545,996.89954,996.95123,996.9836,996.6359,996.126,995.34283,994.3431,993.72266,993.10205,992.7028,991.8249,991.5302,990.8425,990.05347,989.6637,988.6937,988.20874,986.8302,986.8396,986.55725,986.7537,986.9439,987.34,987.432,987.1559,986.84894,987.56085,986.66144,985.6576,984.5278,984.1932,984.25433,983.3145,982.95746,983.1224,984.07306,984.84845,984.99615,984.83575,984.6035,984.62244,984.6841,985.05664,985.0467,985.1347,985.2362,985.32446,985.30444,985.1849,985.14307,984.8163,984.26,983.6967,983.903,984.28595,985.1303,985.92505,986.7724,987.7473,988.7058,989.268,989.8705,990.29645,991.00397,991.3998,991.3584,991.7059,991.5194,991.6308,991.2084,991.11676,991.2901,991.1298,990.5868,990.08875,989.1904,987.857,986.9731,986.00024,985.99713,985.9079,986.0534,986.443,986.4656,986.2661,986.5769,986.4649,986.2781,986.2025,986.4841,986.69354,986.9589,987.1973,987.63367,988.14087,988.64465,989.4303,989.6653,989.6815,989.36194,989.05365,989.21466,989.39795,989.683,990.06604,990.4424,990.9171,991.29034,991.6635,991.9318,992.10175,992.1638,992.12384,992.0904,992.1652,992.3447,992.5311,992.907,993.28613,993.601,993.88446,994.10205,994.1968,993.9509,993.58093,993.48267,993.9412,994.5733,995.1953,995.6103,995.8178,996.0449,996.11285,996.1028,996.09595,995.9842,995.67596,995.5678,995.5541,995.5437,995.6316,995.6077,995.6853,995.71625,995.8421,995.9179,995.8662,995.368,994.64685,994.0796,993.8513,993.8724,993.88586,994.08203,994.2672
2025-11-10 02:27:24+00:00,2025-11-10 00:00:00+00:00,990.974,991.4714,989.5101,989.32947,989.2471,988.8572,988.3754,987.7925,987.89703,987.60236,988.385,988.19794,987.70056,988.02344,986.10535,986.3173,985.30457,984.5248,983.1431,982.7501,982.4495,982.9037,983.29254,983.5977,984.68445,984.80096,984.40265,984.7466,984.6056,984.7792,984.96216,985.1521,985.8393,986.0291,986.52,986.8176,987.5967,987.7247,987.3548,986.86383,986.5858,986.4448,986.2453,986.5498,986.7394,986.9258,987.7147,988.11743,989.00104,988.4678,989.0637,989.4263,989.81903,990.00543,990.14484,990.5307,990.6258,990.23303,989.9021,989.8073,989.879,989.7356,989.2317,988.226,987.4984,986.15857,985.4711,985.07513,985.2778,985.24585,985.52277,985.8636,986.18744,986.34753,986.8489,986.8976,986.9298,987.24396,987.3422,987.6434,987.7576,988.065,988.2291,988.5993,989.5026,990.01953,990.3369,990.4328,990.2587,989.77386,989.7866,989.9768,990.7243,991.319,992.14484,993.1753,993.72473,994.20215,994.9427,995.19403,995.3237,995.50323,995.82465,996.28864,996.4311,996.7965,997.3721,997.6631,998.26587,998.8535,998.69116,998.5927,998.1471,997.39026,997.1023,996.87665,996.72363,996.6584,996.7761,996.88324,997.00635,996.8677,996.6544,996.44116,996.2279,996.01465,996.0111,996.22125,996.5393,996.9424,997.494,998.13007,998.7191,999.11566,999.46277,999.5882,999.3721,999.03107,998.8475,998.9102,999.2315,999.53564,999.9205,1000.29034,1000.5877,1000.7428,1000.73236,1000.62415,1000.3123,999.90594,999.6011,999.3978,999.19464,999.09314,999.0723,999.1497,999.1842,999.024,998.8168,998.3837,997.5093,996.41473,995.6608,995.5178,995.62384,995.7288,995.75476,995.6884
2025-11-11 02:17:27+00:00,2025-11-11 00:00:00+00:00,982.34955,983.2037,983.1877,982.3471,982.00366,981.8564,981.91534,981.7024,982.6743,983.7543,984.15045,983.6561,984.05225,983.8658,983.77094,983.7874,983.69257,983.1918,983.11334,983.5028,984.54315,985.11554,985.48834,986.37195,987.665,988.36865,988.46686,988.7549,989.16095,989.86475,990.1558,990.4638,990.56537,990.1826,989.89764,989.9011,989.79645,989.15204,988.2193,987.87555,987.24615,986.2016,984.95374,984.7603,984.84894,985.1147,985.1613,985.4302,985.5283,987.2575,987.56885,987.52246,987.61725,987.94446,988.4029,988.7009,988.94885,989.1357,989.4768,989.7022,990.2525,990.6423,990.5698,990.60565,990.401,989.73596,989.517,989.5929,989.96643,990.3865,991.0647,991.608,991.84344,992.25916,992.799,992.8611,992.8311,993.1972,993.5566,993.51636,993.5638,993.6383,993.7299,994.1054,994.69434,995.16394,995.2085,995.0906,994.7626,994.3503,994.3213,994.42596,994.79913,995.20197,995.7096,996.3534,996.6037,996.85046,996.9421,996.79,996.48505,996.4444,996.49805,996.8631,996.9338,997.0249,997.13007,996.9406,997.347,997.70044,997.92,997.6533,996.8614,996.30786,995.9216,995.98413,996.4032,996.7166,996.8199,996.91846,996.9421,997.0161,997.023,997.0299,996.83356,996.6372,996.3531,996.08594,995.6354,995.2765,994.8125,994.34515,993.7763,993.30206,992.8245,991.9508,990.4747,988.60266,987.0317,985.8665,985.0062,984.14197,983.3697,982.6889,981.91626,981.0424,980.0734,979.22205,978.59894,978.09564,977.8703,978.02515,978.3632,979.05725,980.17346,981.549,982.9518,984.32043,985.7242,986.9347,987.8601,988.6969,989.69147,990.9239,992.2156,993.5062,994.5997,995.6884
2025-11-12 02:20:13+00:00,2025-11-12 00:00:00+00:00,985.0504,985.2236,986.31036,986.896,987.7963,988.7713,988.9911,989.5802,989.8781,989.5935,989.40027,989.4137,988.9193,988.8475,988.19965,987.85254,987.20734,985.95996,984.78796,984.3757,984.69635,984.67676,984.7394,984.8215,985.1096,985.113,984.82794,985.3125,985.3125,985.5024,985.0083,985.4042,985.46985,986.0361,986.39276,987.0736,987.4011,987.7739,987.9594,988.50854,988.9141,989.00586,989.20874,989.6965,990.35535,990.8605,991.4631,992.28406,993.06305,994.114,994.49677,994.50024,994.49023,994.7648,994.8394,995.02924,994.8908,995.36127,995.3409,995.622,996.0011,996.3622,996.27856,995.87274,995.24396,994.1992,993.61316,993.6196,993.47955,993.2805,993.7281,993.93933,993.59064,993.36414,993.17114,993.13745,992.73456,992.8053,992.83246,992.8801,992.41626,992.38885,992.0741,992.3445,992.5306,992.77844,992.46484,992.0495,991.348,990.2332,989.39056,988.86774,988.68317,988.6259,988.6641,988.4613,987.99365,987.4539,986.88464,986.00757,985.22205,984.3516,983.28107,982.17163,980.1882,979.0296,977.66797,977.00336,976.34515,975.80426,975.8554,975.7347,975.9909,976.2426,976.3409,976.88666,977.5914,978.3997,979.2232,980.0526,980.79626,981.2648,981.5463,981.8181,982.1652,982.4004,982.75024,983.12665,983.51587,984.1015,984.8672,985.82526,986.61743,987.3679,987.9518,988.42303,988.67163,988.7105,988.92004,989.39484,990.04,990.77325,991.58124,992.5748,993.293,993.7568,993.94965,994.1428,994.32544,994.50836,994.6978,994.89417,995.0939,995.1955,995.28687,995.2834,995.3175,995.4285,995.47675,995.2967,994.7722,993.92053,993.3378,993.0079,992.8416,992.8811,993.1364,993.5911
2025-11-13 02:38:12+00:00,2025-11-13 00:00:00+00:00,986.7198,986.6152,987.2798,987.54834,987.6561,987.95416,987.72174,987.30597,988.1963,988.30096,988.5824,988.7758,989.3515,989.5285,989.9059,990.0486,990.1499,990.35596,990.3719,990.36224,991.3193,991.83813,992.45746,993.00116,993.6658,994.0257,993.69495,993.8817,994.0746,994.1331,994.41766,994.7087,995.0033,995.30786,995.40295,996.0868,996.3748,996.6275,996.10767,996.25494,995.9767,995.4562,995.00433,994.97516,995.03735,995.07306,995.1381,995.1966,995.6875,996.47504,995.9569,995.449,995.43524,995.222,994.9137,995.20135,995.0963,994.8931,994.39197,994.48334,994.101,994.4542,993.6431,993.0775,992.11426,990.81934,989.25104,988.9309,988.29034,987.53546,987.17267,986.39355,985.43823,984.8686,983.18945,981.6118,980.1424,978.86597,977.147,975.3518,973.7586,972.9499,972.2017,971.73236,971.77875,972.715,972.4789,972.6385,973.0652,973.1604,973.3256,973.792,974.62305,975.51685,976.80884,977.85675,978.5876,979.1476,979.5271,979.7826,980.03424,980.2109,980.41705,980.91473,980.7087,980.761,981.1015,981.828,982.5446,983.18945,983.96765,984.31396,984.32666,984.55524,984.7612,985.5051,986.5178,987.54584,988.5182,989.50323,990.28876,990.8548,991.3162,991.68585,992.0656,992.5499,993.034,993.71814,994.4054,995.0927,995.67175,996.2475,996.85315,997.4108,997.9972,998.3736,998.5303,998.572,998.7813,999.24036,999.76154,1000.27893,1000.88715,1001.3866,1001.90826,1002.2708,1002.5583,1002.7481,1002.92737,1003.20135,1003.38416,1003.6651,1004.0474,1004.2437,1004.34186,1004.3453,1004.393,1004.6096,1004.7666,1004.7897,1004.26544,1003.51544,1003.02435,1002.9789,1003.0975,1003.3066,1003.4071,1003.5975
2025-11-14 02:21:08+00:00,2025-11-14 00:00:00+00:00,994.3072,994.2453,994.88983,994.85675,994.94824,995.6356,995.1381,995.5343,996.4211,996.621,996.8074,997.1934,997.7826,998.3463,998.56256,998.3165,997.85785,997.28796,996.79034,996.866,997.04645,996.60156,996.5693,996.7231,997.27277,996.8007,996.20154,995.6124,995.01025,994.91205,994.72217,994.4141,994.03143,993.3176,992.8202,992.43085,992.6272,991.983,990.7823,990.54614,989.31195,987.79834,986.8612,985.7238,984.64044,982.88165,981.55035,980.0837,978.598,980.17474,978.7871,977.1243,975.37946,973.64075,972.1077,971.4714,970.4383,969.8259,969.9125,970.64276,971.46277,972.27936,972.5985,972.5771,972.74097,972.5646,972.7705,973.2917,973.907,974.5693,975.8542,976.9939,977.74677,978.01855,978.39813,978.5683,978.9213,978.9867,979.2312,979.6954,979.77844,980.00464,980.2992,980.6919,981.4971,982.15875,982.52185,982.98267,983.20807,983.21454,983.4654,984.14325,985.2799,986.66205,987.9713,989.4211,990.38654,990.96216,991.65625,991.97394,992.1403,992.5131,993.11017,993.61774,994.1218,994.4979,994.53076,995.13245,995.85126,996.67487,997.07404,997.25354,997.4916,997.60925,997.888,998.23566,998.7568,999.28033,999.91833,1000.556,1001.1052,1001.5593,1002.02,1002.2875,1002.4636,1002.5517,1002.64294,1002.74115,1002.84625,1003.0562,1003.4656,1003.98004,1004.5183,1004.90643,1005.3202,1005.50977,1005.2673,1004.90344,1004.60876,1004.7663,1004.9896,1005.3103,1005.52875,1005.84503,1006.0823,1006.36017,1006.5599,1006.6614,1006.55646,1006.44464,1006.3333,1006.40765,1006.4752,1006.55286,1006.6238,1006.69794,1006.7355,1006.78674,1006.7932,1006.6553,1006.14,1005.48425,1004.98334,1004.7262,1004.6293,1004.5346,1004.4619,1004.49023
