forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:36:52+00:00,2025-11-05 00:00:00+00:00,10.5565,10.1565,9.7065,9.9065,9.6565,9.8065,10.1565,10.5565,10.6565,10.5565,10.7565,11.356501,11.5565,11.5565,11.5565,11.4065,11.9565,12.4565,12.3065,12.9565,12.2065,12.9565,13.3065,12.0565,11.1565,10.5065,10.0565,9.856501,10.0065,10.2065,10.606501,10.0065,10.2065,10.3065,9.856501,9.606501,9.606501,8.7565,8.6565,8.8065,9.2065,10.106501,10.2565,10.2065,10.5565,12.356501,13.3065,12.9065,12.0565,10.613501,10.613501,10.2135,9.0135,9.0135,8.8135,7.8135004,6.9135003,6.3135004,5.9135003,5.6135,5.4635,5.7135,6.5635004,7.1135,7.4135003,7.9135003,8.4635,9.9635,11.2635,11.363501,11.4135,11.113501,9.5135,7.3635,6.7135,6.0135,5.5635004,5.3135004,5.0635004,4.8635,4.8635,4.7135,4.8635,4.6135,4.2135,4.2135,4.0135,4.0635,4.7135,6.7135,8.2135,9.5635,10.4135,11.0135,11.2635,10.7135,9.5135,8.0135,8.1135,7.8635,7.8135004,7.5135,7.3635,7.4135003,7.1135,7.0135,6.6135,6.4135003,6.4635,6.4135003,6.2635,6.1635003,6.6135,8.2135,10.1635,11.6635,13.2135,14.0135,13.7135,12.7135,11.6635,10.613501,9.5635,8.8135,8.7135,8.9635,9.1635,9.1635,9.0635,8.9635,8.7635,8.5635,8.4635,8.4135,8.4135,8.863501,9.9135,11.4135,12.8135,14.2635,15.6635,16.2135,15.3135,13.6635,12.3135,11.863501,11.7635,11.7135,11.7135,11.8135,11.8135,11.7135,11.5635,11.363501,11.0635,10.6635,10.2635,9.613501,8.863501,8.7135,9.5635,10.9635,12.113501,12.7635,13.113501,13.3135,13.2635,13.0135
2025-11-06 02:27:30+00:00,2025-11-06 00:00:00+00:00,12.4565,11.7065,12.2065,11.5565,11.8065,12.2565,12.356501,11.6565,11.106501,10.2065,9.5565,9.3065,9.3065,9.7565,9.7065,9.9565,10.4065,10.6565,11.0565,11.4565,11.5565,12.606501,13.2065,11.8065,11.8065,11.5565,10.6565,9.7065,9.3065,8.5065,8.5565,7.5565,7.1565,7.4564996,7.0565,6.6565,7.1565,6.6565,6.5565,6.0565,6.2565,8.2565,9.5565,9.0565,8.5565,9.0565,9.6565,9.856501,9.356501,7.2135,6.4635,5.8635,5.7135,5.5135,5.2635,5.0635004,4.5135,4.4135003,4.1635003,4.0635,4.0635,3.8634999,3.8135,3.7135,4.5135,6.4635,8.2135,9.7635,10.863501,11.1635,11.1635,10.4635,9.363501,7.8635,7.5635004,7.8635,7.6635003,7.6135,7.4635,7.6635003,7.3635,7.0635004,6.6135,6.3635,6.1635003,6.2135,6.2635,6.0635004,6.6135,8.4135,10.4635,12.2635,13.4635,14.2135,14.1635,13.5635,11.8135,10.0135,9.2635,9.113501,9.2635,9.5135,9.8135,9.9135,9.9635,9.863501,9.863501,9.613501,10.1635,10.5635,10.3135,9.9635,10.0635,10.4135,10.9635,11.7635,12.7135,13.1635,12.9135,12.2135,11.2135,9.8135,8.1135,6.8635,6.3635,6.2135,6.1135,5.8635,5.6635003,5.4135003,5.0635004,4.6635003,4.5635004,4.9135003,5.6135,6.3635,7.2135,8.2135,9.1635,10.2135,11.3135,11.863501,11.613501,10.863501,10.0635,9.3135,8.5135,7.8635,7.5635004,7.4135003,7.2135,6.8635,6.4635,6.1635003,6.0635004,6.0635004,6.1635003,6.2135,6.2635,6.6635003,7.6135,8.8135,9.863501,10.5635,11.113501,11.363501,11.3135,10.9635
2025-11-07 02:25:48+00:00,2025-11-07 00:00:00+00:00,12.5565,12.0065,12.2565,11.4065,10.4565,9.3065,8.1565,8.0065,8.5565,8.5065,8.5565,8.3065,7.5565,7.2565,7.9065,8.0065,7.8065,9.4565,10.4065,10.5065,10.9065,11.106501,10.6565,10.856501,10.356501,8.7065,7.6064997,7.1064997,6.5065,6.2565,6.0065,5.7565,5.5065,5.2565,4.7565,4.4065,4.1565,4.1064997,4.2064996,4.3564997,4.8065,7.2565,9.4065,10.4065,11.0565,11.7565,12.106501,11.9065,10.9565,8.4135,7.4635,7.0635004,6.8635,6.9635,7.1135,7.2135,6.6135,6.4135003,6.3635,6.1135,5.8135004,5.7135,5.6135,5.7635,6.3635,8.3635,10.8135,12.363501,13.7135,14.6635,14.863501,14.0635,12.2635,10.3135,9.7135,9.3135,9.113501,9.113501,9.2635,9.4135,9.6635,9.5635,9.4635,9.6635,9.5635,10.5635,10.863501,11.0635,10.9635,11.4135,12.0135,11.6635,12.0135,12.0135,12.2135,12.7635,12.613501,10.4635,10.2135,10.9135,11.113501,11.113501,11.0135,10.7135,10.2135,10.113501,9.9635,9.7635,9.4635,9.1635,8.863501,7.4635,7.2635,8.863501,10.1635,11.1635,12.1635,12.7135,12.5135,11.9135,11.2135,10.5635,9.863501,9.3135,8.9635,8.7135,8.5135,8.3635,8.2635,8.1635,8.0635,7.9635,7.8135004,7.3135004,6.7135,6.7635,7.8635,9.613501,11.2135,12.6635,14.0135,14.7135,14.4135,13.4135,12.5135,11.8135,11.113501,10.6635,10.5635,10.6635,10.7635,10.6635,10.5135,10.4635,10.613501,10.8135,10.9135,10.6635,10.3135,10.1635,10.4635,11.0135,11.5635,12.113501,12.6635,12.9635,12.7635,12.2635
2025-11-08 02:15:03+00:00,2025-11-08 00:00:00+00:00,11.5565,10.1565,9.2065,8.606501,7.9065,7.4065,7.0065,6.5565,5.9564996,5.5065,5.4065,5.1064997,5.0065,4.8564997,4.9065,5.3564997,6.1565,8.106501,9.3065,10.1565,11.4565,11.5065,11.5065,11.3065,10.8065,9.8065,9.0565,8.8065,8.4565,8.2065,8.0565,7.8564997,7.9065,8.0565,8.0065,7.8564997,7.8065,7.9065,8.0565,8.1565,8.5065,9.9065,12.3065,14.2565,15.5065,16.0565,15.9065,15.4565,14.3065,11.3135,10.9635,10.4135,10.6635,10.7135,10.5635,10.6635,10.613501,11.0135,11.7135,11.7635,11.6635,11.2635,11.2135,11.4635,11.3135,11.4635,11.9135,12.2135,13.2635,14.113501,14.3135,14.113501,13.3135,12.4135,11.7135,10.2635,9.7635,9.613501,9.4135,8.3635,7.9135003,7.2635,6.8135004,6.6135,6.3635,6.2135,5.9135003,5.4135003,5.9135003,7.7135,9.0135,10.1635,11.0135,11.4135,11.5635,11.4635,10.0135,8.4135,8.3635,8.4135,8.2635,8.1635,8.1135,7.5635004,7.0635004,6.9635,6.9135003,6.1135,5.8135004,5.9135003,6.0635004,6.1135,6.6635003,8.1635,9.6635,10.613501,11.4635,11.9135,11.9135,11.5135,11.0635,10.4635,9.7135,9.2635,9.2635,9.5135,9.7135,9.8135,9.863501,9.9635,10.1635,10.363501,10.613501,10.863501,11.1635,11.4635,11.7635,12.0635,12.363501,12.7635,13.2135,13.5135,13.5635,13.5135,13.3135,12.9635,12.5635,12.3135,12.4135,12.613501,12.7635,12.6635,12.4135,12.3135,12.4635,12.7635,12.9635,12.9635,12.9135,12.863501,12.9135,13.0135,13.0635,12.9135,12.7135,12.5635,12.5135,12.5135
2025-11-09 02:36:20+00:00,2025-11-09 00:00:00+00:00,11.1565,9.856501,9.0065,8.6565,8.356501,8.0065,7.5565,7.2565,7.1565,7.1064997,7.2064996,7.3065,7.5565,7.8564997,7.8564997,7.9564996,8.2065,9.6565,12.3065,14.356501,15.606501,16.4065,16.206501,15.4065,14.0565,12.5565,11.8065,11.6565,11.2565,11.2065,10.9065,11.1565,11.4565,11.606501,11.7065,11.6565,11.6565,11.5065,11.606501,11.606501,11.856501,11.9565,12.4565,12.4565,12.7065,12.4065,12.2565,11.6565,10.5065,11.7135,11.4635,11.4635,11.1635,10.363501,10.0635,9.8135,9.6635,9.5635,9.3135,7.6635003,7.0135,6.4635,6.1135,5.8635,6.5135,8.3635,9.9135,11.0635,11.9135,11.9635,12.0135,11.5635,10.113501,8.5135,8.3635,7.9635,8.3135,8.5635,7.5135,7.4135003,7.0135,6.8135004,6.4635,7.8135004,8.0135,8.0135,7.4135003,6.3135004,7.4635,8.8135,10.2135,11.2135,11.4635,10.6635,9.6635,9.363501,9.113501,8.9135,8.863501,8.863501,8.7635,8.7135,8.6635,8.613501,8.6635,8.613501,8.5635,8.4635,8.0135,7.0635004,7.0135,6.5635004,6.6135,7.1635003,8.2135,8.7635,9.3135,9.5135,9.2135,8.5635,7.7135,6.5635004,5.2135,4.2135,3.8135,3.7135,3.7635,3.9635,4.2635,4.4135003,4.2135,3.8634999,3.6134999,3.5135,3.5135,3.8634999,4.8135004,6.0635004,7.1135,7.7635,8.1135,8.2135,7.9135003,7.2635,6.5135,5.5635004,4.5135,3.7135,3.3634999,3.2135,3.2135,3.3135,3.5135,3.7135,3.8634999,3.9635,4.0135,4.0135,3.9635,4.0135,4.1135,4.2635,4.5635004,5.1635003,5.9635,6.6635003,7.3135004,7.9135003
2025-11-10 02:27:36+00:00,2025-11-10 00:00:00+00:00,16.7565,14.856501,13.4065,12.3065,11.9565,11.9565,12.0565,11.9565,11.9565,11.8065,11.7565,11.7065,11.8065,11.856501,11.856501,11.9065,11.7065,11.7565,12.1565,11.9565,11.3065,11.7565,12.0065,11.8065,10.8065,10.2565,9.8065,9.6565,9.5565,9.3065,7.9564996,7.2064996,6.5565,6.2565,5.8065,5.4065,5.0065,5.5065,6.0565,5.9564996,5.7064996,7.4065,8.8065,10.106501,10.5565,11.0065,10.9065,10.7565,10.4565,7.8635,7.5135,7.3135004,7.4135003,7.3635,7.3135004,7.2635,7.4135003,7.4635,7.4635,7.1135,6.6635003,7.1635003,7.4635,7.5635004,7.8135004,7.9635,8.2135,8.6635,8.9135,8.9135,9.5635,9.2635,9.4135,9.0635,8.863501,9.0635,9.2135,9.3135,9.5635,10.0635,10.1635,10.0135,9.613501,9.5635,10.5135,10.113501,9.3135,9.6635,9.1635,8.2635,8.9135,9.2135,8.9635,9.9635,9.0635,8.5135,7.9635,6.8135004,5.5635004,4.9635,4.4635,4.1635003,4.5135,5.1135,5.0635004,5.6635003,6.1635003,5.3635,5.1635003,5.1135,5.2635,6.2135,6.4635,7.1135,8.0635,8.4135,8.6635,8.7135,8.4635,8.0635,7.7135,7.5635004,7.4635,7.3635,7.2135,7.0635004,6.8135004,6.4135003,5.9635,5.7635,5.9635,6.4135003,6.8135004,7.0635004,7.2635,7.4635,7.5635004,7.6635003,8.1635,9.4635,11.1635,12.2635,12.3135,11.8135,11.1635,10.363501,9.4135,8.7635,8.7135,8.9635,9.363501,9.9135,10.613501,11.1635,11.5635,11.8135,11.613501,10.5135,8.9135,7.7635,7.4635,7.6635003,7.9635,8.4135,9.0135,9.3135,9.0135,8.4635
2025-11-11 02:17:36+00:00,2025-11-11 00:00:00+00:00,11.7065,10.106501,9.3065,8.8065,8.356501,8.2565,7.6064997,7.0565,6.8564997,6.3564997,6.0565,5.9564996,5.5565,5.2064996,4.9065,4.7565,5.0565,6.9564996,8.2565,9.6565,10.356501,10.5565,10.5565,10.4065,9.7065,8.2565,7.6064997,7.3564997,6.8065,6.4065,6.4564996,6.1565,5.9065,5.8065,6.0065,6.0065,6.1565,6.3564997,6.4564996,6.6565,6.9564996,7.5065,8.356501,9.2065,9.606501,10.2065,11.8065,11.6565,11.2065,10.1635,10.0635,9.9135,9.6635,10.0135,10.0635,9.7635,9.7635,10.113501,10.363501,10.7135,10.4135,10.4135,10.863501,10.9135,10.863501,10.0635,10.1635,10.4635,11.0135,10.5135,10.5135,10.1635,10.0135,9.7635,9.0135,8.8135,8.5635,8.3135,7.6135,7.2135,7.6135,6.7135,6.5635004,6.1135,5.8635,5.7135,5.4635,5.3135004,6.1635003,7.6635003,9.1635,10.1635,11.0135,11.363501,11.613501,11.5635,9.9635,9.2135,9.2635,9.1635,9.0635,8.863501,8.7635,8.5135,8.4635,8.4135,8.4135,8.3135,8.3135,8.5135,8.6635,8.5135,8.0135,8.1135,8.3135,8.5135,8.8135,9.0635,9.1635,9.2135,9.3135,9.5135,9.7135,9.8135,9.7635,9.5635,9.2635,8.6635,7.9635,7.6135,7.9135003,8.5135,8.9135,8.7635,8.3635,8.1635,8.4135,8.863501,9.2635,9.5635,9.863501,9.863501,9.5135,8.9135,8.1635,7.1135,5.9135003,4.9135003,4.3635,4.1135,3.8135,3.4635,3.0635,2.7635,2.5135,2.3135,2.1635,1.8635001,1.5634999,1.7635,2.8634999,4.5135,6.0135,7.2635,8.4135,9.113501,9.1635,8.7135
2025-11-12 02:20:22+00:00,2025-11-12 00:00:00+00:00,10.7565,9.0065,7.7064996,7.1064997,6.9564996,6.9564996,6.7064996,6.4564996,6.3065,6.1565,6.0565,6.3564997,6.6565,6.5565,6.5565,6.6064997,6.9065,7.9564996,9.2565,10.4065,11.8065,13.0565,13.6565,13.4565,12.606501,11.8065,11.5565,11.5565,11.7065,11.4565,11.0565,11.0565,11.0565,10.606501,10.4565,10.7565,10.5565,10.5565,11.0065,11.0065,11.106501,11.4565,12.4065,13.106501,12.2565,13.0565,13.4065,13.356501,12.856501,11.9635,11.7135,12.113501,12.0635,11.363501,8.863501,8.4135,8.6635,8.5135,8.1135,7.9635,7.9635,8.0135,8.0135,7.6635003,8.0135,8.5635,9.3135,9.6635,9.5135,9.3135,8.613501,8.2635,8.0635,8.0635,8.2635,8.5135,10.0635,11.113501,11.2635,11.5135,11.6635,11.863501,11.9635,12.0635,12.113501,12.1635,12.2135,12.2135,12.2635,12.2135,12.113501,12.0635,11.9635,11.7135,11.4635,11.3135,11.2635,11.1635,11.0135,10.7635,10.6635,10.6635,10.5635,10.613501,10.7635,10.863501,10.9135,10.863501,10.613501,10.4135,10.363501,10.3135,10.2635,10.3135,10.4635,10.2135,9.9135,9.613501,9.4635,9.363501,9.2635,9.0635,8.9135,8.7135,8.613501,8.5135,8.3635,8.1135,7.8635,7.6135,7.5135,7.4135003,7.3135004,7.0635004,6.8135004,6.7635,7.1135,7.6635003,8.2135,8.8135,9.4135,9.613501,9.2635,8.5135,7.5635004,6.3635,5.0135,3.9635,3.4135,3.1635,2.9135,2.6635,2.4135,2.2135,2.0635,1.9135001,1.7635,1.4135001,1.0635,1.2135,2.2135,3.7635,5.2135,6.5635004,7.8135004,8.4635,8.2135,7.4135003
2025-11-13 02:38:20+00:00,2025-11-13 00:00:00+00:00,11.606501,11.0065,10.8065,10.8065,10.7065,10.4065,10.3065,10.5565,10.4565,10.7565,10.8065,10.9065,11.0565,10.7565,10.7065,10.7065,10.9065,11.1565,11.2565,11.5565,11.9565,11.4565,10.1565,9.7065,9.8065,8.856501,8.9065,8.8065,8.5065,8.4565,8.2565,8.2565,8.2065,7.2064996,6.9065,6.8564997,7.3564997,7.1064997,7.1064997,7.4065,7.7064996,8.6565,9.4065,10.356501,12.1565,12.4065,12.606501,12.2065,11.856501,11.4635,11.613501,11.4635,11.3135,11.2135,11.2635,11.4635,11.613501,11.5635,11.6635,11.7135,11.6635,11.613501,11.4135,11.2135,11.0635,10.9635,10.863501,10.6635,10.4635,10.4135,10.363501,10.3135,10.363501,10.3135,10.3135,10.363501,10.363501,10.363501,10.4135,10.4635,10.5135,10.5635,10.613501,10.5135,10.4135,10.4635,10.4135,10.363501,10.4635,10.6635,11.0635,11.613501,11.7635,11.613501,11.4635,11.4635,11.5135,11.3135,10.9135,10.4635,10.363501,10.1635,10.0635,9.9635,10.0135,9.9635,9.613501,7.5635004,6.9135003,6.3135004,5.7635,5.5635004,5.6635003,6.2135,7.3135004,8.0635,8.8135,9.2135,9.113501,8.6635,7.9635,6.8635,5.5135,4.4135003,3.7635,3.4135,3.1134999,2.8634999,2.6635,2.5135,2.3635,2.2635,2.1135,1.7635,1.4135001,1.5634999,2.6635,4.2635,5.8135004,7.2135,8.5135,9.1635,8.863501,7.9635,6.8635,5.6135,4.2635,3.1635,2.5635,2.3135,2.0635,1.8635001,1.7135,1.5634999,1.4135001,1.3135,1.2135,1.0135,0.81350005,1.0135,2.0135,3.4135,4.5635004,5.3135004,5.8135004,5.9635,5.5635004,4.7635
2025-11-14 02:21:18+00:00,2025-11-14 00:00:00+00:00,12.8065,12.2565,11.9565,11.5065,11.0565,10.856501,10.6565,10.356501,9.6565,9.3065,9.0565,9.0065,9.1565,9.106501,9.2565,9.4565,9.9065,10.8065,11.4565,11.856501,11.9565,12.1565,11.8065,11.7065,11.606501,11.5065,11.4565,11.4565,11.5565,11.4065,11.2565,11.2565,11.3065,11.4065,11.4065,11.5065,11.9065,12.0565,12.1565,12.106501,11.9565,11.9065,12.1565,12.356501,12.4065,12.3065,12.2565,12.106501,12.0565,10.863501,10.8135,10.8135,10.7635,10.7135,10.7135,10.5635,10.4635,10.3135,9.9135,9.9135,10.1635,10.2635,10.2135,10.113501,10.113501,10.363501,10.9635,10.7135,10.6635,10.8135,10.7135,10.6635,10.5635,10.5635,10.6635,10.6635,10.6635,10.5635,10.5135,10.5635,10.5635,10.5635,10.5635,10.5635,10.613501,10.4635,10.4135,10.363501,10.4135,10.5135,10.7135,10.8135,11.113501,11.2635,10.863501,10.6635,10.4135,9.2135,9.0635,8.9635,8.7635,7.6635003,6.7135,6.2135,5.9635,5.7135,5.4635,5.3135004,5.1135,4.9135003,4.8135004,4.6135,4.8635,7.0635004,9.1635,10.1635,10.8135,11.0635,10.6635,9.863501,8.8135,7.4635,5.9635,4.8135004,4.2635,4.0635,4.1635003,4.6635003,5.4635,5.8135004,5.3135004,4.4135003,3.6134999,3.0635,2.6635,2.7635,3.6635,5.0635004,6.4135003,7.6135,8.7635,9.3135,8.9635,8.0635,7.1635003,6.3635,5.5135,4.7635,4.2135,3.7635,3.4135,3.2635,3.2135,3.1635,3.1134999,3.0135,3.0135,2.9135,2.8634999,3.1635,4.0135,5.1635003,6.3135004,7.4635,8.5135,9.0135,8.5635,7.5635004
