forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:36:51+00:00,2025-11-05 00:00:00+00:00,7.985,7.485,7.185,6.835,6.6349998,6.485,5.985,6.185,6.335,6.1349998,6.085,6.285,6.6349998,7.085,7.285,6.8849998,7.235,8.135,8.685,10.535001,10.135,11.185,12.385,12.085,10.835,9.485001,9.335,8.085,7.585,6.685,6.435,6.485,6.785,6.035,4.985,4.235,3.7849998,3.9850001,4.185,4.085,5.435,6.735,8.435,8.935,8.785001,8.835,8.535001,8.335,8.235001,9.7755,10.5255,10.5255,9.6755,10.3755,10.5755,10.1755,9.0755,8.0755005,7.4255,6.8754997,6.2255,5.8255,5.4755,5.4255,6.6254997,8.9255,10.4255,11.4255,12.1255,12.4255,12.3255,11.8755,9.7255,8.2755,7.1254997,6.0255,5.7755,5.3754997,4.7755,4.3754997,4.0755,3.7254999,3.1255,3.1255,2.8255,2.7754998,2.5755,2.2754998,3.0254998,4.9255,6.2255,7.6755,8.7755,9.7255,10.2755,10.4755,8.8255,7.5755,6.9255,6.0255,5.6254997,5.4255,5.1755,4.9755,4.8255,4.8754997,4.8754997,4.8754997,5.2255,4.7255,4.5255,4.4255,5.1755,6.4755,7.6755,8.6755,9.6255,10.1255,10.0255,9.5755,8.9755,8.3255,7.6254997,7.0255,6.7255,6.5755,6.4255,6.2755,6.1755,6.0755,6.0255,5.9755,5.9755,5.8255,5.6755,5.8754997,6.6254997,7.7255,8.7255,9.5255,10.1755,10.5255,10.3755,9.9255,9.3255,8.6255,7.7755,7.0255,6.4255,5.9255,5.5255,5.2755,5.1755,5.0755,5.0255,5.0255,4.9755,4.7255,4.4755,4.7755,6.0255,7.8255,9.4255,10.7255,11.8755,12.4755,12.2255,11.5255
2025-11-06 02:27:29+00:00,2025-11-06 00:00:00+00:00,8.885,7.985,8.285001,6.435,5.935,5.3849998,5.985,6.935,5.485,5.3849998,5.435,5.335,5.435,5.435,6.185,5.8849998,6.8849998,8.485001,10.135,11.385,10.435,10.985001,9.935,9.185,8.835,8.385,8.535001,8.835,9.385,9.585,9.185,7.535,7.285,6.535,5.935,5.285,4.585,3.585,2.985,2.885,3.935,6.1349998,7.785,9.585,10.135,10.485001,10.285001,9.685,7.785,8.7255,7.3754997,6.3255,5.6254997,5.5255,5.3255,4.8255,4.3754997,3.8755,3.9255,3.5755,2.9754999,2.6755,2.7754998,2.5254998,3.3255,5.1254997,6.4255,7.7755,8.8255,9.4255,9.8755,10.1255,8.4255,7.4755,7.3255,6.6755,6.2255,5.7255,5.6254997,5.5755,5.3754997,5.4755,5.2255,5.3255,5.4755,5.0255,5.1755,5.0255,5.5755,6.8255,8.0255,8.9755,9.7255,10.2255,10.5755,10.5255,9.1755,8.1755,7.6254997,7.4755,6.9755,6.7255,6.4755,5.9255,5.9755,5.6755,5.4255,4.9255,5.1254997,4.9755,4.8754997,5.2255,6.1254997,6.9255,7.8255,8.6755,9.4755,9.9755,10.0255,9.7755,9.2755,8.2755,6.9755,6.0755,5.9755,6.3255,6.4255,6.0755,5.4755,4.9755,4.5755,4.1755,3.8755,3.4255,3.0755,3.3255,4.6755,6.6254997,8.2755,9.2755,9.9755,10.2755,10.0755,9.4255,8.8255,8.2255,7.6755,7.2255,7.1254997,7.1755,7.1254997,6.7255,6.1755,5.7755,5.7255,5.8255,5.8255,5.4255,4.8754997,4.9255,6.0255,7.6254997,9.0755,10.0755,10.9255,11.2755,10.9255,10.1255
2025-11-07 02:25:46+00:00,2025-11-07 00:00:00+00:00,11.835,10.735001,9.835,9.585,9.335,9.135,9.535001,8.835,6.985,6.285,5.485,5.335,4.285,3.835,3.435,3.335,4.1349998,6.585,8.635,9.585,10.335,10.735001,10.735001,10.385,8.535001,6.535,5.235,4.6349998,4.735,4.435,3.435,3.735,1.835,1.185,0.835,0.385,-0.415,-0.615,-0.265,0.135,0.935,3.335,5.085,6.735,8.135,9.135,9.735001,9.685,8.085,7.5255,7.1755,6.7755,6.1755,5.8255,5.6755,5.5755,5.3754997,5.2755,5.1755,5.4255,5.1254997,4.9255,4.6755,4.5755,5.3754997,6.8255,8.0255,8.9255,9.6255,10.2755,10.6255,10.6255,8.7755,7.9755,7.4755,7.5255,7.0255,6.6755,6.3754997,6.0755,5.7755,5.2255,4.9755,4.7755,4.4755,4.4755,4.5755,4.2755,5.8754997,7.0755,8.0755005,9.2755,10.4255,11.5255,12.3255,12.1255,10.6755,10.2255,10.1255,9.9755,8.1255,8.0755005,8.3255,8.8755,8.1755,9.1255,8.5255,8.7255,6.5255,5.9255,5.7255,5.4755,6.3754997,8.3255,9.7755,10.9255,11.8755,12.3255,11.9255,11.0255,10.1755,9.5755,9.1255,8.7755,8.7255,8.7755,8.8255,8.7255,8.6255,8.4255,8.1755,7.9255,7.6254997,7.1254997,6.5755,6.5255,7.4255,8.8755,10.1755,11.2255,12.1255,12.5755,12.2255,11.3755,10.6255,10.2255,9.8755,9.6255,9.4255,9.2755,9.0755,8.8255,8.5755,8.3255,8.0255,7.7255,7.4755,7.1755,6.8754997,7.0255,7.8754997,9.1255,10.2255,11.0255,11.6755,11.9255,11.5255,10.7255
2025-11-08 02:15:02+00:00,2025-11-08 00:00:00+00:00,11.985001,9.285001,8.235001,7.585,6.335,5.435,5.1349998,4.685,3.2849998,3.635,2.835,0.835,1.7850001,1.0350001,0.385,0.785,1.085,4.185,6.035,7.835,9.385,10.635,11.385,11.535001,9.985001,8.235001,6.985,6.485,6.235,6.1349998,6.185,6.285,6.835,6.785,6.535,6.185,6.085,5.935,5.835,5.735,6.835,8.885,9.735001,10.935,12.185,13.385,14.185,14.285001,12.485001,8.4255,8.2755,7.8754997,7.5755,7.3754997,6.9755,6.6254997,6.4255,6.4255,6.2255,6.1254997,6.1254997,5.9255,5.8754997,6.2255,6.6254997,7.7755,8.7255,9.9755,10.8755,11.2755,11.7255,11.2755,10.3755,10.0755,7.8255,7.8255,7.7755,6.7755,6.3255,6.6254997,6.5255,6.1755,5.8754997,5.5755,5.5255,5.4255,4.8255,4.5255,6.1254997,7.9755,9.2255,10.2255,11.2255,11.8255,12.0255,11.8755,10.0255,8.6255,8.2255,8.1755,8.2755,8.3255,8.1255,7.7255,7.4755,6.7755,6.4755,6.3754997,6.0755,5.7755,5.5255,5.3754997,6.3754997,7.8754997,9.1755,10.1255,10.9255,11.2755,11.0255,10.3255,9.6755,9.2755,8.8755,8.4755,7.8754997,7.2255,6.8255,6.9255,7.2755,7.4255,7.1755,6.7255,6.2755,5.5755,4.8754997,4.8754997,6.2755,8.4255,10.0255,10.5755,10.6755,10.5255,10.2255,9.7255,9.3255,9.2255,9.2255,9.2755,9.3255,9.3755,9.4755,9.6755,9.9755,10.0255,9.6755,9.1255,8.7755,8.6255,8.6755,9.3255,10.9755,13.1755,14.9755,16.1255,16.8255,17.0755,16.5755,15.5755
2025-11-09 02:36:19+00:00,2025-11-09 00:00:00+00:00,9.185,7.435,6.835,6.085,5.735,5.585,5.435,5.435,5.685,5.535,5.1349998,5.1349998,5.035,4.985,4.8849998,4.735,5.835,7.985,9.085,10.435,11.735001,12.835,13.535001,13.535001,11.735001,9.835,9.335,8.535001,7.735,7.435,7.1349998,6.585,6.235,5.985,5.735,4.8849998,4.435,3.935,3.485,3.235,4.185,5.785,7.185,8.785001,10.685,12.135,12.685,12.235001,11.435,8.9755,9.0255,7.0255,6.9255,7.2255,6.2755,5.9755,5.3754997,5.6755,5.6254997,5.5255,5.0755,4.8754997,4.5255,4.3754997,5.5255,7.5255,8.9755,10.0755,11.0255,11.6755,11.8755,11.6755,9.6755,8.8755,8.6755,8.6255,8.3755,8.4755,8.2755,8.0255,7.6755,7.4255,7.0255,6.8255,6.3255,6.5255,6.3754997,6.0255,6.5255,7.9255,9.0255,10.0255,10.8255,11.4755,11.7255,11.0755,9.4255,9.1255,9.1255,9.1255,9.0755,8.5755,8.8255,8.6755,8.4255,8.7255,8.8755,8.6755,8.5755,8.0255,8.0255,7.9255,8.6755,9.6755,9.6255,10.0255,10.3255,10.3755,9.9755,9.2755,8.5755,7.9755,7.3754997,6.8255,6.3255,5.8754997,5.4255,4.9255,4.4255,3.9754999,3.5755,3.2754998,3.1255,3.1255,3.3255,3.6755,4.3255,5.1755,5.9755,6.8754997,7.7255,8.1255,7.8255,7.0255,6.1254997,4.9755,3.7254999,2.7754998,2.5254998,2.6255,2.6255,2.3755,2.0255,1.6755,1.3755001,1.0755,0.87549996,0.8255,0.87549996,1.1755,1.9755,3.0254998,3.8255,4.1255,4.1255,4.1255,4.2255,4.2755
2025-11-10 02:27:34+00:00,2025-11-10 00:00:00+00:00,11.485001,9.385,8.285001,7.785,7.085,6.035,5.435,4.985,4.685,4.3849998,4.035,3.835,3.685,3.2849998,3.435,3.5349998,4.485,5.985,7.035,8.785001,10.035001,11.335,11.335,14.135,12.685,11.185,10.035001,7.335,6.735,5.485,4.585,3.7849998,3.9850001,4.735,2.185,0.735,0.335,0.135,0.23500001,0.435,1.335,3.735,5.8849998,7.835,9.135,9.835,10.185,10.285001,8.835,7.9755,7.9755,8.2755,7.2755,7.1254997,7.0755,7.1755,7.2755,7.2255,7.2255,6.9755,6.9755,7.0255,6.8255,6.6755,7.2755,8.3755,9.1755,9.9755,10.6755,11.2255,11.6255,11.6255,10.4755,9.2255,8.9255,9.1255,9.2755,8.6755,8.3255,8.7255,8.4755,8.4255,8.3755,8.0755005,7.9255,8.1255,8.3755,8.4255,8.7255,9.0255,8.8255,9.8755,12.0255,12.0755,10.4755,10.8255,9.5255,8.2755,7.5255,6.6755,5.6254997,5.2755,5.4755,5.5755,5.6755,5.1254997,4.8754997,4.3255,3.8755,4.2755,4.2755,4.1255,4.4255,5.3255,6.3255,7.4755,8.7755,9.4755,9.2755,8.5755,7.6755,6.6755,5.5255,4.5755,3.9754999,3.5254998,3.2254999,3.0755,3.0755,3.0254998,2.7754998,2.5254998,2.3255,2.2254999,2.2254999,2.4255,3.0254998,3.7754998,4.3255,4.4255,4.2755,4.1255,4.0755,4.0255,3.9754999,3.9754999,4.0255,3.9255,3.5254998,3.0254998,2.7254999,2.8255,3.1255,3.4255,3.6755,3.9255,4.1755,4.3255,4.4755,4.6755,4.8255,5.0755,5.7755,7.5255,9.7755,11.0755,10.7255,9.4255
2025-11-11 02:17:35+00:00,2025-11-11 00:00:00+00:00,6.785,4.835,3.9850001,3.735,4.285,4.8849998,4.8849998,4.685,4.3849998,3.885,3.485,2.885,2.585,2.385,2.5349998,2.335,2.485,3.085,4.035,5.685,7.535,8.885,9.985001,9.985001,8.585,6.8849998,6.185,5.835,5.935,5.585,5.535,5.6349998,5.585,6.085,5.835,5.785,5.935,5.985,6.1349998,6.285,6.735,8.035001,9.085,10.385,11.085,11.385,11.485001,11.185,10.285001,9.8255,9.3755,9.0255,8.6255,7.8255,7.4755,7.6254997,7.7255,7.5755,7.2255,7.0255,7.7255,7.8255,7.9755,8.1255,8.3755,9.0755,10.1255,10.4755,10.7255,10.9255,10.6255,11.3755,10.2755,9.8755,9.7255,9.4255,9.4255,9.4755,9.4255,8.8255,9.0255,8.3755,8.3755,7.4755,6.3255,6.7755,5.8255,5.4755,6.8754997,8.3255,9.8255,11.2255,12.2255,12.6255,12.5755,12.1755,9.8255,8.3755,7.9255,7.4255,7.2255,6.9255,6.9755,6.1755,6.3754997,5.4755,5.0755,4.8754997,4.4755,4.4755,4.2755,4.0755,5.3255,6.5755,7.4255,8.0255,8.3755,8.5755,8.6255,8.5755,8.4255,8.2755,8.0255,7.8255,7.6254997,7.3754997,7.2255,7.2755,7.3754997,7.2255,6.5755,5.6254997,5.0755,5.0755,5.4255,6.0255,7.0255,8.3255,9.5255,10.6755,11.7755,12.3255,12.0755,11.3755,10.5755,9.8255,8.9755,8.3255,8.0255,7.9755,7.7255,7.1755,6.5255,5.9255,5.5755,5.3255,4.9755,4.1755,3.2754998,2.9754999,3.7254999,5.1254997,6.3754997,7.4755,8.4755,8.9755,8.6755,7.9255
2025-11-12 02:20:21+00:00,2025-11-12 00:00:00+00:00,6.935,5.235,5.3849998,5.285,5.6349998,6.1349998,5.935,5.685,5.685,5.285,5.285,5.285,5.185,5.085,5.035,4.8849998,5.6349998,7.3849998,8.335,9.485001,10.635,11.635,11.735001,11.635,10.535001,8.985001,8.235001,8.185,8.085,7.585,7.235,5.935,6.185,6.585,6.3849998,6.235,6.235,5.735,5.235,5.335,5.185,6.335,7.435,8.485001,9.085,9.735001,10.135,9.985001,9.335,8.9755,8.4755,8.2255,8.5255,8.6255,8.8255,8.0755005,7.8255,7.5255,8.6755,7.9255,7.0755,6.8255,6.6254997,6.8255,7.8255,9.4755,10.2755,10.8755,10.9255,11.2255,11.6255,11.4755,10.9255,9.7755,9.1255,9.3755,8.7255,8.8755,8.8755,8.6755,8.3755,9.1755,9.2255,8.9255,8.8755,8.8255,8.7255,8.5255,8.9255,10.0255,11.0255,11.4755,12.5755,13.3255,13.5755,13.1755,11.9255,11.2255,10.8255,10.6255,10.1755,9.8755,9.7755,8.8755,9.3255,9.1255,9.1755,8.9255,7.3754997,7.3754997,6.6254997,5.9755,7.3754997,9.1755,10.1755,11.1255,11.8255,12.1255,11.7755,11.0255,10.3255,9.8255,9.4255,9.1255,8.9755,8.9255,8.8755,8.8255,8.7755,8.7255,8.6755,8.5755,8.4755,8.1755,7.8255,7.8754997,8.5755,9.6255,10.6255,11.5255,12.3755,12.7755,12.6255,12.0255,11.1755,9.8755,8.3255,7.1254997,6.5755,6.3754997,6.0755,5.5755,4.9755,4.4255,3.9754999,3.5254998,3.1255,2.6255,2.1255,2.2254999,3.3255,4.9755,6.3754997,7.3754997,8.1255,8.4255,7.9755,7.0755
2025-11-13 02:38:19+00:00,2025-11-13 00:00:00+00:00,10.085,8.885,7.735,8.385,8.185,8.235001,7.535,7.235,6.785,6.485,6.3849998,6.1349998,5.985,5.785,5.285,4.8849998,5.535,5.6349998,5.935,6.985,8.335,9.585,10.235001,10.435,9.585,8.885,8.285001,8.635,8.535001,8.385,8.435,8.335,8.685,8.535001,8.585,8.435,7.585,6.985,6.285,5.935,6.6349998,8.835,9.885,11.035001,12.185,12.485001,12.585,12.035001,10.485001,9.9755,9.4755,9.2255,9.2255,9.0755,8.4255,8.1255,7.9755,8.0255,7.7255,7.6254997,6.6254997,6.4255,5.9255,6.2755,7.6755,8.0255,8.2755,8.8755,9.9755,10.6755,11.0255,10.3755,9.8755,9.6255,9.5755,9.5755,9.5255,9.4255,9.3255,9.2255,8.9755,8.7755,8.4255,7.2255,7.1755,7.2755,7.2755,7.3754997,8.0255,9.1255,10.1255,10.6755,11.0755,11.3755,11.3755,11.1255,10.3755,10.0755,9.9255,9.6255,9.3255,8.7755,8.5255,8.5255,8.5755,8.5255,8.4255,8.3255,8.2755,8.2255,8.2255,8.2255,8.4755,8.9755,9.0255,8.9755,8.8755,8.7755,8.8755,9.0255,9.0755,8.8755,8.5755,8.2755,8.1255,8.0255,7.8754997,7.5255,7.1755,6.8754997,6.8754997,7.0255,6.8754997,6.0755,4.9755,4.4755,5.0755,6.2255,7.2755,8.0255,8.6255,8.8755,8.5255,7.7755,7.0255,6.2755,5.4755,4.8255,4.4755,4.2255,3.9255,3.4255,2.8755,2.3755,1.9255,1.4755,1.0755,0.62549996,0.2755,0.3255,1.1755,2.4255,3.6255,4.6254997,5.5255,5.9755,5.6254997,4.7755
2025-11-14 02:21:16+00:00,2025-11-14 00:00:00+00:00,7.835,7.6349998,7.6349998,7.6349998,7.8849998,7.485,6.835,7.035,7.285,7.335,7.435,7.8849998,7.785,7.235,7.985,7.985,8.335,8.135,9.135,10.835,12.585,11.885,11.835,11.385,10.435,9.785001,9.385,8.935,8.685,8.535001,8.435,8.535001,8.235001,8.035001,7.535,7.6349998,7.835,7.785,6.3849998,5.335,6.185,9.035001,11.035001,12.285001,12.685,13.085,13.235001,12.185,10.985001,11.9255,11.6255,11.3255,11.2255,11.0255,10.7255,10.6255,10.5755,10.4755,10.1255,10.2255,9.4755,9.9255,9.9755,9.9755,10.0755,10.3755,12.0755,12.5755,12.9255,13.5255,13.5255,13.0255,12.0255,10.8755,10.4255,10.1255,9.9255,9.9255,9.9255,9.8255,9.7255,9.5255,8.9755,8.7255,8.7755,8.8255,8.9255,8.9255,9.0255,9.1255,9.1755,9.2255,9.3755,9.5755,9.5755,9.6755,9.4755,9.2255,9.1255,8.9255,8.9255,8.9255,8.9755,9.0255,8.8755,8.7755,8.7255,8.6255,8.5755,8.6255,8.5755,8.5255,8.8255,9.4255,10.2255,11.0255,11.8755,12.2755,11.9755,11.2755,10.4755,9.5755,8.5255,7.6755,7.0755,6.5755,6.2255,5.9755,5.7755,5.5755,5.3754997,5.1254997,4.8754997,4.4255,3.9255,3.8755,4.6755,5.9755,7.1254997,8.1255,8.9755,9.3255,8.8755,7.9255,6.9755,6.0755,5.1755,4.5255,4.2255,4.1755,4.1255,4.0755,4.0755,4.0255,3.9255,3.7754998,3.6755,3.5254998,3.4255,3.5755,4.2755,5.2255,6.0255,6.5755,6.9255,7.0755,6.8754997,6.4255
