forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:36:51+00:00,2025-11-05 00:00:00+00:00,10.464797,9.673221,10.514218,11.246759,11.726277,16.62249,17.163355,19.137648,17.418196,18.193361,18.792551,17.935081,17.283749,16.981165,16.595179,12.57426,10.30883,10.182337,6.489992,15.517629,16.09969,19.386593,24.363249,24.651457,22.127556,16.854767,26.980793,22.26477,15.315873,9.504273,13.684735,12.074766,18.671474,11.304229,6.989936,6.297428,5.3517847,8.404285,10.464797,11.983188,10.97262,14.512064,14.565548,12.72283,12.522619,7.5685663,6.6185193,1.835647,2.9024127,15.188415,18.161278,17.106628,15.158522,20.721119,19.083395,15.683774,12.287555,15.137133,16.548256,16.375053,15.778516,15.629971,13.202726,16.263872,16.75064,12.538134,10.587917,13.891522,14.48972,12.864649,10.8955765,9.793058,8.4042845,10.739833,11.367109,7.42159,7.24486,6.28713,5.8603754,7.10031,9.83268,10.703569,8.311245,8.473393,8.759178,11.183201,11.609651,12.682018,12.324414,13.324863,12.864649,12.413476,11.440979,9.957108,8.942214,8.161764,9.0645685,12.245294,12.964998,13.363711,13.797912,15.03835,14.799459,14.440443,14.154915,13.797912,14.404499,14.044615,13.797912,12.964998,13.363711,12.979984,12.682018,13.627795,14.24163,14.33234,14.021525,13.217443,12.10157,11.367109,11.159999,11.901798,12.6462,13.004921,12.6462,11.928989,11.570515,11.212135,11.212135,11.212135,11.183201,10.805999,10.440001,9.726665,9.3876505,8.350138,7.2359104,5.7599998,4.379589,3.319036,2.1897945,0.5091169,3.2599385,7.2,10.086427,10.1376915,9.0,7.8954163,6.9247384,5.315336,3.319036,3.8939953,8.587338,11.91812,12.522619,12.074766,11.542478,11.525623,10.805999,10.105681,8.311245,6.5693827,4.896529,4.39436,5.3999996,5.991594,5.6233797,5.692099
2025-11-06 02:27:29+00:00,2025-11-06 00:00:00+00:00,11.304229,3.6,2.4149535,0.35999998,7.928178,0.35999998,1.484318,0.35999998,12.287555,12.181624,10.1887,12.096214,11.966953,12.904882,11.966954,14.4,9.931042,11.090103,12.594856,12.88981,15.1884165,15.716793,14.869351,11.659777,4.8433046,19.296133,20.633371,21.288757,24.975283,25.006397,12.496719,15.273505,24.149532,12.24,24.33664,21.434364,15.807239,9.605998,10.495713,13.830749,12.031756,10.739832,11.384198,15.124284,11.592894,18.014393,15.84,14.494192,10.041354,10.495713,8.39657,7.5685663,6.489992,8.942214,9.339208,8.287822,8.049845,7.754637,8.311245,8.4042845,8.12197,8.12197,11.165805,11.966953,11.609651,12.015589,12.522619,11.983188,11.966954,7.8954163,7.491114,6.151683,6.130579,9.028754,12.324414,13.138765,11.885453,13.004921,13.004921,12.429127,13.324863,13.324863,12.599999,12.620554,12.287555,12.6462,11.901798,12.015589,11.367109,11.440978,12.72283,12.88981,11.592894,11.592894,10.296251,9.178235,9.114471,10.440001,10.799999,10.464798,10.446206,10.086427,9.3876505,8.049845,7.9526596,6.924738,5.937272,3.7585104,2.9024127,1.4399999,2.7416782,4.2136917,4.6938252,4.802999,6.696387,5.1165614,2.5455842,1.2979984,3.2599385,6.849467,8.669949,7.42159,5.0911684,4.32,5.6233797,8.905908,11.212135,10.446206,7.928178,5.8603754,5.0142193,5.00128,4.3349743,2.9024127,2.0991426,2.7416782,2.5455842,1.9386592,2.0364676,2.3051248,2.7416782,2.9024127,3.219938,4.68,6.2145634,6.379216,5.815978,5.315336,5.3517847,5.495161,6.151683,6.28713,6.130579,6.4799995,6.8399997,7.5942073,8.350138,9.422101,11.212135,11.928989,11.966953,11.252519,10.594036,9.605998,7.8625183,6.725354,5.8048253,5.0911684
2025-11-07 02:25:46+00:00,2025-11-07 00:00:00+00:00,13.797912,11.212135,17.026896,20.833395,14.759999,11.119281,19.134262,19.855558,35.309372,29.01743,18.089775,24.57511,10.630672,14.241629,12.594856,14.186923,13.392774,12.738099,16.645864,12.287555,17.771753,13.202726,12.413476,8.905908,9.227524,9.904906,5.0911684,9.726664,13.397612,9.0,2.968636,10.97262,6.28713,3.319036,2.4149535,6.989936,6.4096174,5.692099,6.830519,7.289444,7.127636,8.942214,9.726664,9.686609,8.669949,7.386582,7.928177,10.233123,8.891344,9.3876505,11.304229,12.371645,11.966953,11.525623,11.570515,12.245294,12.682018,12.287555,13.004921,12.261158,12.6462,12.261158,12.287555,11.885453,11.252519,10.661107,11.043261,10.630672,10.383987,9.290511,7.7043357,6.9247384,6.519877,7.9526596,7.968939,7.8625183,7.2359104,7.5685663,7.6367526,6.924738,6.725354,4.1046314,2.3051248,3.396233,3.2599385,1.8,3.8268526,0.71999997,3.2399998,3.2599385,10.1376915,11.525623,9.387651,9.904906,9.659814,8.913181,5.495161,5.3517847,1.9386592,5.00128,2.2768397,2.968636,1.2979984,4.8433046,5.6920996,9.504273,6.792466,11.183201,11.874544,12.261158,11.183201,12.074766,10.308831,9.531505,5.154415,3.8939953,3.319036,2.3051248,1.484318,3.396233,5.154415,5.692099,6.4096174,7.24486,7.968939,8.473393,8.707238,9.028754,9.028754,9.028754,9.0645685,9.47012,9.47012,9.779817,9.746631,9.746631,9.422101,8.473393,7.8625183,6.9527545,6.12,5.692099,5.1165614,4.8433046,4.6938257,5.2416787,6.489992,8.049845,9.255571,10.483357,11.177405,11.367109,11.183201,11.525623,12.605142,14.044615,14.759999,14.4,13.679999,12.599999,11.879999,10.799999,9.726665,7.9932976,6.0347,4.6800003,3.671294,3.4152596
2025-11-08 02:15:02+00:00,2025-11-08 00:00:00+00:00,9.290511,11.212135,11.983188,10.990322,2.1897945,6.9247384,5.00128,2.3051248,5.8048253,4.510787,3.8773184,4.73506,7.2359104,7.491114,5.3999996,7.5685663,7.0911775,8.209263,9.585739,8.714677,7.8954163,7.42159,7.491114,6.8777895,7.92,8.759178,9.114471,10.086427,11.570515,12.261158,12.605142,13.849476,13.722565,12.7279215,13.324863,13.202726,12.849528,12.9249525,13.556282,13.084402,11.5199995,12.864649,12.599998,11.384198,9.957108,7.928177,6.3690495,4.8433046,3.6179552,7.5685663,8.4042845,8.707238,7.5599995,7.9526596,7.172949,5.8048253,4.829907,4.072935,3.8268526,2.2768397,2.2768397,2.8799999,3.219938,6.1305785,4.510787,5.5887027,4.802999,7.8954163,5.634891,4.8433046,4.73506,5.692099,4.0249224,2.4149535,1.609969,5.991594,7.072878,3.7064266,3.96,8.654986,10.1376915,11.5199995,12.620554,12.6462,11.304229,10.703569,6.6185193,4.6938257,4.379589,3.396233,2.6208394,0.8049845,1.5273507,2.968636,5.0911684,5.4477882,8.4963045,10.514218,10.483357,11.440978,10.948973,11.013882,11.792404,13.708391,13.276144,11.966953,12.287555,11.885453,11.525623,11.212135,10.805999,10.823973,9.746631,8.64,9.3876505,8.669949,7.9932976,6.924738,5.5887027,3.8773184,2.9024127,2.9024127,4.452954,5.4833565,5.4833565,5.0142193,4.5536795,4.379589,4.68,4.73506,4.452954,3.8773184,3.5455887,3.4152596,3.6,2.9024127,1.1384199,1.8,3.96,5.4477882,6.379216,7.172949,7.69592,7.92,8.287822,8.350138,9.360001,10.1887,10.315115,10.495713,10.587917,10.587917,10.495713,10.30883,10.315115,10.685391,11.183201,12.24,13.570615,15.509274,18.043148,21.096123,23.1774,23.708124,23.185787,23.532547,26.299719,30.36403
2025-11-09 02:36:19+00:00,2025-11-09 00:00:00+00:00,9.885262,11.269782,11.159999,11.013882,11.165805,12.605142,12.7279215,13.441071,13.324863,12.261158,12.24,12.979984,13.556282,13.276144,13.039754,12.605142,12.6462,13.5515,13.363711,12.413477,10.1887,9.957108,7.8954163,7.386582,7.208994,9.9571085,10.661107,10.464798,9.779817,10.041354,9.107359,8.427383,8.766573,7.5170207,7.24486,3.096837,1.8,1.1384199,3.6,4.6102495,2.8116899,4.39436,3.7585104,1.8,4.452954,5.1165614,3.563818,3.2599385,2.3051248,4.0249224,7.289444,6.4096174,5.95906,5.4477882,4.6102495,5.00128,5.1165614,8.049845,10.703569,9.422101,8.049845,9.746631,8.759178,8.654986,7.729527,7.42159,6.0347,3.8773184,2.52,2.3051248,1.08,3.5455887,6.830519,6.9527545,7.928177,8.089993,7.342588,9.114471,9.779817,9.726665,9.255571,10.446206,9.605998,9.422101,9.779817,10.239453,9.007196,10.8955765,9.531505,9.3876505,8.557102,7.754637,8.049845,7.289445,4.1046314,5.815978,4.2136917,7.10031,7.8625183,6.439876,6.725354,9.007196,9.9571085,7.968939,10.009036,7.42159,10.446206,2.6208394,4.896529,4.379589,3.319036,1.8,4.8965297,4.198285,6.12,5.8048253,4.896529,2.1897945,6.1305785,16.29174,22.183128,20.316889,17.339897,18.1041,21.194187,24.36325,25.729298,24.1388,20.724247,18.214718,17.114204,17.068707,16.87398,16.418526,15.546833,15.782622,17.566378,19.602652,19.61587,15.683774,11.542478,9.565437,5.8048253,5.4833565,9.007196,8.64,6.9899354,4.6938257,1.835647,3.96,6.924738,7.2805495,6.130579,5.04,3.9763298,2.9024127,1.4399999,1.2979984,3.8268526,5.3517847,5.495161,5.4119864,5.4477882,3.319036,3.2399998,5.815978,7.289444,8.209263
2025-11-10 02:27:34+00:00,2025-11-10 00:00:00+00:00,5.0911684,9.83268,10.041354,9.826088,5.8048253,8.311245,7.7879906,7.8954163,6.6087217,6.297428,5.1165614,4.5536795,5.95906,5.1919937,7.42159,6.0347,6.638072,4.6102495,5.315336,4.3498964,3.2399998,5.5887027,3.396233,10.587917,16.42247,20.60823,14.84318,8.209263,4.73506,7.5942073,8.311245,8.161764,7.42159,3.2599385,3.671294,5.1919937,7.771331,8.311245,9.693296,9.360001,5.904439,7.928177,8.669949,6.1094027,6.792466,5.937272,5.00128,3.8268526,6.8399997,7.928178,9.007196,10.464798,11.928989,12.074766,11.525623,11.5199995,11.879999,13.039754,9.726665,11.609651,10.041354,11.620809,11.5199995,11.165805,10.440001,11.525623,12.496719,11.304229,12.849528,9.6932955,7.8625183,6.5693827,10.105681,8.654986,11.177405,11.525623,16.62249,14.044615,14.33234,11.440978,16.516901,12.864649,14.869351,13.5515,7.771331,11.298495,15.509274,12.620554,8.654987,9.6932955,9.585739,18.899143,32.10667,19.803272,15.807239,11.923557,8.587338,11.659777,11.525623,10.182337,6.924738,7.491114,8.4963045,12.864649,17.551615,19.652176,18.775303,20.111729,22.183128,21.470612,18.359999,17.87718,19.734436,24.066206,26.368616,24.43761,21.175837,18.892282,18.35647,19.694992,20.393293,16.645864,11.183201,7.7043357,6.439876,6.28713,5.4833565,4.0249224,2.3051248,1.484318,1.9386592,3.319036,4.6800003,5.991594,6.638072,7.386582,7.145796,6.696387,6.297428,6.9527545,7.771331,8.311245,7.928178,6.725354,5.95906,4.8965297,3.8268526,3.319036,4.1046314,6.519877,9.0,10.028439,10.30883,10.144082,9.504273,8.311245,7.072878,6.28713,5.8603754,4.510787,2.3051248,5.6920996,10.495713,14.84318,19.346441,20.421871,16.676977,10.308831
2025-11-11 02:17:35+00:00,2025-11-11 00:00:00+00:00,11.753877,7.5942073,6.28713,5.771239,2.2768397,5.8603754,5.8603754,4.5536795,3.5455887,3.2599385,3.396233,2.8116899,5.1919937,5.991594,6.9247384,7.24486,9.028754,9.511088,9.885262,9.449572,8.942214,7.386582,6.696387,5.315336,3.0758414,9.114471,9.779817,9.47012,10.239453,9.255571,9.0645685,8.759178,7.42159,8.473393,8.654986,7.5170207,6.924738,8.049845,8.287822,8.473393,7.9932976,8.427383,8.534353,4.072935,2.8116899,3.8268526,5.0911684,4.802999,2.3051248,9.726665,10.538843,11.659777,13.1041975,15.188415,16.199999,14.830076,16.203999,14.77755,15.905319,16.23596,12.538134,23.857979,15.137133,18.416384,14.934577,10.594036,18.532133,12.074766,12.849528,9.9571085,10.182337,11.183201,5.7599998,10.1887,7.10031,5.315336,3.6179552,3.8939953,6.87779,3.2599385,10.137692,6.1094027,6.792466,6.638072,3.9763298,5.904439,3.8268526,4.3498964,7.7879906,4.829907,1.1384199,5.315336,10.105681,11.304229,7.42159,6.489992,5.506941,6.12,7.072878,8.287822,8.534353,7.771331,8.654986,3.219938,5.8603754,5.8048253,7.42159,7.653705,6.1305785,8.654986,8.311245,4.32,2.9024127,1.1384199,3.0547013,2.8116899,2.6208394,2.5455842,1.609969,1.835647,2.5455842,3.2599385,4.3498964,4.8965297,5.0911684,5.00128,5.2416787,6.162207,7.754637,9.19939,9.585739,9.0,8.4963045,8.39657,8.557102,8.427383,7.729527,6.618519,6.489992,7.10031,7.7879906,7.42159,4.8965297,3.0758414,5.00128,7.7043357,10.703569,10.739832,5.991594,5.0142193,10.464798,11.792404,10.829958,10.1887,10.44,11.119281,11.631956,11.592895,11.304229,10.691453,8.913181,6.792466,5.6920996,5.8603754,6.924738,7.5685663,8.350138,9.565437
2025-11-12 02:20:21+00:00,2025-11-12 00:00:00+00:00,8.049845,9.779817,11.183201,10.853866,10.538843,10.823973,11.570515,11.503113,11.525623,11.090103,11.440978,10.483357,10.587917,11.177405,10.948973,10.239453,8.759178,9.0,9.290511,8.287822,6.792466,5.6233797,2.968636,1.484318,1.8,1.609969,9.028754,8.854829,4.3349743,10.661107,5.0528407,4.510787,10.823973,8.759178,4.8433046,4.73506,9.028754,6.28713,1.8,4.3498964,5.1544156,3.0547013,6.6087217,5.8048253,4.829907,6.9247384,8.913181,6.9899354,6.2145634,4.2136917,5.6002855,4.6938257,5.991594,11.367109,2.2768397,13.551501,11.019764,12.287555,19.803272,19.64228,14.529915,15.03835,13.608762,13.479583,12.538134,16.323528,18.374111,21.758419,19.296135,17.654688,16.489416,17.10284,17.49615,16.58346,15.2947035,18.919704,15.0038395,16.58346,15.990646,14.336861,14.33234,18.214718,17.782688,14.33234,12.979984,12.10157,8.287822,7.9036193,9.339208,9.021574,11.304229,11.212135,10.464797,8.587338,7.386582,7.6367526,7.5170207,5.991594,3.9763298,7.24486,10.137692,8.209263,8.759178,8.209263,6.439876,5.3999996,3.319036,4.39436,5.3517847,5.00128,4.896529,3.319036,2.5455842,0.8049845,1.08,1.609969,3.2599385,4.3349743,4.73506,4.2136917,3.8939953,3.396233,3.6,4.6800003,5.3999996,5.8603754,6.696387,7.491114,7.9932966,8.287822,8.39657,8.217153,7.10031,4.6102495,2.16,3.5455887,5.5887027,7.5170207,9.178235,11.165805,13.627795,15.379206,15.745627,15.84,15.226764,12.6462,9.0645685,6.439876,4.8965297,5.0528407,6.151683,7.5942082,8.942214,9.422101,9.290511,8.373386,7.289444,5.8048253,4.8965297,5.1544156,5.8048253,6.2145634,6.5693827,6.4799995,6.2145634,6.12,7.145796,8.699793
2025-11-13 02:38:19+00:00,2025-11-13 00:00:00+00:00,8.311245,9.504273,9.904906,9.605998,9.726665,7.5685663,9.255571,9.0645685,8.699793,8.12197,7.42159,5.8603754,5.0528407,5.692099,2.5959969,2.4149535,4.39436,2.5455842,5.1919937,3.5455887,9.0,14.917212,13.202726,11.384199,6.849467,8.534353,5.4119864,7.4128532,2.3051248,1.484318,4.896529,5.6920996,5.0528407,7.145796,6.4096174,4.5536795,7.24486,6.638072,7.42159,9.565437,8.707237,9.957108,11.212135,12.261157,12.229406,12.538134,14.003028,13.392774,13.089354,9.346143,6.4096174,5.3517847,6.9247384,8.707237,10.739832,10.97262,12.181624,11.304229,11.753877,9.178235,6.9153743,6.3690495,4.6102495,4.3349743,1.835647,3.6179552,5.8048253,5.1919937,4.3349743,4.6800003,4.452954,5.6233797,7.7043357,7.10031,7.342588,8.759178,8.891344,8.557102,9.0,9.605998,10.495713,11.542478,11.570515,13.324863,14.044615,12.979984,11.252519,11.252519,9.746631,8.28,9.007196,9.028754,8.350138,7.172949,4.2136917,1.4399999,3.6179552,3.96,4.829907,6.297428,4.896529,5.00128,4.6938257,4.1046314,1.2979984,0.5091169,2.5455842,3.096837,2.0991426,2.6208394,3.6179552,4.1046314,5.904439,5.1165614,4.3349743,4.6938257,5.1544156,5.7599998,5.4477882,4.896529,3.7064266,2.4149535,3.096837,4.8965297,6.9247384,8.373386,8.707237,7.2,7.5942073,9.178235,7.24486,3.2599385,2.3051248,4.1046314,7.0911775,7.8625183,4.379589,4.379589,8.049845,8.557102,8.4042845,8.707237,8.913181,9.339208,8.891344,5.904439,4.6938252,6.297428,4.896529,4.6102495,6.28713,6.151683,5.154415,3.396233,0.8049845,2.0991426,4.6938257,6.12,7.42159,7.754637,7.0911775,5.8048253,4.8965297,5.3999996,6.489992,7.289445,7.10031,6.6087217
2025-11-14 02:21:16+00:00,2025-11-14 00:00:00+00:00,2.968636,3.8268526,5.4833565,8.891343,15.379206,9.255571,2.7416782,7.9932976,7.491114,7.145796,12.229406,14.336861,11.4862,10.464797,16.704155,12.387348,8.669949,8.669949,8.161764,12.475961,16.323528,14.982228,15.683774,12.43434,8.654986,10.787993,14.4,10.948973,8.4963045,8.209263,8.287822,11.119281,9.007196,8.049845,7.342588,9.746631,7.6367526,6.489992,5.1919937,2.6208394,6.489992,7.754637,8.39657,12.031756,14.512064,12.43434,9.885262,9.793058,1.4399999,9.885262,10.587917,11.304229,13.363711,9.885262,12.682018,14.154915,15.484185,15.188415,16.263872,14.917212,12.245294,13.324863,13.363711,11.966953,13.797912,12.682018,14.685176,15.629971,16.055353,15.844089,16.516901,15.379206,14.417988,15.683776,14.618837,12.783802,12.074766,11.966953,11.159999,12.261158,10.308831,10.041354,9.3876505,10.948973,7.968939,6.439876,6.9153743,5.634891,3.9763298,4.6938257,7.208994,6.489992,5.495161,6.151683,5.3517847,5.495161,5.495161,4.3498964,4.802999,3.319036,0.0,1.0182338,2.968636,4.2136917,3.6,2.8116899,1.835647,0.8049845,3.8939953,5.154415,6.162207,5.771239,6.162207,5.4477882,5.1544156,5.0528407,5.1544156,5.815978,7.5685663,9.659814,10.966713,11.525623,12.245294,13.039754,13.138765,12.429127,11.792404,11.043261,10.464797,9.793059,8.913181,7.928177,7.2,6.8777895,6.489992,6.6185193,6.379216,6.28713,6.162207,7.5685663,9.114471,9.793058,8.39657,6.792466,6.924738,7.2359104,7.2805495,6.379216,3.8268526,3.7585104,6.1094027,6.9153743,6.696387,6.297428,6.0347,6.4799995,6.9899354,7.5170207,7.8625183,8.209263,9.0645685,10.086427,11.542478,13.363711,15.725037,17.447933,17.25373,15.646544
