forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:41:30+00:00,2025-11-05 00:00:00+00:00,-2.1539774,-2.8409395,-4.629349,-6.400037,-3.9480317,-3.912941,-3.2603967,-1.7134746,-0.5857846,1.0460402,1.9213196,3.8632672,5.868384,6.1569366,6.2537675,5.223962,4.5638113,5.241958,6.1348815,6.7361856,8.649614,8.256667,8.349784,8.77115,6.9305363,5.746695,5.0770617,5.149167,5.435061,5.7296615,5.4608154,5.1668506,5.770953,5.574173,6.4906445,6.163092,6.2244864,5.8288627,5.779409,3.3769002,3.6306946,5.197883,6.367434,6.547498,6.951469,7.0680065,6.139854,6.537394,7.1979213,6.0644197,6.669568,6.8690977,6.8690977,7.2669134,5.5680084,5.5680084,5.673098,5.7726245,5.121232,4.8233776,3.9759326,4.174261,3.9794433,4.326947,4.6204967,4.972305,5.225227,5.2734623,5.0903354,4.756148,4.0883183,4.609781,4.54362,3.400622,3.2321873,3.0858426,2.7879705,2.589408,2.2414622,1.992928,1.7940992,1.3482201,1.000685,0.5545487,0.25701818,-0.04302906,-0.44227618,-0.8869268,-0.91784126,-0.31913424,-0.058215275,0.09504188,0.20106526,0.4644479,1.2830381,2.7662084,3.4915936,2.9306476,2.2748203,1.9784278,1.6377854,0.8682634,0.04630934,-0.32000917,-0.72246104,-0.6739286,-0.74396294,-0.5504215,-0.077727795,-0.010836511,-0.043035425,0.005492594,0.55216837,1.4878925,2.895145,3.9746587,5.0720415,5.9741535,6.508396,6.526741,6.381171,5.8633823,5.056533,4.3234305,3.8779166,3.847401,3.5848243,3.4017413,3.1681068,3.1681068,3.2165418,3.0775337,3.1258943,2.9808118,2.9743638,3.0712361,3.4189942,4.089872,4.5522137,5.0797453,5.716067,6.158815,6.5034914,6.7496986,6.993523,7.5367026,8.333137,8.695284,9.011449,8.961627,9.113772,9.113772,9.113772,9.113772,9.113772,9.264555,9.264555,9.214616,9.164676,9.264555,9.512821,9.647104,9.875645,9.930128,9.9656725,9.863836,9.9656725,9.979507
2025-11-06 02:34:43+00:00,2025-11-06 00:00:00+00:00,5.3195415,8.122051,6.1455607,5.3338165,6.2375574,5.698055,6.022146,6.1825285,5.9677286,6.669558,6.291766,6.3612723,6.231787,5.574173,5.246579,4.846541,5.358342,6.0952616,6.4780793,6.903911,6.840173,6.1234264,7.5910344,6.853189,7.397776,7.7574687,7.197523,5.5536103,4.5054483,4.9346256,3.5226998,4.1627855,3.5404432,3.867193,4.246292,3.5348034,2.8525283,1.8888611,1.570732,2.049596,2.0099576,2.7130811,3.5268257,3.354912,3.8642545,4.065078,3.6480978,3.4421716,4.06483,3.3698967,3.0864682,2.7867496,2.4383864,2.0900207,1.6449772,1.4461468,1.2970237,1.1976076,0.951037,0.6531465,0.15724498,-0.1419622,-0.44227618,-0.8984855,-0.8963023,-0.68622947,-0.54737115,-0.3680697,-0.40696105,0.05559166,1.5682381,3.4010797,4.687867,4.5470214,3.75672,3.1912515,2.7503614,1.9025445,1.0097084,0.5037169,0.092020646,-0.0018698501,0.045803048,0.045803048,0.09387796,0.41720858,0.6490709,0.7459721,1.1010468,1.9138404,2.687742,3.4950821,4.3861766,5.204796,6.420377,7.285279,7.4625616,6.769657,5.8664756,4.884748,4.4203377,4.33046,3.943029,3.996329,3.9018037,3.9018037,4.141393,4.238099,4.4273143,4.4757423,5.20211,6.184936,7.466983,7.7170916,7.8667355,8.065972,8.066264,8.215908,8.26579,8.465503,8.465503,8.36562,8.165854,7.966091,7.617328,7.2676945,6.8674035,6.4166174,6.068704,5.671085,5.074649,4.4782043,4.0805707,3.9794433,4.174261,4.3667555,4.507424,4.535218,4.767749,4.929929,5.1315737,5.2530584,5.498093,5.605203,5.59544,5.265047,4.976408,4.577245,4.328124,4.2782993,4.030885,3.6829321,3.3837116,3.0834365,2.8811255,2.8316023,2.7269216,2.6206071,2.5619607,2.586761,2.8285916,3.3411822,3.6927822,3.6888769,3.574694,3.4460895,3.636667,4.11781
2025-11-07 02:31:30+00:00,2025-11-07 00:00:00+00:00,6.04843,6.4643946,7.616345,7.7163463,4.834203,2.677096,2.2956042,2.6331744,2.469438,2.4991815,3.1087513,1.8140332,2.1968188,1.9119147,1.1564955,1.2535373,1.3505781,2.8173835,3.306047,4.4248557,4.407589,4.9161716,4.9161716,4.6012187,4.6061645,4.7057767,3.620862,2.9174123,2.0986712,1.2779039,0.4771714,0.10252494,-0.45820558,-0.40989605,-0.5932225,-1.4813204,-2.019806,-3.4304235,-4.7250214,-5.7647266,-6.6370745,-6.6707234,-5.949672,0.12778588,-2.122021,-2.1646347,-0.40546766,-2.6424897,-4.0713506,4.0750976,3.277301,2.9247615,2.340736,1.8179634,1.096347,0.29665548,0.019183036,-0.066590436,-0.0044395113,0.12693349,0.17531295,0.22369313,0.2720728,0.41720858,0.956149,2.0577822,3.3795505,4.048297,5.3260403,6.321508,7.721838,8.445714,8.098093,7.0165143,6.393356,5.883116,5.498093,5.301984,5.0787296,5.0306816,4.9935207,5.0793257,5.0306816,5.0793257,5.0306816,5.225301,5.301984,5.634301,6.4543667,7.5853257,8.106443,8.313952,8.563059,8.662702,8.864367,8.662702,8.714724,8.565081,8.565081,8.815087,8.91497,9.014851,9.164676,9.164676,8.91497,8.61496,8.413595,8.210964,8.011921,8.114666,8.215908,8.315679,8.415561,8.26579,7.7585435,7.609146,7.434119,7.2086344,6.965107,6.7397413,6.5523458,6.600275,6.6396456,6.7695785,6.732856,6.793099,6.6445537,6.545523,6.4464927,6.188882,5.7683954,5.126451,4.5926175,4.102635,3.8490117,3.6336231,3.8291237,3.9018037,4.090271,4.246113,4.5027976,4.8318067,5.5609717,6.5030637,6.9427333,6.878971,6.3489394,6.013451,5.6649995,5.147827,4.9155955,4.6191993,4.6191993,4.6191993,5.06041,5.7297716,6.14943,6.414818,6.622898,6.769657,7.2282267,7.608454,8.05713,8.542517,8.679815,9.0175295,9.168455,9.026512
2025-11-08 02:20:05+00:00,2025-11-08 00:00:00+00:00,3.2609246,0.43861586,-0.13239479,-0.53578705,-0.1311337,-0.11515372,-0.50489855,-0.60074216,-0.7530498,-1.0991971,-2.4562502,-2.6831381,-4.0302386,-4.930982,-7.0605617,-8.988899,-9.632182,-9.298121,-9.832352,-1.2620971,2.2607381,3.414987,1.2958986,-3.358278,-4.2322936,-4.623958,-4.1887803,-3.5765996,-3.0526752,-2.7034807,-2.099411,-1.6816604,-0.9222564,-0.17107688,-0.03840711,0.18269025,0.0033682683,-0.23194572,-0.10020807,-0.3484288,-0.21717525,0.39521343,0.8216673,2.425444,5.4470587,4.957132,4.194791,5.2479234,4.734833,8.674594,7.4947033,6.6503234,6.317256,6.0521517,6.003513,5.819198,5.632784,5.7297716,5.722064,5.9548736,7.063169,8.289284,9.260553,9.662465,9.562703,9.664082,9.863844,9.913785,10.013667,10.36325,10.213429,10.011629,9.961749,9.762226,9.612583,9.664082,9.714024,9.714024,9.914,9.763964,8.764605,7.1162133,6.8691163,6.668354,6.220492,5.869895,5.820193,5.61765,5.5625267,5.683025,5.883116,6.305522,6.6728663,6.4125695,6.2670865,6.499108,6.6701994,6.000849,5.5056796,5.2085743,5.2085743,5.4470778,5.386682,4.9155374,4.5168266,4.0046372,3.7851899,3.731537,3.3601668,2.598141,2.0628936,2.0142334,2.0301309,2.646026,2.7067552,2.8349133,3.0139127,3.4061582,4.0952053,4.779904,5.2837734,5.6885486,5.9648986,6.185777,5.9548736,5.6812778,5.5410576,5.7297716,6.2831964,6.5931935,6.895265,7.3096757,7.593345,8.129966,8.546372,8.95737,9.0568905,9.206171,9.305691,9.355451,9.559476,9.609297,9.758759,10.11139,10.261032,10.360792,10.563014,10.612954,10.712835,10.812715,10.912596,11.062418,11.162297,11.262178,11.262178,11.212238,11.212238,11.262178,11.362061,11.362061,11.212238,11.012477,10.709958,10.6057,10.442264,10.283632,10.14408,9.958039
2025-11-09 02:41:03+00:00,2025-11-09 00:00:00+00:00,-8.058341,-5.6367517,-5.6367517,-5.4632616,-4.3628387,-4.1017594,-3.772712,-3.5994236,-3.2529016,-2.4492111,-1.7435665,-1.3946387,-1.3510265,-1.3074181,-1.7104472,-1.6670024,-1.3194709,-0.40754592,-0.45096207,1.6193439,3.5864413,4.683563,3.0546288,5.2049108,4.156141,4.1532893,4.0620475,3.1783578,3.2030907,3.2863784,3.9202137,5.098101,5.0669847,5.6510005,8.986189,10.940488,10.64157,10.03077,9.537575,9.773381,10.299327,10.299999,10.099565,8.598092,8.950163,8.440422,8.440422,7.8871827,6.6201053,8.812164,9.562703,9.763964,9.863844,9.360194,9.414378,9.364437,8.964129,7.61383,7.0627356,6.957943,6.4960084,6.2484303,6.000849,5.901816,5.901816,5.633635,5.7190695,5.883116,5.9869223,5.9648986,5.875252,6.0883565,6.178277,6.0405226,5.901816,5.7532654,5.436073,5.1125875,4.850006,4.684273,4.9975977,5.3588967,4.8992033,4.702413,4.358025,3.7952707,3.6085346,3.361557,3.4375892,4.078779,4.0883183,4.250707,4.594947,4.642658,5.4371667,5.5410576,5.731869,6.3602915,6.957943,7.414783,7.3112407,7.1621375,7.2676945,6.9687605,6.5657234,6.668354,6.9687605,7.066451,7.315261,7.616449,7.8639994,7.616502,6.9688616,4.524608,4.0207047,3.5712256,3.4713416,3.4713416,3.5212834,3.621168,3.6711104,3.4770534,3.2818065,3.1821568,3.0825062,3.127866,3.1716883,3.1217458,3.1217458,3.0718036,3.021861,2.971919,2.9219766,2.8720345,2.9139998,2.9139998,2.8720345,2.92833,2.9828558,3.0853446,3.1858792,3.28529,3.334173,3.2818065,3.17775,2.7835546,2.0432794,1.7446406,1.9439863,2.5344276,2.9219766,2.8720345,2.7721496,2.672265,2.672265,2.7222073,2.7222073,2.672265,2.8140001,2.672265,2.3388536,2.0421557,1.8860792,2.1878011,2.7882326,3.0825062,3.028098,2.822092
2025-11-10 02:33:40+00:00,2025-11-10 00:00:00+00:00,0.26400557,-1.495491,-2.1651547,0.55889225,0.33421457,0.017896948,0.83000773,1.5184147,6.2752357,9.514755,8.937413,8.788315,9.086509,8.286702,8.462686,8.929568,9.648497,9.415608,10.021559,9.897451,9.076827,8.300531,7.6585703,6.822882,5.9362316,5.125898,4.8397694,3.965725,3.5078435,2.7366211,2.6559753,2.6384766,1.3755137,0.861236,0.44333225,0.34599352,-0.28512028,-0.796379,-1.0266593,-1.5592617,-1.1696614,0.08041721,3.1339922,4.613282,5.6513195,6.413519,6.449939,6.80895,5.0030203,4.6040173,4.5056214,4.275109,4.259627,4.1612277,3.9472797,3.6616356,3.6383932,3.612916,3.585156,3.408891,3.1947951,2.9996095,2.5770695,2.3061922,2.4800434,3.9549577,4.8311877,5.456163,6.014779,6.317214,6.669825,6.8691163,7.0684047,7.2676945,7.466983,7.41716,7.6635914,7.7025294,7.6448016,7.387272,6.9416423,7.029562,6.4732513,6.4732513,6.7823057,7.149035,7.4046965,7.9665008,7.1397014,6.7148275,6.461544,6.1394286,5.154659,3.660403,4.860278,5.1125875,4.554819,4.7939844,4.5470214,4.17658,4.189913,3.5050657,3.0447888,3.0927153,3.153961,3.055295,3.5768209,3.5212834,3.3215148,3.371457,3.2775183,3.5212834,3.5712256,3.6711104,3.7709944,4.0207047,4.270415,4.420241,4.270415,3.920821,3.6711104,3.621168,3.621168,3.5712256,3.4713416,3.3215148,3.2216306,3.1217458,3.0718036,2.971919,2.8720345,2.822092,2.7721496,2.7721496,2.6290252,2.6789095,2.8285618,3.0779822,3.3274019,3.5768209,4.0207047,4.270415,4.420241,4.5700665,4.669951,4.7698345,4.9196606,5.0195436,5.1194277,5.1693687,5.2692523,5.46902,5.7187276,5.868553,5.7716837,5.721801,5.474073,5.274779,5.0256596,4.926013,5.175132,5.6235437,5.7228622,5.5219765,5.1708746,4.8188214,4.719659,4.8233776
2025-11-11 02:22:22+00:00,2025-11-11 00:00:00+00:00,6.6375213,6.46555,6.4780793,4.7230434,3.7363133,3.1516223,2.566896,2.0492692,1.3505781,1.059453,1.2220043,2.4991815,3.693494,3.850633,3.1401474,2.2758112,2.7168615,3.4526417,4.369687,5.558802,6.459658,6.987678,7.0691667,6.822882,5.3093324,3.2123425,2.2434123,2.6811981,1.542901,0.46737275,0.23493966,-0.21777008,-0.8018975,-1.2064166,-1.199487,-0.8482685,-0.33822724,-0.14409545,-0.19066277,0.0305044,1.6280054,3.4447455,4.509487,5.49017,7.1640687,6.987678,8.462686,9.2409,8.623959,8.011921,8.354941,8.447098,8.695284,8.8519335,8.794558,8.53716,8.463595,8.300532,8.300532,8.117457,8.030941,8.018559,7.642665,7.820765,8.041409,8.397461,8.53716,8.762344,8.911807,9.011449,8.85785,9.011449,9.214616,9.263415,9.260553,9.156411,9.06127,9.114,9.014851,8.865029,8.365552,7.815735,7.516804,6.5657234,5.865856,5.5625267,5.468725,5.124352,5.121232,5.3244615,5.4745336,5.5725207,5.742306,5.8782187,5.796088,6.0069737,5.9992833,5.6448946,5.3146267,5.3197994,5.1740556,5.074649,4.6770205,5.215466,5.1590557,4.767749,4.36963,4.7939844,5.1658854,5.372868,5.4740453,5.4740453,5.5735717,5.822836,6.0221286,6.2712426,6.520357,6.719648,6.819293,7.0187445,7.0686255,7.1683908,7.268155,7.3679185,7.4178004,7.5665617,7.616502,7.716384,7.9161496,7.966091,7.966091,7.9161496,7.4676814,6.669825,5.673098,4.826132,4.4285,4.2296834,3.9759326,3.6346555,3.2708633,2.9532642,2.987392,3.2469242,3.374015,3.270979,2.987056,2.5842533,2.2354734,1.8909537,1.5952698,1.3467317,1.0981919,0.899359,0.70052516,0.50169045,0.5513993,1.0449103,1.5425848,2.042635,2.1828508,2.0633378,1.8983144,1.7633617,1.4425726,1.3436987,1.4874246,1.7521161
2025-11-12 02:25:20+00:00,2025-11-12 00:00:00+00:00,2.0657558,-2.0582461,-2.0413759,-2.5612905,-3.296441,-4.2307396,-4.7064486,-4.3522854,-4.3522854,-5.1153474,-5.60661,-5.2479143,-4.446525,-2.4799643,-1.1245633,-0.4619139,1.5514083,4.417788,6.631198,8.027791,9.076827,8.399035,8.4975395,8.502261,7.959234,7.1657014,6.6375213,6.776884,7.91283,8.5166,7.714313,6.707935,5.9650683,5.0327992,4.6868873,4.0483065,3.2070563,4.2837844,5.8451934,5.8451934,7.8156924,8.502261,9.042552,9.337247,9.850102,8.996907,9.702966,10.407057,6.7194495,10.261032,10.26337,10.163487,9.913785,9.40521,8.914248,7.765914,6.7148275,5.915498,5.100894,3.8660278,3.9152284,4.112028,3.9472797,4.112028,4.2104273,3.536362,3.2793193,2.7430062,3.0810084,3.5472631,4.1884503,4.6640215,5.066725,5.0261726,4.677824,4.628059,4.8263655,5.0256596,5.324602,5.1256995,5.324602,5.6235437,5.9723053,5.921914,5.921914,6.02144,6.370889,6.669568,6.8690977,7.1185083,7.3679185,7.617328,7.816856,8.016029,8.065972,8.165854,8.215796,8.265738,8.315679,8.36562,8.415561,8.515441,8.565383,8.565383,8.515441,8.465503,8.615325,8.665265,8.715207,8.865029,8.758329,8.658809,8.662702,8.714724,8.764605,8.714724,8.765146,8.665265,8.515441,8.116144,7.9665008,7.8667355,7.7669744,7.566626,7.414783,7.156502,7.0003037,7.057222,7.215737,7.2178717,7.218272,7.0187445,6.719451,6.2705097,5.721801,5.272855,4.923673,4.4775968,4.2782993,4.2782993,4.5744915,4.5274205,4.07873,3.6171896,3.2526255,3.361557,3.777603,3.8817518,3.5829997,3.0853446,2.6391141,2.5380087,2.315289,2.29153,2.340736,2.402946,2.2166195,1.8411325,1.3435153,0.93999225,1.0503329,1.427242,1.554414,1.1869653,0.80422556,0.4778468,0.87895054,1.2893785
2025-11-13 02:43:05+00:00,2025-11-13 00:00:00+00:00,5.529938,4.5094023,4.652284,5.3183575,4.9075937,4.746043,5.3755817,6.61052,5.9586577,6.872612,7.3429766,8.300531,8.861823,9.05909,8.895201,8.722015,8.944319,9.2141695,10.776225,10.825923,10.70636,11.052003,8.944319,6.091002,7.0929627,6.234566,4.9160314,4.32659,4.434405,2.205163,0.51257,-0.35514742,-1.8073795,-1.4174149,-2.6449435,-2.4090781,-2.173227,-3.006643,-3.053543,-2.5418909,-0.76486254,1.0392246,3.212631,4.408288,4.9584045,5.102423,5.1947093,5.9079804,5.851957,5.8726597,6.0221286,6.221421,6.470039,6.5698037,6.9173245,7.216972,7.5166197,7.716384,7.716384,7.4676814,7.2676945,7.4178004,7.4676814,7.41716,7.566626,7.6662707,7.765914,8.016382,8.066264,8.116144,8.26579,8.26413,8.214308,8.06168,8.06168,8.06168,8.111442,8.161202,8.056744,7.95072,7.89268,7.733864,7.68435,7.6448016,7.603252,7.545649,7.4960713,7.387272,7.276816,7.609146,7.8710413,8.11731,8.314321,8.300532,8.037223,8.135862,8.216355,8.496735,8.653135,8.758329,8.911807,8.961627,8.658809,8.354941,8.156141,8.198911,8.149272,8.099634,8.049995,7.843104,7.79353,7.815735,6.867383,5.622035,5.322738,5.222972,5.274779,5.274779,4.9735575,4.470183,4.0706463,4.2204733,4.424841,4.5274205,4.329473,4.0308657,3.6815789,3.4333568,3.185133,3.1361737,3.234642,3.3814569,3.4312816,3.2844076,2.9865522,2.7325573,2.5712094,2.5014868,2.2596338,1.9748195,1.7523125,1.5781969,1.7523125,2.195771,2.22748,1.821935,1.1973062,0.5049604,0.008661376,-0.34346637,-0.5463505,-0.49168134,-0.23897983,-0.13969389,0.0077085556,0.25314572,0.30285484,0.15665689,-0.13992304,-0.34898153,-0.7368516,-1.3067865,-1.6112486,-1.7102672,-1.2826319,-0.83292687,-0.32166258,0.43039364
2025-11-14 02:26:27+00:00,2025-11-14 00:00:00+00:00,10.047544,7.1032867,6.930389,6.7108364,7.8937263,8.050894,7.848703,7.403209,6.333597,5.9161463,5.394365,4.9838223,6.0365005,6.234566,6.1931734,6.3558455,6.9050126,7.1530476,7.4027543,7.2541876,7.6524596,7.502854,7.4506125,7.490074,7.4821897,7.5813427,7.7300715,7.6704865,7.9779506,8.077102,8.225827,8.066589,8.445833,8.549109,8.445833,8.495594,8.595115,8.644876,8.744396,8.482835,8.264639,8.462686,8.598092,9.872653,9.872653,10.342651,10.071195,10.193191,10.047544,8.964129,8.812164,8.861986,8.7085705,8.658809,8.609049,8.347822,8.190134,7.659142,7.454336,7.013034,6.665126,6.615423,6.6532607,6.3126235,6.163702,6.9671273,7.2307277,7.408054,7.5336165,7.8774633,8.60972,8.293432,8.047499,8.11731,8.364699,8.15238,7.9385824,7.7906246,7.593345,7.1779156,6.7823057,6.743584,6.6339517,6.743584,6.683405,6.793099,6.9416423,7.297766,7.713352,7.965201,8.215908,8.465503,8.715207,8.865029,9.014851,8.662702,8.513237,8.363773,8.161202,8.111442,8.06168,8.164489,8.114666,8.064844,8.215796,8.115913,7.4178004,6.5701804,6.370889,6.221421,5.6213818,5.2701583,5.0105014,4.744591,4.633876,4.3403482,4.1277103,3.9267094,4.150405,4.7825356,4.979171,4.5648327,3.8817518,3.4312816,3.4312816,3.6327643,3.832047,4.1302752,4.3787966,4.329093,3.782342,2.8876445,2.1917555,1.6946845,1.5425848,1.4958546,1.940181,2.6492953,3.2410703,3.319729,3.1333568,3.1820116,3.319729,3.6346555,3.673472,3.731223,3.7326367,3.5835223,3.3847013,3.334173,3.184876,3.184876,3.3814569,3.3814569,3.3316314,3.2319815,3.1821568,3.1323318,3.0825062,3.0853446,3.1354876,3.0157835,2.9645631,2.5160034,1.8082596,1.4034714,1.9138404,2.7267249
