forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:42:55+00:00,2025-11-05 00:00:00+00:00,4.446474,3.2284598,2.3730364,2.0379045,2.2270846,1.4457933,0.90275675,0.7567556,0.4985224,0.850624,1.4689659,2.4479382,2.3934197,2.459953,2.1679995,1.9733583,2.6016483,5.4076624,6.6581616,8.22916,7.7069116,7.2651315,9.03178,8.113367,7.081286,6.081154,5.0162554,4.624833,5.0546656,4.6921334,3.523006,3.450489,3.7440872,3.620734,3.5441685,3.793019,3.300194,3.0074165,3.1568842,2.758212,3.5433366,4.537281,5.292716,5.4545627,4.4389954,5.5355625,6.5098844,6.90005,6.9090805,5.1432133,5.271344,6.188706,6.4896383,5.977295,6.538627,5.854166,6.733893,6.6450586,7.201397,5.782448,3.533681,2.611998,2.0651138,0.65282166,0.5492679,0.5283789,0.36859268,-0.41481492,-0.5151707,-1.0333803,-1.2038295,-1.3981299,-2.0312986,-2.0383203,-2.1156557,-1.9373895,-1.7951777,-1.4813204,-1.5592617,-1.4119605,-1.241388,-0.9195064,-0.5178793,-0.5875496,-0.61660624,-0.7031367,-1.0983864,-1.2960141,-0.731162,-0.08013692,0.16595748,0.6991897,0.89356124,0.41466302,-0.23021723,0.694006,0.29133627,-0.025707712,0.1133868,-0.07304495,-0.38408053,-0.6010027,-0.84473115,-0.99496084,-1.0248753,-0.99337417,-1.0915462,-1.1406325,-1.2388059,-1.3512096,-1.3185959,-1.3579311,-1.241388,-1.1947252,-1.1767632,-1.098375,-1.3079962,-1.1245633,-0.60703427,-0.30833817,-0.09492572,-0.2482499,-0.44077772,-0.6846799,-0.90814584,-0.9444233,-1.1358026,-1.279342,-1.1279073,-1.1758342,-1.0751866,-0.92924184,-0.834017,-0.88614905,-0.9413158,-0.88614905,-0.60074216,-0.49755052,-0.33432573,-0.097528316,0.2180861,0.5889078,0.8802234,1.2666204,1.5371603,1.5804347,1.542901,1.5705622,1.4770337,1.4195391,1.2168944,1.059453,1.1733389,1.1049204,1.0826808,0.8874536,0.9113815,0.85454005,0.6263601,0.7075025,1.09329,1.6604941,1.9977667,2.2991939,2.7677238,3.1140127,3.459849,3.6182084
2025-11-06 02:36:22+00:00,2025-11-06 00:00:00+00:00,5.7116046,4.402526,2.9854858,4.049816,4.000487,4.0214996,3.7396114,3.1794572,4.299076,3.7396114,2.5194354,2.557269,3.9634771,3.8650503,3.450489,3.3961298,3.788679,5.613084,5.3006105,6.1739616,6.1254697,6.610368,6.6922135,6.8305354,7.136377,6.9090805,7.020985,6.661193,6.5924125,6.565477,6.8396707,6.516153,6.1927853,4.9399753,4.0116367,0.27259466,1.3090444,1.2017672,0.44411445,0.2974786,1.7092828,2.0133283,2.5107837,3.0387836,2.8330877,2.5932145,2.6970632,2.6055932,2.4751902,-1.8675174,-1.506233,-1.665616,-1.747746,-1.7982267,-1.4634023,-1.0379418,-0.57877713,-0.24165706,-0.14520659,0.03193439,-0.060872573,-0.20527956,-0.15379103,-0.64907914,0.051385902,0.38012058,0.69300246,0.36579466,0.217555,-0.10641812,-0.41587323,0.042640388,-0.09832576,-0.19176653,-0.01794403,-0.09129522,-0.1216461,0.03266188,-0.1375509,-0.045861173,0.03738886,-0.09605846,-0.39095092,-0.6858498,-0.66493356,-0.8290655,-0.9185772,-0.96739304,-0.757511,-0.76486254,-0.711255,-0.65637136,-0.64557916,-0.80391264,-0.43736556,0.64745134,-0.09492572,-0.21357998,-0.2751578,-0.49397704,-0.76486254,-0.95590806,-1.1469613,-1.3380208,-1.4228847,-1.2716885,-1.3675444,-1.2672122,-1.3632272,-1.3632272,-1.3152196,-1.3196162,-0.669342,-0.6641028,-0.68448627,-0.46617323,-0.10182425,-0.0013380757,0.2497769,0.22863173,0.31079522,0.35783622,0.18453413,0.12924097,0.07809007,0.20371461,0.16595748,0.22464049,0.27143276,0.4036625,0.44169804,0.5742212,0.7045293,0.861236,1.2267314,1.471444,1.8546253,2.3914657,2.4992611,2.424274,2.111474,1.7417508,1.6668673,1.8812761,1.8555894,1.8658483,1.6509373,1.5271432,1.6032374,1.7147503,1.9568452,2.2594662,2.524174,2.5894046,2.6354997,2.50798,2.317386,1.9758384,1.7307562,1.6249174,1.902372,2.3209188,2.5721056,2.8646603,3.1514833,3.244882,3.3402767,3.6749861
2025-11-07 02:33:05+00:00,2025-11-07 00:00:00+00:00,6.2763824,6.2909894,6.0636444,4.8783054,5.678345,6.6147995,6.6475267,7.9155946,7.6111937,3.3496952,0.5299,1.344079,-0.18678196,0.5418708,0.6479548,-0.50657845,1.7439325,2.3039765,2.8964703,2.7738705,2.9027936,2.6249034,3.0133317,2.8462584,2.2555363,2.03143,0.9801544,0.61608124,-0.043375786,-0.7033853,-0.22187836,-0.03913469,-0.8500785,-1.6727924,-1.5608194,-1.4506497,-1.4406788,-1.4898964,-1.4898964,-1.7866063,-0.25950116,1.610509,2.5914085,3.6695974,3.981225,4.100776,3.7541726,3.6644523,3.118451,-0.03546061,-0.0635066,-0.12851867,-0.20220993,-0.36465406,-0.48142844,-0.4304287,-0.4572402,-0.33955652,-0.3708273,-0.3061895,-0.35527298,-0.5178793,-0.5843084,-0.75053906,-0.3963296,-0.45697773,-0.35556293,-0.10000439,-0.07601025,-0.18406884,-0.09360264,1.1059133,0.41302514,0.081742205,0.047004737,0.022209033,-0.11515372,-0.15996285,-0.40035218,-0.6911548,-0.7849947,-0.83307654,-1.0271811,-0.9773248,-1.0254086,-0.9303373,-0.978498,-1.0734924,-0.46600294,-0.5789258,-0.33432573,-0.37365484,0.09053516,0.5968549,1.149102,2.1615036,1.599105,1.6408298,1.713407,1.8081956,1.6385444,1.6604941,1.8589354,1.8602595,2.0298288,2.1952488,2.3515642,2.8221843,3.0000877,2.6384766,2.2906096,2.153471,2.9508038,3.703569,4.752738,4.9704065,4.6982975,4.5663385,4.6110854,4.414147,4.3576026,4.3169007,4.028646,3.990917,4.0317907,3.982657,3.982657,4.0317907,3.9633605,4.0124264,4.061494,4.061494,4.179191,4.1135206,3.8910735,3.9404674,4.32659,4.627899,4.8997555,5.080591,5.25628,5.2728777,5.3037267,5.1761713,5.0387807,4.99486,5.1327863,5.019865,4.7484117,4.6705155,4.52312,4.5722523,4.719648,4.81791,4.867041,4.81791,4.8854284,4.7187204,4.4441204,4.2862253,4.552154,5.0284905,5.174255,5.319007,5.4146776,5.460966,5.6037364,5.6523347
2025-11-08 02:21:34+00:00,2025-11-08 00:00:00+00:00,-0.077038646,-0.19275703,-0.5148851,0.2926529,-0.23787878,-0.26379943,-0.58628356,-0.84828234,-1.3107572,-1.7743068,-2.044516,-1.9203513,-1.847008,-1.7758231,-1.6578611,-1.847008,0.07301054,2.5454288,3.3764124,4.272685,4.4389954,4.6669827,4.5456457,4.655805,3.999207,2.0696266,0.7218666,-0.21850969,-1.0156907,-1.3964709,-1.9640379,-2.248648,-2.4858363,-2.796498,-2.9681237,-3.062661,-3.4629135,-3.9241164,-3.971028,-4.158681,-3.5019379,-1.8667458,2.5296125,3.487523,4.3520665,4.722675,5.1925945,6.774042,4.6980023,0.5337779,0.52451485,0.5971792,0.41279754,0.22082065,0.028837556,0.08041721,0.03234145,-0.06380973,-0.11188595,-0.06380973,0.032800615,0.17497464,0.16978797,0.36300492,0.94070125,1.1740941,1.3629016,1.8768115,2.3014107,2.6952906,3.000857,4.0225058,3.9632385,3.679201,3.6683807,3.638867,3.4526417,3.380025,3.1088924,3.0310483,2.8347642,2.9508038,2.9666157,2.586231,2.6468155,2.606775,2.7130723,2.471076,3.5044243,4.306827,4.9184785,5.1256337,5.0443377,5.0033436,4.7475343,4.9632673,4.9197717,4.332167,4.2774577,3.9014525,3.670128,3.4730616,3.584135,3.6827965,3.8307893,3.670128,3.6554487,3.4361398,3.3868084,3.374527,3.2759912,2.8934836,3.423609,3.5420158,3.7105863,3.7377434,3.9537983,4.1424994,4.32743,4.629299,4.7419233,4.658776,4.563025,4.5037594,4.3846636,4.2545896,4.2608,4.3339086,4.3829074,4.480903,4.5299006,4.407589,4.4565187,4.480903,4.3339086,4.3586597,4.5306053,4.610578,4.5815873,4.7056336,4.7237077,4.9373474,5.834879,6.6396656,6.791395,6.547498,6.194126,5.914851,5.6727586,5.3338165,5.2853947,5.7695966,6.3517914,7.222019,8.412542,9.828391,10.489214,10.193335,9.312535,8.644986,8.558637,8.42507,8.470172,8.492486,8.568218,8.57636,8.0598545,7.4445457
2025-11-09 02:42:29+00:00,2025-11-09 00:00:00+00:00,1.527391,-0.06387052,-1.2525911,-1.896848,-2.4954696,-2.9681237,-3.0806363,-3.614963,-3.7717578,-3.9135916,-4.075164,-3.8037095,-4.2558217,-4.443865,-4.675177,-4.7737436,-4.1601334,-1.6808139,1.8867773,3.0242655,3.8806384,4.384138,5.0046325,6.244652,4.2922163,2.1256313,1.1479926,0.7709322,0.20859273,-0.30906203,-0.49690998,-0.73173344,-1.1105057,-1.2092098,-1.2668155,-1.1393919,-1.4707625,-1.3312184,-1.3061367,-1.0536295,0.5955718,2.584831,4.379596,5.261179,6.3589373,7.1164875,7.513369,8.385271,8.105942,3.5019546,3.6468847,3.2787244,3.0864182,3.0598896,3.304904,2.7366211,2.769801,2.5369606,2.7454832,2.7549677,2.458582,2.5646908,2.471076,2.0253625,3.2571297,4.179191,4.869619,5.0857496,4.837999,4.5570297,4.5445275,5.058683,4.129678,4.1748095,4.162939,3.990917,4.0124264,4.0317907,3.933522,3.9998522,3.9998522,4.0317907,3.933522,3.884388,3.884388,3.670128,3.6334662,3.620862,3.9419172,4.067238,4.465986,4.9704065,5.6545863,5.9117723,6.1212435,6.784446,6.47627,6.658119,7.1849647,7.361871,7.4229198,7.5714607,7.521948,7.5714607,7.521948,7.5102196,7.4471626,7.7080197,7.512467,7.4408097,7.6919384,7.6653295,7.50763,7.4975758,7.849545,8.20415,8.453142,8.574774,8.649614,8.644986,7.996077,6.1721377,3.8981729,1.8466847,0.70691055,-0.1440117,-0.9889104,-1.8073795,-2.2799566,-2.7998521,-3.1961913,-3.3869781,-3.4506907,-3.1411748,-2.5263996,-2.1975586,-2.038125,-1.9970952,-2.0086858,-2.3064902,-3.0045495,-3.4623463,-3.8319566,-3.8882763,-3.946645,-3.7300973,-3.5295832,-3.3371544,-3.2857594,-3.3466759,-3.1930804,-2.676108,-2.0037386,-1.4936438,-1.0042543,-0.37958363,-0.011693281,0.24797526,0.2109759,0.2109759,0.18463433,-0.039926756,-0.25073934,-0.4487502,-0.46600294,-0.43054873,0.21809225,1.0343063
2025-11-10 02:35:19+00:00,2025-11-10 00:00:00+00:00,1.2199805,-0.5706023,-1.6606598,-1.7843192,-1.6711721,-2.0503907,-2.5170426,-2.1916196,-2.2939818,-2.5298398,-2.803673,-2.296085,-2.2729058,-2.2253835,-2.177861,-2.1303394,-0.97121555,1.9298013,3.2794335,4.618943,5.933945,6.8056793,8.422058,7.890324,7.3836293,6.056424,3.939814,2.812227,2.30133,1.7582915,0.93288696,0.6609345,0.12252059,-0.58238006,-1.0223365,-1.7824785,-1.9280962,-1.8014598,-1.8500707,-1.9766359,-0.43573195,2.6775959,4.464294,5.653127,6.276279,6.129823,5.9329753,6.485827,5.2680326,4.0124264,3.88012,3.3971221,3.3374763,3.374527,3.3374763,3.3252594,3.1964898,3.5009112,3.380025,3.45191,3.3310907,3.4037766,3.4289582,3.7459166,3.9182842,4.067238,4.3095613,4.620335,5.1915593,5.223962,5.4629054,6.0081477,5.864559,5.6806016,5.770953,5.574173,5.394365,5.3599753,5.0375915,4.938681,4.8397694,5.0987935,5.229805,5.358342,5.261322,5.049532,5.1806087,5.229805,5.4839854,5.8798714,6.266756,6.4896383,6.449939,6.074716,5.3282337,3.1756544,2.5317457,1.9029824,1.489853,1.4590124,1.2679049,1.1720917,0.9325522,1.0439394,1.0715513,0.85031646,1.1068847,0.9362609,0.81249845,0.7862349,0.6094765,0.18463433,-0.016080182,-0.45203227,-0.82771266,-1.0655463,-1.0413314,-0.8527134,-0.639543,-0.5606972,-0.31321728,0.16978797,0.7150223,1.0680704,1.2160777,1.1834389,1.1357164,1.2824903,1.3640904,1.3291693,1.1976206,1.1777885,1.1068847,1.4225023,1.687719,2.0662987,2.5481474,3.1191363,3.5192995,3.5668054,3.4671555,3.367506,3.3176806,3.2180307,3.2180307,3.2180307,3.121176,3.0725505,3.0719419,3.0695524,3.0653477,3.213914,3.3129568,3.4119997,3.511043,3.610085,3.709127,3.8628848,3.9655423,4.215766,4.4642878,4.6605496,5.003262,5.4332304,5.837712,5.8768425,5.4839854,4.791274
2025-11-11 02:23:48+00:00,2025-11-11 00:00:00+00:00,3.450489,1.613713,0.9089288,0.20033194,-0.0219568,-0.52056867,-0.78070015,-0.6770454,-0.8756822,-0.8564787,-1.1012418,-1.1370025,-0.93319964,-0.5877982,0.7608345,1.4541003,2.730198,3.622,4.4220004,4.777173,5.4974284,5.819379,6.2274985,6.483965,4.918401,3.6951542,2.783249,1.4408228,0.8672776,0.6257723,0.38910833,0.1479663,0.3359548,0.9475224,1.9053161,2.447019,3.1125207,4.1859603,4.3309402,4.4796853,5.278101,6.9215837,8.088375,9.147937,9.825998,10.16595,10.760412,10.268623,8.792647,6.312081,6.198508,5.669196,5.2848673,4.938681,4.543033,4.699525,4.600487,4.30337,4.105291,4.204331,4.105291,4.521406,4.533191,4.521406,5.0427957,5.1627645,5.4737206,5.7018385,6.062802,6.124001,6.6786995,7.2239175,7.076842,6.951469,6.951469,7.0488806,7.4216175,8.237319,8.153059,8.301404,8.220689,8.220689,8.572851,8.947677,9.241998,8.301404,7.348389,6.7243676,5.6077957,5.260477,5.260279,5.698055,4.798198,3.8456726,3.7650325,4.069965,4.4193373,4.1414213,3.913047,3.771489,3.982657,3.491308,3.0982163,2.520841,1.839989,1.3023835,1.1314867,0.93306875,0.74103075,0.5946056,0.61754525,0.6073364,0.9841811,0.93606764,0.8444616,1.0817183,1.6880456,2.09255,2.3414981,2.3863862,2.4654303,2.6759188,2.6806831,3.063993,3.6875906,4.473989,4.9283304,5.0870466,5.0271144,4.8524804,4.768779,4.774885,4.625326,4.576468,4.5543766,4.6522336,4.9376383,5.5034904,5.902732,6.184447,6.3035965,6.364598,6.488268,6.49445,6.422298,6.432628,6.4906445,6.441066,6.07613,5.5421495,5.0144334,4.688638,4.373419,4.0886497,3.989861,3.9787812,3.867193,3.76866,3.4586422,3.2947636,3.2559013,3.2299283,3.0000877,2.5317547,1.5712197,0.656332,0.13985835,-0.15377603
2025-11-12 02:26:49+00:00,2025-11-12 00:00:00+00:00,4.6175866,2.1010373,0.9352363,0.26920575,-0.5272773,-0.71650815,-0.24371555,-0.5272773,-0.6237464,-0.6237464,0.23143363,0.521705,0.05150739,-0.093184195,-0.47535577,-0.6676765,0.57746994,3.3679621,5.147005,6.323486,7.095228,7.4747996,7.5614657,8.2970295,6.6588564,5.4545627,4.7784996,3.465888,3.1350446,3.3211596,3.7975533,4.3048058,3.4465797,2.269718,1.6816064,1.6816064,1.9762031,0.75090754,0.2590247,-0.39698604,0.70307845,3.616325,5.6757207,7.591484,8.2195425,8.910169,9.321146,9.505277,8.603678,7.6091213,7.7574687,8.017077,8.275403,8.433198,8.400301,8.870298,8.1713705,7.7094874,7.274251,5.854166,5.6307592,6.071068,5.974962,4.397038,3.9778984,4.8011622,5.143434,5.4298787,5.2581367,4.9075937,5.818015,5.902732,5.7570305,5.782448,5.892615,5.2369733,5.046519,4.7069716,4.8538055,5.271344,5.5388837,5.2227745,5.0857496,5.260279,5.162992,5.0284905,5.295313,5.114349,4.849587,4.2615194,4.1521645,4.0807366,4.318889,4.7724304,4.955469,5.174255,5.143434,4.998621,5.2369733,5.4656224,5.6363087,5.846736,6.193513,6.558199,6.72972,6.837689,6.837689,6.837689,6.936844,7.0433235,6.993684,7.1482205,7.0929627,7.283884,7.2990036,7.4471626,7.5953183,7.6447034,7.69409,7.69409,7.6447034,7.5459332,7.559671,7.361871,7.1146183,6.927779,6.7792344,6.878265,6.9168153,7.1146183,7.213519,7.101458,7.0520716,6.8179116,6.27394,6.1255813,6.2971554,6.733893,6.97031,6.979967,6.7265606,6.430169,6.223703,6.025349,5.915723,5.7695966,5.5707097,5.231241,4.704313,4.0331206,3.5019546,3.402511,3.6062663,3.4739044,3.0054448,2.22389,1.6529088,1.3193334,1.0995984,0.7245191,0.37384826,-0.0635066,-0.49397704,-0.63079846,-0.5832926,-0.3703358,-0.00074835436,0.7053609
2025-11-13 02:44:31+00:00,2025-11-13 00:00:00+00:00,5.357871,4.241352,4.078379,3.5440168,2.7883663,2.5946136,2.8492098,2.4751902,2.3524168,1.8815087,1.876154,1.4951518,1.2095579,1.2473339,1.3502629,2.1350813,2.8807034,3.5790212,4.9673276,4.4184113,7.816195,8.008301,8.346791,8.12537,7.337119,6.4350443,6.462205,6.483965,6.288282,7.650555,7.3175445,6.902879,6.7764525,7.0738015,6.9107347,7.3053107,6.7460403,6.401237,5.7512474,7.0908394,7.4532733,7.6888394,8.474755,8.359469,8.400624,7.8726163,7.4853625,7.081286,6.796408,3.6902814,3.6255226,3.5988657,3.6274776,3.1977642,3.099815,3.348649,3.348283,3.6306946,3.9598515,4.1748095,4.3846636,4.43331,4.43331,4.2513113,4.2684717,4.369589,4.2134767,4.251019,4.2615194,4.0534544,4.172485,4.461368,4.371062,4.4621816,4.55226,4.5913363,4.840063,5.358342,5.4757833,5.5421495,5.7679763,5.6559324,5.6559324,5.3234615,4.8480806,5.0461545,5.125898,4.699525,5.0146866,5.1904335,5.4656224,5.674392,5.7506485,6.086853,6.5914044,6.734497,6.658119,6.6366053,6.612723,6.46555,6.416492,6.488268,6.2693167,6.2202578,6.046134,6.312081,6.379563,6.607587,6.8872666,6.8872666,6.8872666,6.72972,6.706362,6.754808,6.9305363,7.116854,7.1949964,7.254419,7.37672,7.420403,7.541847,7.678174,7.69409,7.7080197,7.9283752,8.142225,8.197029,7.993127,7.738268,7.076323,6.07613,4.620063,3.620862,3.1634285,3.114225,2.9666157,3.0019522,2.9703848,2.772048,2.326958,1.4476174,0.700751,0.28576526,0.030420542,-0.112591736,-0.39862773,-0.7800345,-1.003671,-1.1836491,-1.2192054,-1.2193071,-1.3685341,-1.338167,-1.4481721,-1.6096823,-1.9979936,-2.0659056,-1.9659622,-1.943766,-1.7484839,-1.4825805,-1.2720542,-1.279342,-1.7283024,-2.4020498,-2.9115388,-3.1257088,-3.0544465
2025-11-14 02:27:58+00:00,2025-11-14 00:00:00+00:00,6.781479,6.3250613,6.356756,6.3250613,6.043672,6.241843,6.4997516,6.30272,6.241843,6.696784,6.1660023,5.4078193,4.695683,4.72269,4.888658,4.3774805,5.4974284,6.781479,6.9241934,6.226545,6.8043184,7.5932827,7.1190166,6.894106,6.727261,6.3681827,6.1215615,6.295698,6.086044,5.874937,5.613084,5.3990383,5.3990383,5.1834407,5.5789843,5.300647,5.064382,4.747447,4.2008095,4.258564,4.7897525,5.947489,6.991803,8.032246,8.373647,8.4339695,8.206414,7.9080095,7.8606815,6.291255,6.318267,6.3035965,6.384112,6.413519,6.4406495,6.488268,6.488268,6.488268,6.488268,6.4391427,6.4391427,6.4391427,6.113703,5.927769,6.1825285,6.188706,6.4011593,6.2789617,6.4420147,6.489727,6.795007,7.2394147,6.8540564,6.8048773,6.607233,6.6424203,6.4104657,6.318375,6.217834,6.071068,5.9732227,5.9932947,5.9444427,5.89559,5.89559,5.7490277,5.6796827,5.826454,5.864559,6.0421486,6.46555,6.8721395,6.8721395,7.0286365,7.097586,7.2791686,7.201397,7.2251287,7.1760044,7.049952,6.987678,7.015716,7.1640687,6.7410655,6.4288216,6.046134,5.9478803,5.8496265,5.7513704,5.6531134,5.770953,5.6233687,5.8496265,5.8527575,5.950742,6.1221404,6.4780793,6.706362,6.7684608,6.878265,6.82875,6.7684608,6.593098,6.312081,5.898753,5.3862324,4.872878,4.283307,3.638867,3.1197333,2.7130811,2.4264362,2.1777978,1.8532971,1.5748835,1.3134589,1.1557598,1.09329,1.1293036,1.1394869,1.08991,1.0846672,1.1326549,1.234109,1.08991,0.9937744,0.84956944,0.65729016,0.36886063,0.2254104,0.1267459,0.16978797,0.2585264,0.34479257,0.7840093,1.2046347,1.6079191,1.9949846,2.2115905,2.4215524,2.5241244,2.6747785,2.8240209,2.8737268,2.9731386,3.0228446,3.1709418,3.121176
