forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:36:45+00:00,2025-11-05 00:00:00+00:00,977.6377,977.2464,977.09485,975.92633,975.0949,973.44836,972.8722,972.0618,970.5672,968.9134,967.576,967.0258,965.61163,965.7546,965.5766,966.3326,964.70264,964.4079,964.7426,964.8942,963.06494,963.7389,964.5876,964.9952,965.3155,965.9228,966.4316,967.13226,967.40015,967.99036,969.08813,969.8086,970.3984,971.09045,972.11945,972.6887,973.134,973.9232,974.5207,975.2679,975.75,976.15625,976.07434,975.22345,974.82526,974.0292,973.0615,971.7359,970.72064,974.18884,973.14514,972.8095,971.92236,971.16693,971.11127,971.489,972.33386,972.8804,973.841,974.1213,974.5789,974.9751,975.5304,976.3664,977.22833,977.9385,978.645,979.1515,979.05383,979.17,979.3286,979.37775,979.3659,979.79016,980.13086,980.4659,980.9461,981.3913,981.84344,981.99695,982.8041,983.34454,983.96674,984.0482,984.3219,984.45636,984.7683,985.1756,986.3765,986.93713,986.9859,987.00385,986.42224,985.8047,985.6944,985.5914,985.317,985.4929,986.0673,985.76984,986.00146,985.92334,986.0514,986.0905,986.13635,986.2037,986.2997,986.218,986.53485,986.71497,986.67883,986.9598,987.3847,987.79083,987.8645,987.7724,987.38324,987.11597,986.91693,986.7383,986.63464,986.52344,986.4869,986.3743,986.3038,986.2614,986.2258,986.10126,985.88794,985.6816,985.468,985.358,985.1517,984.92377,984.79913,984.6358,984.5788,984.5845,984.464,984.2047,983.8277,983.4983,983.18945,982.9287,982.55756,982.1863,981.71155,981.33954,980.8922,980.4659,980.1357,980.1004,980.1683,980.24304,980.229,980.229,980.11163,979.8416,979.5642,979.28326,979.1726,979.05493,978.721,978.048,977.05725,976.19,975.5038,974.8465
2025-11-06 02:27:19+00:00,2025-11-06 00:00:00+00:00,967.19415,967.45496,967.9765,968.49786,968.92346,970.16547,970.63226,971.3666,971.5449,972.07983,972.6216,973.1898,973.85657,974.1433,974.7996,975.6801,976.3122,976.5056,976.6441,976.28033,975.7314,974.9559,973.85754,972.7801,971.682,972.0252,971.0782,969.49255,968.9706,969.0733,969.4443,970.52905,971.4004,972.2431,973.148,974.1085,974.6941,975.9003,976.48,977.11664,978.308,979.3018,980.61566,981.3925,981.5441,981.85333,982.341,982.37476,982.818,979.304,979.8655,980.358,980.68616,981.2712,981.85815,982.5907,982.9462,983.4119,983.87067,984.233,984.27155,984.98926,984.8208,985.4417,986.27344,986.9443,987.1287,987.23615,986.8199,986.6215,986.148,985.85974,985.9065,985.9713,986.3743,986.59894,986.6313,986.58856,986.63477,986.82996,986.6981,986.7941,987.37036,987.34875,987.2526,987.20935,987.5047,987.6607,988.1743,988.4631,988.56494,988.56915,988.12463,987.72675,987.48676,987.36316,987.0596,986.7141,986.6437,986.31354,986.1822,986.12585,985.966,985.75287,985.33295,985.22284,985.02356,984.4117,983.9849,983.60815,983.32,982.9359,982.5835,982.38226,982.02075,981.47986,980.8283,980.32007,979.8396,979.51044,979.26324,979.19464,979.304,979.33765,979.4059,979.38513,979.36414,979.1231,978.87506,978.73016,978.702,978.87286,978.934,979.041,979.1339,979.22284,979.38574,979.4391,979.37286,979.06396,978.54114,978.13464,977.71655,977.416,977.10803,977.00507,977.0871,977.08636,977.113,977.0571,977.0152,976.9052,976.8092,976.6991,976.5678,976.3338,976.1955,976.125,976.15015,976.26044,976.51166,976.7426,976.85406,976.62756,976.1802,975.767,975.4451,975.151
2025-11-07 02:25:38+00:00,2025-11-07 00:00:00+00:00,973.05145,972.10547,970.9537,969.45105,969.2315,970.03424,970.5352,971.8185,972.3273,973.43756,974.75464,975.1417,975.2632,975.5981,976.4269,977.1984,978.08044,979.2271,980.0951,980.8991,981.55145,981.95667,981.9771,981.92194,982.2641,982.3498,982.51135,982.65735,982.7998,982.82416,983.4246,983.8014,983.76025,983.76917,984.03534,984.1836,984.16895,984.0364,984.295,984.5463,984.83966,985.6203,986.59015,986.8896,986.2599,985.99963,985.86224,985.5123,985.3664,986.79614,987.2741,987.10034,987.12585,987.15765,987.4173,987.57385,987.71564,987.96796,988.0424,988.33057,988.30896,988.46484,988.6137,988.9687,989.67474,990.1172,990.29407,990.3596,989.9156,989.5044,989.36725,989.26434,988.93945,988.5933,988.5299,988.4055,987.9861,987.7587,987.5523,987.22864,986.92645,986.31476,985.82025,985.2157,984.522,983.7395,983.3342,982.44855,982.89996,983.0616,982.6319,981.86456,981.1369,980.374,979.55634,979.16504,978.7961,978.4189,978.85785,978.7553,978.49457,978.39166,978.14453,977.8217,977.9657,977.6021,977.6774,977.5945,977.4901,977.7225,977.9077,978.14685,978.931,979.1325,979.2151,979.07697,978.82104,978.49713,978.16174,977.7654,977.5536,977.54755,977.73944,977.86285,977.75964,977.6913,977.6021,977.6635,977.7112,977.75885,977.7171,977.58624,977.5513,977.59863,977.64557,977.76263,977.90924,978.117,978.21277,977.97766,977.6254,977.3011,977.07556,976.7825,976.681,976.6957,976.79913,976.8267,976.7786,976.73737,976.70996,976.6893,976.67535,976.5516,976.304,975.9464,975.69855,975.53937,975.48334,975.4975,975.54126,975.65314,975.73535,975.6657,975.4655,975.21747,974.7994,974.2377
2025-11-08 02:14:55+00:00,2025-11-08 00:00:00+00:00,981.95593,981.7707,981.6389,982.6869,982.29364,982.2161,982.58276,982.5118,982.52185,982.64453,982.68994,982.9705,983.1625,983.3185,983.74005,984.6196,985.04626,985.5597,985.96014,985.8468,985.55334,985.68994,985.74316,985.2354,984.97,985.0571,984.9995,985.2217,985.0513,984.96545,985.00397,984.96075,984.8936,985.0713,985.04956,985.0445,985.07513,985.3267,985.48236,985.5491,985.86487,986.1704,986.64813,986.65546,986.3358,986.164,985.90186,985.34534,984.7982,987.5997,987.4686,987.4406,986.8219,986.6017,986.17505,985.76984,985.2684,985.1511,984.767,984.1624,983.36584,982.8645,982.25977,982.13556,981.60455,981.69073,981.2255,980.6154,979.4614,979.10944,978.6356,979.17865,978.84393,978.67896,978.51526,978.56995,978.64557,978.64557,978.61816,978.7618,978.31537,978.2126,979.1387,979.0814,978.90814,979.42096,980.02277,980.00854,980.7401,981.149,980.97217,980.9099,980.4416,979.75354,979.0114,978.88837,978.31555,978.2406,978.49426,978.4807,978.2678,978.15784,978.02716,977.58765,977.4972,977.6125,977.4322,977.465,977.3946,977.55835,977.52277,977.8786,978.2052,978.62897,978.81647,978.68677,978.4392,978.12946,977.814,977.4439,977.2593,977.19727,977.32056,977.36176,977.3133,977.1686,977.0446,976.8455,976.6534,976.46124,976.16626,975.96027,975.6512,975.29346,975.0244,974.7363,974.70447,974.84314,974.73944,974.3406,973.7016,973.14514,972.76746,972.4723,972.17053,971.6697,971.2583,970.8671,970.79803,970.84515,970.85864,970.61926,970.3529,970.10657,969.7843,969.57184,969.31726,969.13055,968.98987,968.95087,969.116,969.38226,969.4226,969.21814,968.8783,968.4871,968.21735,967.9023
2025-11-09 02:36:13+00:00,2025-11-09 00:00:00+00:00,985.34717,984.9364,984.3825,985.4385,984.5025,984.69653,984.6386,984.3961,984.49207,984.4265,985.2172,985.18805,985.05536,984.93024,985.48395,985.7346,986.1553,986.2779,986.66223,986.58325,986.2937,986.3291,986.07446,985.6834,985.03156,984.6712,984.388,984.0365,983.6849,983.3404,982.9954,982.7677,982.3268,982.07776,981.83545,981.48,981.0887,980.91833,980.8223,980.71893,980.7653,981.026,981.42017,981.33875,980.98016,981.03955,981.2496,981.3526,981.2266,978.83777,979.1261,978.85144,978.7482,978.9472,979.03644,978.7818,978.8295,978.9048,978.8698,978.9242,978.88214,978.83307,978.94794,979.1655,979.51245,979.6819,979.5371,979.26117,978.4702,977.94714,976.89655,976.3422,975.8308,975.3989,975.17944,975.04913,974.82965,974.6304,974.5275,974.212,973.8137,973.7861,973.7861,973.4291,973.2636,973.2231,972.6664,972.99506,973.20215,973.1002,973.07196,972.6999,971.717,971.13354,970.648,969.7435,969.8947,968.9204,969.1676,968.8727,968.0969,966.77234,966.2714,965.1812,965.0577,964.5632,964.5973,962.8612,962.504,961.35803,960.4378,960.0954,959.74506,959.8744,958.5293,957.4385,956.24304,955.60925,955.9068,956.66614,957.57715,958.45654,959.5063,960.3299,960.89264,961.3308,961.6859,962.0679,962.37476,962.68823,963.0154,963.3568,963.7122,963.9789,964.17084,964.4127,964.7396,965.12177,965.3784,965.311,965.02997,964.88605,964.8519,964.8654,964.9466,965.0958,965.32544,965.5753,965.8739,966.2008,966.54175,966.801,966.9716,967.14923,967.1346,967.1275,967.1275,967.2091,967.40106,967.4442,967.39545,967.38824,967.2482,967.0234,966.667,966.475,966.36487,966.33014
2025-11-10 02:27:25+00:00,2025-11-10 00:00:00+00:00,985.6694,985.06036,984.5845,983.45746,983.9769,983.6463,983.27277,983.20825,982.32263,982.2338,981.7537,981.10297,980.5557,980.0614,980.0468,980.2462,980.367,980.59296,980.96643,980.9818,980.9191,981.3971,981.55554,981.6666,981.41406,981.5171,981.5369,981.55005,981.28107,981.3963,981.586,981.6045,981.1423,981.1705,981.0029,980.70044,980.5158,980.60443,980.3836,980.0885,980.03973,980.07733,980.2257,979.8562,978.81244,978.11835,977.41736,976.33966,975.36725,976.2156,976.12634,975.78973,975.63855,975.3504,975.0828,974.6779,974.7531,974.3479,974.7183,974.19653,974.07947,973.68146,973.4823,973.4823,973.4419,973.3745,973.07935,972.9204,972.2396,971.73016,971.1045,970.3154,969.8994,969.3659,969.1881,968.5639,967.41693,967.1566,967.1505,966.5121,965.38635,963.7397,963.63654,962.71075,962.22345,960.93976,959.6826,960.0247,960.9046,961.36584,961.17926,962.0292,962.21826,962.3974,962.4171,962.70197,962.96814,963.4103,963.58905,963.7948,963.62964,964.43054,964.7237,964.40265,964.6136,964.87366,965.13763,964.97095,964.79663,964.8428,964.89575,964.93164,965.8875,965.8308,965.74976,965.5035,965.11926,964.7895,964.7827,964.91345,965.12604,965.41394,965.68054,966.049,966.5269,966.91547,967.3174,967.43854,967.4774,967.53766,967.73663,968.0603,968.2951,968.52997,968.6757,968.8357,969.13354,969.445,969.6319,969.57074,969.48175,969.37164,969.4328,969.5762,969.72595,969.9933,970.36334,970.52716,970.4708,970.2009,969.8633,969.46497,968.89624,968.24524,967.5197,966.719,966.007,965.37683,964.8495,964.51404,964.47345,964.72797,964.8311,964.83026,964.76526,964.7007,964.866,965.04016
2025-11-11 02:17:28+00:00,2025-11-11 00:00:00+00:00,980.85645,981.16675,981.25256,981.1959,980.9682,981.011,981.80743,982.0174,981.2492,981.11755,981.046,980.7149,979.9995,979.9995,980.1915,980.4366,980.6261,980.98584,981.0121,980.60297,979.71893,979.1901,978.3931,977.33594,976.4586,975.9614,975.47906,975.0035,974.39215,973.8484,973.8202,973.42896,972.9236,972.5253,971.9492,971.6329,971.2347,970.5948,970.56635,970.47766,970.349,970.1479,969.8143,969.5479,968.87445,968.7351,968.1296,967.0119,965.92957,971.2877,970.9586,970.89703,970.554,970.2933,969.957,969.4282,968.71423,968.3578,967.92505,966.89526,966.0784,966.3608,965.11237,965.3389,966.25165,964.9197,965.3572,964.62897,964.4703,963.8983,963.6165,963.4512,962.8432,963.16034,963.3663,963.0658,963.0525,963.2106,963.18353,963.4095,963.5201,963.91864,964.8519,964.84485,964.8169,965.44836,965.8259,966.56696,967.61035,968.0351,968.198,968.6122,968.3606,967.9959,968.06573,968.4865,968.05316,968.3505,968.653,969.0376,969.09845,969.42725,969.8045,970.4422,969.95325,969.8361,969.9043,969.62775,970.56683,970.3677,970.47784,970.90424,970.9275,971.1295,971.597,971.3352,970.94305,970.59906,970.277,970.093,969.9153,969.96356,970.2178,970.3618,970.2933,970.2105,970.05237,970.0245,969.9146,969.8186,969.63324,969.5442,969.37286,969.29767,969.3252,969.2637,969.2983,969.3464,969.216,968.74866,968.2114,967.68896,967.4225,967.1771,967.1505,967.3907,967.85034,968.207,968.43994,968.56995,968.81616,969.1043,969.3105,969.67377,970.0631,970.417,970.87305,971.4314,971.9959,972.6535,973.3729,974.17615,974.7572,974.8966,974.8223,974.8706,975.0145,975.28784
2025-11-12 02:20:14+00:00,2025-11-12 00:00:00+00:00,977.9223,977.42957,976.63654,976.87463,975.8257,975.39874,974.8084,974.71936,974.71234,974.19666,973.887,973.68066,973.0016,972.7737,972.75964,972.76666,972.9342,972.9881,973.104,972.7986,972.07336,971.86,971.7359,971.13904,970.536,970.4882,971.0016,970.98065,970.0131,969.5246,969.2345,968.52747,967.8202,967.5109,967.0845,966.53394,965.7024,965.2688,965.2331,964.8351,964.50366,964.4968,964.55225,963.7695,963.36206,962.3735,961.3388,960.03973,959.3526,963.15533,963.3475,963.08624,962.81134,963.99963,964.48004,965.1934,965.51654,966.62775,966.8959,966.8526,967.1476,967.26025,967.98047,968.35815,968.653,969.37146,969.97095,970.3262,970.08453,970.2469,970.1807,970.53864,970.5346,970.75586,971.25635,971.2431,971.23645,971.7034,971.84845,971.609,971.57495,971.23914,971.32074,971.1353,971.0324,970.7303,970.7168,970.90906,971.0607,971.1268,971.1066,970.8384,970.4357,969.7494,969.53076,969.03015,968.55835,968.3194,967.99066,968.0041,967.6264,967.22186,966.85925,966.56433,966.0637,965.7483,965.63885,965.24274,964.8848,964.8447,964.67346,964.53595,964.6455,965.05554,965.01807,964.8433,964.4425,964.19403,963.9685,963.89545,963.8155,963.838,963.9563,964.08765,964.14996,964.1295,964.11615,964.10944,964.0133,963.99963,964.06866,964.1306,964.3847,964.8106,965.32513,965.8054,966.29956,966.8542,967.2978,967.5346,967.661,967.9132,968.2446,968.59875,969.0411,969.6679,970.3824,971.02045,971.41766,971.7464,972.0679,972.27203,972.46893,972.6722,972.97833,973.3871,973.7954,974.2853,974.87067,975.528,976.2266,976.9965,977.5442,977.6571,977.5495,977.39935,977.3714,977.4041
2025-11-13 02:38:13+00:00,2025-11-13 00:00:00+00:00,971.5586,971.455,970.91815,970.6562,970.216,970.6213,970.7173,970.0709,969.3353,969.1008,968.96967,968.66754,968.3654,967.87805,967.4053,966.9393,967.134,966.7116,966.51447,966.35724,966.3776,966.2879,965.6629,964.5923,964.3244,964.304,964.675,965.0727,965.2716,965.8414,966.7128,967.3448,968.1407,968.7172,969.2732,969.2732,969.7398,970.40564,971.22906,971.96295,972.4368,973.0471,973.9856,974.35486,974.3727,974.9137,974.93365,974.4625,974.13043,971.85095,972.374,972.528,972.7497,973.3603,973.25793,973.20294,973.5873,973.3675,973.49115,973.1745,973.40894,973.5188,973.6078,973.7245,973.9855,974.0196,973.9978,973.8746,973.1193,972.46014,971.76575,971.34766,970.6831,970.0726,970.04535,969.7163,969.2426,968.76886,968.19226,967.4995,967.06104,966.8006,966.5739,965.95636,965.44836,965.0435,964.6248,964.34375,964.53595,964.5354,964.5194,964.4347,963.7753,963.491,963.0797,963.0558,962.96814,963.20276,963.46387,963.8007,963.918,964.0899,964.0899,963.98016,963.96643,963.91864,964.1381,963.994,963.9529,963.87726,963.84296,963.87036,964.4879,964.7412,964.8781,964.8564,964.7451,964.6828,964.7184,964.8915,965.1808,965.6062,966.1556,966.60846,966.97894,967.35626,967.8227,968.2893,968.84485,969.3866,969.81146,970.3183,970.7494,971.2977,971.86694,972.4573,973.17163,973.8177,974.3748,974.6709,974.8706,975.01465,975.2343,975.48676,975.86975,976.43884,977.22833,977.8868,978.4606,978.8956,979.3435,979.73755,980.1386,980.45026,980.7471,980.9477,981.07367,981.0077,980.9563,980.8898,981.13965,981.3649,981.37427,980.7625,979.93646,978.94336,977.9337,976.9497
2025-11-14 02:21:09+00:00,2025-11-14 00:00:00+00:00,962.72687,963.3036,964.2642,964.84064,965.63654,966.10315,966.309,966.90607,967.4892,967.2629,967.6676,967.8185,968.4636,968.95105,969.91174,970.2,970.7284,971.181,971.75714,972.0174,972.34753,972.797,972.47296,971.9451,972.58044,972.9995,973.075,973.1849,973.2537,973.03424,972.9587,972.69775,972.2929,972.06635,972.2447,972.334,972.70447,972.98596,973.3841,973.6723,973.9878,974.3106,974.6936,974.52844,974.2469,973.9856,973.59436,972.98395,972.06494,970.82025,970.6013,970.3757,970.08307,969.5465,968.9697,968.3395,967.54376,966.6471,966.3301,965.8428,965.25946,964.5208,964.1485,963.8736,963.811,963.6564,963.16296,962.68463,961.7254,961.29016,960.79,960.3793,960.1064,960.08374,960.1833,960.34875,960.4049,960.4407,960.4007,960.5861,960.711,960.81525,961.27527,961.2687,961.4745,961.783,962.1537,962.9086,963.7667,964.3635,964.8848,965.58997,965.66565,966.0164,966.4076,966.96893,967.348,967.9391,968.44,969.0165,969.3114,969.5996,969.78516,969.8675,969.943,970.1972,970.43066,970.47864,970.5401,970.71844,970.8006,970.972,971.4047,971.48035,971.6314,971.62427,971.52747,971.48566,971.4721,971.4179,971.43207,971.50793,971.65137,971.9176,972.2392,972.5813,972.9233,973.0521,973.18054,973.3161,973.6503,973.9987,974.3471,974.5849,974.8227,975.1252,975.63794,976.31006,976.57495,976.33746,975.78973,975.2755,974.95996,974.6709,974.5597,974.53,974.5744,974.6532,974.6923,974.75964,974.8413,974.9231,974.91595,974.90155,974.7843,974.65936,974.6382,974.71234,974.89716,975.11816,975.4173,975.6559,975.7831,975.6896,975.4784,975.2251,975.10815,974.95624
