forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:37:07+00:00,2025-11-05 00:00:00+00:00,6.8615003,6.9115,6.5615,6.4115,5.9115,5.6115003,5.5615,5.8115,5.9115,5.9615,6.1615,6.4115,6.2615,5.8615003,5.5615,5.5115,6.0615,6.6615,7.6115003,8.761499,8.8615,10.8115,11.9115,10.711499,10.461499,9.3115,7.9115005,7.3615003,7.8115,7.3615003,6.8115,6.2115,5.5615,4.9115,4.4115,4.3115,4.1115003,4.1615,4.8615003,5.3615003,5.8115,6.7115,8.1615,8.211499,8.261499,8.9115,9.711499,9.9115,9.711499,9.356,9.406,8.906,9.056,9.156,9.2560005,8.7560005,7.906,7.7060003,7.156,6.606,6.2060003,6.056,6.006,5.656,6.256,7.406,8.5060005,9.5060005,10.606,11.706,11.956,11.5060005,10.456,9.156,8.356,7.656,7.306,6.856,6.506,6.056,5.756,5.406,5.106,5.056,4.756,4.506,4.256,4.106,4.7060003,6.056,7.406,8.456,9.406,10.056,10.406,10.456,9.906,8.856,8.156,7.756,7.406,7.006,6.856,6.806,6.806,7.056,7.056,6.756,6.406,6.2060003,6.056,5.906,6.406,7.306,8.2560005,9.106,9.906,10.456,10.606,10.556,10.2560005,9.706,9.0060005,8.356,7.906,7.556,7.306,7.106,6.9560003,6.906,6.906,6.9560003,7.006,6.9560003,6.856,7.006,7.506,8.2560005,8.956,9.656,10.406,10.856,10.956,10.856,10.606,10.206,9.656,9.206,8.856,8.556,8.356,8.206,8.156,8.106,8.106,8.106,8.056,7.856,7.606,7.756,8.606,9.806,10.956,12.0060005,13.0060005,13.606,13.606,13.206
2025-11-06 02:27:53+00:00,2025-11-06 00:00:00+00:00,9.761499,9.5615,9.1615,9.0615,8.261499,8.211499,7.9115005,6.8115,7.3615003,7.0115,6.8115,6.5115,6.7115,6.0615,5.9115,5.2615,5.8115,8.5615,10.1115,11.1115,10.8615,10.8115,10.511499,11.0615,9.8615,9.0615,9.761499,10.011499,9.3615,8.4115,8.5615,7.8615003,7.0115,7.0115,5.9115,5.7115,4.9115,4.3115,3.7615001,3.6115,4.5615,6.7615,8.8615,9.461499,9.761499,10.211499,10.1615,9.761499,8.1115,9.106,8.356,7.406,6.656,6.156,5.906,5.606,5.356,5.106,4.9560003,4.656,4.4560003,4.256,4.2060003,4.056,4.7060003,5.756,7.106,8.156,8.806,9.456,9.906,10.0060005,9.5060005,8.706,8.106,7.756,7.506,7.2060003,6.906,6.806,6.7060003,6.756,6.756,6.606,6.556,6.406,6.2060003,6.106,6.506,7.4560003,8.456,9.306,9.856,10.456,10.806,10.906,10.306,9.456,9.056,8.556,8.2560005,7.906,7.656,7.506,7.306,7.106,6.9560003,6.906,6.906,6.7060003,6.756,6.856,7.2060003,7.856,8.556,9.5060005,10.556,11.406,11.856,12.056,12.0060005,11.556,10.7560005,10.106,9.656,9.2560005,8.906,8.606,8.306,8.006,7.7060003,7.356,7.056,6.556,6.056,6.056,6.906,8.306,9.606,10.706,11.7560005,12.456,12.606,12.406,12.056,11.5060005,10.806,10.156,9.606,9.156,8.7560005,8.5060005,8.306,8.106,7.906,7.7060003,7.506,7.256,6.9560003,7.056,7.7060003,8.656,9.606,10.456,11.306,11.856,11.956,11.7560005
2025-11-07 02:26:08+00:00,2025-11-07 00:00:00+00:00,11.6615,10.5615,10.1115,10.461499,10.1615,10.3115,10.211499,8.5615,6.6115003,6.2115,5.6115003,5.2115,5.0115,5.2115,4.9615,4.8115,4.7615,7.1615,8.761499,9.9115,10.9115,11.511499,10.261499,10.1615,9.6615,7.5615,5.9115,5.4115,4.5615,4.1115003,3.6115,3.4115,3.1115,2.8115,2.4615002,2.1615,1.9615,1.8115,1.7114999,1.6615,2.3615,5.0615,7.2615,8.8615,9.8615,10.5615,10.8615,10.461499,8.711499,9.156,8.556,8.006,7.606,7.306,6.9560003,6.656,6.606,6.7060003,6.406,6.306,6.056,5.9560003,5.7060003,5.556,6.156,7.306,8.356,9.406,10.306,10.906,11.206,11.056,10.5060005,9.656,9.306,9.0060005,8.606,8.306,8.056,7.856,7.656,7.4560003,7.256,7.106,6.906,6.906,6.856,6.7060003,7.2060003,8.156,9.306,10.356,11.556,12.456,13.056,13.2560005,12.656,12.456,12.2560005,12.2560005,12.406,12.5060005,11.456,11.0060005,10.406,9.906,9.406,9.0060005,8.806,8.306,7.906,7.656,8.156,9.656,11.056,12.0060005,12.856,13.406,13.456,13.206,12.806,12.306,11.706,11.206,10.906,10.7560005,10.556,10.306,10.0060005,9.706,9.456,9.206,8.956,8.556,8.106,8.056,8.706,9.806,10.806,11.656,12.456,12.956,13.0060005,12.806,12.5060005,12.106,11.656,11.2560005,10.956,10.7560005,10.5060005,10.206,9.956,9.656,9.356,9.056,8.806,8.456,8.156,8.156,8.806,9.7560005,10.606,11.106,11.456,11.656,11.806,11.856
2025-11-08 02:15:19+00:00,2025-11-08 00:00:00+00:00,11.1615,8.6115,7.5115,6.8615003,6.0115,5.5115,4.7115,4.2115,4.0615,3.8615003,3.6115,3.4115,3.1615,2.9615002,2.9615002,2.8115,3.5115001,6.3615003,8.6115,10.0615,10.8115,11.261499,11.6115,11.6615,9.8615,7.6615,6.7615,6.1615,6.0115,6.1615,5.6615,5.4615,5.0615,4.8115,4.8615003,5.0115,5.0615,5.0615,5.0615,5.0615,5.7115,8.1115,10.461499,11.761499,12.711499,13.461499,13.8615,13.6615,12.0615,10.106,9.706,9.306,9.0060005,8.656,8.456,8.2560005,8.106,7.9560003,7.756,7.606,7.506,7.506,7.4560003,7.506,7.9560003,8.856,9.7560005,11.106,12.406,13.306,14.2560005,13.106,12.956,12.956,12.556,12.0060005,11.206,10.706,10.156,9.706,9.356,9.0060005,8.606,8.356,8.056,7.906,7.656,7.606,8.056,9.2560005,10.7560005,11.856,12.706,13.2560005,13.5060005,13.456,12.556,11.606,11.356,11.056,10.806,10.656,10.356,9.956,9.356,8.956,8.606,8.2560005,7.9560003,7.7060003,7.4560003,7.356,7.756,8.7560005,9.656,10.406,11.106,11.556,11.706,11.606,11.406,11.106,10.706,10.306,10.0060005,9.7560005,9.556,9.406,9.2560005,9.106,8.956,8.7560005,8.556,8.156,7.656,7.606,8.2560005,9.306,10.206,10.656,10.956,11.156,11.306,11.406,11.406,11.306,11.056,10.856,10.606,10.306,10.156,10.206,10.406,10.456,10.206,9.806,9.556,9.406,9.406,9.956,11.406,13.406,15.156,16.606,17.806,18.356,17.856,16.706
2025-11-09 02:36:34+00:00,2025-11-09 00:00:00+00:00,9.211499,6.5615,5.6115003,5.0615,4.7115,4.2115,4.1115003,4.2615,3.9115,3.8615003,3.7115002,3.6615,3.9615002,4.0115,3.8115,3.7615001,4.6615,7.1115003,9.8615,11.3115,12.1615,12.6115,12.961499,12.6615,11.1615,9.3615,8.3615,7.4115,6.8615003,6.6615,6.4615,6.2615,6.0115,5.8615003,5.6615,5.6615,5.6115003,5.4615,5.3615003,5.2615,5.6615,7.5615,9.011499,10.6615,12.1115,13.461499,14.3615,14.711499,12.961499,12.156,11.7560005,10.806,10.2560005,9.856,9.306,8.956,8.656,8.306,8.056,7.856,7.606,7.4560003,7.2060003,7.056,7.7060003,9.206,10.606,11.706,12.456,12.956,13.106,12.856,12.106,11.456,11.106,10.806,10.5060005,10.306,10.156,10.0060005,9.656,9.406,9.306,9.156,8.806,8.606,8.356,8.156,8.556,9.306,10.106,10.606,11.206,11.306,10.606,9.906,9.456,9.206,9.106,9.056,8.956,8.556,8.5060005,8.156,8.406,8.5060005,8.106,8.406,8.006,7.9560003,8.156,8.306,8.5060005,9.0060005,9.056,9.856,10.806,11.306,10.906,10.056,9.2560005,8.806,8.456,8.006,7.256,6.406,5.656,5.106,4.606,4.256,3.9559999,3.806,3.656,3.556,3.5059998,3.656,4.156,4.856,5.556,6.306,7.056,7.606,7.906,8.006,7.856,7.256,6.406,5.656,5.2060003,4.906,4.656,4.556,4.506,4.506,4.4560003,4.406,4.306,4.106,3.906,3.7059999,3.606,3.5059998,3.4559999,3.406,3.406,3.556,4.056,4.7060003
2025-11-10 02:27:58+00:00,2025-11-10 00:00:00+00:00,10.6115,8.211499,6.6615,5.7615,4.7115,4.5115,4.5615,4.4615,4.3115,4.2615,4.3115,4.1615,3.9115,3.7615001,3.6615,3.7615001,4.6115003,6.2115,8.6115,10.4115,11.5615,13.9115,15.261499,15.6615,13.3615,11.461499,9.511499,7.2115,6.2615,5.4115,4.6115003,4.3615003,4.3115,4.3115,3.6115,3.6115,3.1115,3.0115001,2.8615,2.8115,3.4115,6.3115,8.5615,10.1615,11.211499,12.1115,12.761499,12.4115,10.9115,10.706,10.206,9.906,9.806,9.706,9.556,9.406,9.2560005,9.156,9.056,8.956,8.706,8.5060005,8.306,8.306,8.5060005,9.206,9.956,10.606,11.306,11.7560005,11.956,11.856,11.356,10.706,10.656,10.556,9.856,9.706,9.706,9.2560005,9.206,8.806,8.406,8.406,8.456,8.556,8.5060005,8.656,8.706,9.156,10.806,12.456,12.856,13.156,12.7560005,12.356,10.906,9.0060005,8.406,7.7060003,7.2060003,6.7060003,6.2060003,6.056,5.806,5.406,4.9560003,4.806,4.9560003,4.9560003,4.806,4.406,4.556,5.656,6.7060003,7.356,7.906,8.2560005,8.356,8.2560005,7.9560003,7.406,6.756,6.156,5.806,5.556,5.356,5.156,5.006,4.906,4.906,4.906,4.9560003,5.006,5.006,5.106,5.2060003,5.406,5.556,5.756,5.9560003,6.156,6.506,6.856,7.006,6.856,6.4560003,6.156,5.9560003,5.756,5.656,5.7060003,5.806,5.9560003,6.056,6.156,6.256,6.256,6.306,6.506,7.006,7.7060003,8.5060005,9.706,11.0060005,11.7560005,11.556,10.7560005
2025-11-11 02:17:50+00:00,2025-11-11 00:00:00+00:00,9.511499,7.2615,6.0615,5.2615,4.7615,4.4115,4.4615,4.2115,4.2115,4.1115003,3.9115,3.3115,3.0115001,2.9115,2.8115,2.5115001,2.6615,5.4615,8.1115,9.711499,10.8115,11.6115,11.9115,11.8115,9.9115,8.1615,7.3615003,6.8615003,6.4615,6.2115,6.2615,5.9115,6.0615,5.8115,5.7115,5.7115,5.4615,5.3615003,5.1615,4.9615,5.3615003,7.4615,8.961499,10.0615,10.8115,11.961499,12.4115,12.211499,10.9115,11.306,10.906,10.656,10.206,10.106,9.706,9.7560005,9.106,9.406,8.706,9.056,9.2560005,9.306,9.106,8.706,9.056,9.556,10.606,10.806,10.7560005,11.156,11.956,12.056,11.556,11.106,10.906,10.656,10.706,10.556,10.2560005,10.0060005,9.956,10.0060005,9.956,9.906,9.706,9.356,9.0060005,8.206,8.406,9.5060005,10.606,11.556,12.2560005,13.0060005,13.5060005,13.406,12.456,11.306,10.606,9.906,9.406,9.0060005,8.456,7.9560003,8.106,7.9560003,7.556,7.2060003,7.156,7.056,7.106,7.156,7.4560003,8.156,8.306,8.906,9.556,10.0060005,10.156,10.156,10.0060005,9.706,9.306,8.906,8.5060005,8.056,7.806,7.856,8.056,8.156,8.056,7.906,7.806,7.756,7.7060003,7.906,8.406,9.106,9.706,10.2560005,10.706,10.906,10.656,10.106,9.606,9.306,9.056,8.806,8.5060005,8.2560005,7.856,7.306,6.7060003,6.106,5.656,5.2060003,4.856,4.406,3.9559999,3.9559999,4.606,5.7060003,6.856,8.156,9.5060005,10.356,10.356,9.906
2025-11-12 02:20:39+00:00,2025-11-12 00:00:00+00:00,10.461499,7.8615003,6.2115,5.3115,4.8615003,5.0115,5.0115,4.7615,4.6115003,4.6115003,4.6115003,4.4615,4.1115003,3.9615002,3.9115,3.8615003,4.3115,6.6615,8.4115,9.8615,11.0615,11.711499,11.461499,11.3115,10.211499,8.8615,8.1115,7.5115,6.7615,6.2615,5.8615003,5.4615,5.5115,6.0115,5.6115003,5.3115,5.0115,4.9615,5.1115003,5.0615,5.3615003,6.7115,7.7115,9.1115,9.961499,10.761499,11.0615,11.461499,10.1115,9.556,9.356,9.556,9.656,9.656,9.2560005,9.556,8.956,8.7560005,8.606,8.5060005,8.106,8.206,8.356,8.5060005,8.7560005,9.556,10.406,10.7560005,11.156,11.606,11.606,11.406,11.2560005,10.656,10.456,10.106,10.2560005,10.5060005,10.306,9.856,9.556,9.5060005,9.406,9.5060005,9.556,9.356,9.556,9.056,9.206,10.2560005,11.156,11.906,12.606,13.0060005,13.156,13.106,12.806,12.5060005,12.306,12.056,11.906,11.706,11.5060005,11.2560005,11.156,10.406,10.056,10.156,9.656,9.306,9.306,8.956,9.2560005,10.206,11.106,11.7560005,12.356,12.706,12.7560005,12.556,12.2560005,11.906,11.5060005,11.106,10.806,10.556,10.406,10.356,10.356,10.306,10.056,9.706,9.456,9.356,9.356,9.5060005,9.806,10.306,10.906,11.906,13.0060005,13.656,13.456,12.7560005,11.906,10.906,9.7560005,8.7560005,8.156,7.756,7.306,6.656,5.9560003,5.306,4.756,4.256,3.806,3.356,3.0059998,3.056,3.7559998,4.806,5.856,6.756,7.656,8.2560005,8.456,8.356
2025-11-13 02:38:35+00:00,2025-11-13 00:00:00+00:00,10.3615,8.8615,7.9115005,6.8615003,6.5615,6.2115,5.9115,5.5615,5.3615003,5.2115,5.7615,5.5115,5.2615,5.0615,4.8615003,4.7615,4.9615,5.8615003,7.1615,7.8615003,8.761499,9.4115,10.0615,10.4115,9.6115,8.6615,8.961499,9.1615,9.3115,9.011499,8.961499,9.3115,9.0615,9.011499,9.1115,8.3615,7.4615,6.8615003,6.5115,5.9615,6.2115,8.261499,10.3115,12.0615,13.1615,13.8615,14.0615,13.461499,11.761499,11.606,10.656,10.2560005,9.7560005,9.606,9.156,8.806,8.5060005,8.206,8.006,7.9560003,7.7060003,7.506,7.406,7.4560003,8.306,8.606,9.0060005,10.456,10.956,10.456,11.106,11.156,10.606,10.0060005,10.206,10.106,9.856,9.606,9.2560005,8.956,8.906,8.456,8.456,8.356,8.206,8.156,8.156,8.106,8.5060005,9.156,9.556,9.706,9.7560005,9.906,10.206,10.156,9.556,8.7560005,8.556,8.5060005,8.556,8.556,8.606,8.606,8.656,8.656,8.656,8.656,8.706,8.7560005,8.7560005,8.706,8.656,8.606,8.656,8.656,8.606,8.606,8.606,8.606,8.606,8.556,8.5060005,8.406,8.2560005,8.056,7.856,7.7060003,7.506,7.256,6.806,6.256,5.7060003,5.056,4.4560003,4.306,4.906,5.906,6.9560003,8.006,9.0060005,9.606,9.5060005,9.0060005,8.306,7.406,6.306,5.406,4.806,4.356,4.006,3.656,3.356,3.106,2.906,2.806,2.656,2.4559999,2.2059999,2.306,2.906,3.806,4.606,5.306,5.906,6.306,6.356,6.106
2025-11-14 02:21:35+00:00,2025-11-14 00:00:00+00:00,9.0615,7.6615,7.8115,8.0615,8.761499,7.1615,7.5115,7.7615,7.7115,6.5615,5.9615,5.7615,5.6115003,5.5615,5.6115003,5.8615003,6.3615003,7.9115005,9.511499,10.961499,12.211499,12.961499,13.3115,12.1615,10.9115,10.1615,9.711499,9.3615,9.1115,9.1115,9.011499,9.1615,9.1615,8.961499,8.8615,8.761499,8.0615,7.5615,7.2615,7.5615,7.6115003,9.0615,9.5615,10.461499,10.5615,11.261499,11.6115,11.0615,10.3615,12.656,12.306,12.306,12.306,12.056,11.956,11.5060005,11.0060005,10.656,10.806,10.806,10.906,10.906,10.856,10.906,10.856,11.556,12.056,12.606,13.306,13.906,14.106,13.956,13.356,12.706,12.306,12.0060005,11.856,11.706,11.156,10.656,10.2560005,10.0060005,9.906,9.906,9.856,9.806,9.856,10.0060005,10.0060005,10.0060005,10.0060005,10.206,10.5060005,10.906,11.206,10.956,10.656,10.556,10.406,10.106,10.156,10.206,10.156,9.406,8.956,8.5060005,8.106,7.906,7.7060003,7.4560003,7.306,7.106,7.356,8.406,9.806,10.856,11.906,12.5060005,12.456,11.906,11.206,10.2560005,9.106,8.106,7.4560003,6.9560003,6.556,6.256,6.106,5.906,5.7060003,5.506,5.256,4.856,4.406,4.406,5.156,6.356,7.506,8.556,9.556,10.106,9.956,9.356,8.7560005,8.2560005,7.806,7.306,6.806,6.306,5.906,5.606,5.356,5.106,4.806,4.506,4.2060003,3.906,3.606,3.656,4.256,5.156,5.856,6.006,5.9560003,5.9560003,6.256,6.656
