forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:36:55+00:00,2025-11-05 00:00:00+00:00,6.068576,6.610057,6.412503,5.8894343,5.576634,5.8063755,5.930242,6.038976,6.0884933,5.8198347,5.7570496,5.4782434,5.5274386,5.855701,5.429047,5.7416544,6.086472,7.219399,7.642683,8.53609,8.6177025,8.438106,7.446804,5.672124,6.647498,6.0896034,5.772018,5.7741165,5.961083,4.8968387,5.6387463,6.883723,5.0489364,4.5118933,4.706734,5.5742974,4.9823484,5.964564,6.0022936,5.4837356,7.2038493,7.2491713,7.6677794,8.512374,8.950647,8.094461,8.535789,7.446804,9.558282,8.777131,8.727193,8.827074,8.877014,9.026836,9.033053,8.923763,8.079877,6.3788447,7.0746627,6.677053,6.0831456,5.6850414,5.8846164,7.0286336,7.4764876,7.7704716,7.863357,7.962633,7.882862,7.620125,7.821863,8.036147,7.685846,6.5727377,5.931525,5.635278,5.485988,6.0127325,6.0029383,5.7156334,4.731559,4.272011,3.9057717,3.609787,2.7882514,2.1384802,1.5870935,1.2322451,1.790542,2.5146408,3.3368926,3.8229342,4.072717,4.072717,3.9786034,4.7590146,4.9248166,4.361313,4.102702,4.11327,4.0644083,3.8103716,3.3803215,3.1848602,3.0382617,2.9405286,2.7913485,2.693339,2.5007172,2.4756908,2.3288767,2.3503006,2.7384193,3.085332,3.0175254,2.933618,3.0251021,3.0916834,3.484195,4.012421,4.3100796,3.9608507,3.3250344,2.9504137,2.8358746,3.0601172,3.15771,3.2065063,3.0795088,3.1282341,3.030782,2.9333289,2.8358746,2.7384193,2.8161306,2.8044462,2.9477403,2.9362278,3.1226315,3.215134,3.5603738,3.9808083,4.6379166,5.200908,5.487436,5.4581532,5.1653085,5.005177,5.2370257,5.5312753,5.7802324,6.0029383,6.210797,6.4172673,6.367689,6.3181114,6.218954,5.977052,5.732716,5.822323,6.513814,7.438508,7.947811,8.316531,8.403375,8.82677,9.122526,9.5850525
2025-11-06 02:27:35+00:00,2025-11-06 00:00:00+00:00,7.118766,6.733323,6.5455575,5.2395215,6.5950913,5.596203,5.5223255,6.062525,6.8191495,4.9099884,5.573137,3.9045186,4.3194137,5.037653,6.002183,6.579058,6.923859,8.25443,9.193928,8.795512,8.451509,8.999344,8.500939,9.523728,9.375585,8.746263,8.110769,8.602954,7.863717,8.352246,8.217602,6.4035983,6.002183,5.1151505,3.6086981,4.0310817,3.2450597,3.8519552,1.7588593,1.3061757,2.276238,4.5647917,5.0489364,5.2817607,5.5704374,5.7186184,5.4194818,5.476726,4.95674,5.326526,5.2853904,5.0878787,4.788499,4.4895544,4.192123,3.794003,3.3956265,2.8474157,2.546351,1.8530182,1.199882,0.5916746,0.23656613,0.027794499,0.95851994,1.8370783,2.315743,2.696996,2.0458434,1.8990314,1.8525953,2.933618,3.2890875,2.4650414,2.2717063,2.508789,2.4151876,2.2361438,1.9285905,1.7639571,1.5327653,1.4843196,1.4843196,1.3272884,1.2643396,1.1185589,0.9727762,0.826991,1.2512038,1.838397,1.8587139,1.5275246,1.685069,1.8699718,2.0548642,3.1564603,3.6043606,2.8501098,2.6580195,2.363694,2.4431732,2.4304912,2.4790776,2.4638455,2.5922348,2.4947767,2.397318,2.4151876,2.4638455,2.2692115,2.1718924,2.397318,2.7438037,3.1247606,3.4600446,4.779185,6.5023794,7.7775617,8.74185,9.280841,9.273398,9.434195,9.380631,9.330115,9.2430935,9.2430935,9.193521,8.983542,8.722701,8.327118,7.597208,6.7216597,6.0333834,5.436207,5.0354114,4.938587,5.336299,5.820628,6.002335,5.954204,5.6839514,5.4634724,5.91789,6.656694,7.024288,6.7597113,6.417134,5.8633256,5.58293,5.2553864,5.089111,4.9417205,4.8434587,4.6960645,4.5486684,4.5174284,4.320634,4.2510815,4.0155463,4.1524224,4.6018734,5.2139792,5.409276,5.5353265,5.9091487,6.0974445,6.609262,6.8471656
2025-11-07 02:25:52+00:00,2025-11-07 00:00:00+00:00,10.232274,10.062533,8.42154,9.326205,9.534266,8.184915,6.304605,5.4815006,6.100167,4.506183,3.5975568,4.0696645,3.4079525,3.3597476,3.2114916,3.2147565,4.0594354,6.0771523,7.510072,7.781873,7.0307994,6.7250113,6.628805,6.5455575,6.0580673,5.670124,5.6518474,5.8182163,5.505923,4.2636757,3.754653,2.963224,2.3455908,1.768756,-0.49518454,-0.14162397,0.41933644,-0.12874201,0.07923369,0.22781856,0.7558341,3.0705047,4.6148515,5.4322877,5.9931984,6.363372,6.1342816,6.3154254,5.714769,3.9851122,3.5667565,3.352893,3.2097337,3.1056361,2.6225035,2.2793398,2.0745723,1.763812,1.6852819,1.4906301,1.2764705,1.1789992,1.1568656,1.2056715,1.7639571,2.172543,2.5151877,2.532435,2.8125389,3.0451608,3.2582185,4.261469,4.478667,3.8577907,3.5589042,3.4856083,3.2909958,3.2553022,3.2337258,3.0871282,3.0382617,2.8916612,2.8916612,2.7450588,2.7450588,2.5984547,2.620938,2.6473227,3.1223323,4.0841084,5.575386,7.592066,8.429352,8.669693,9.378457,10.507705,10.53746,10.665991,10.65106,10.901461,10.810406,10.810406,10.916576,10.760648,10.916576,10.916576,10.866756,10.511854,10.006916,8.674659,7.775058,7.3792953,7.472269,8.10849,8.113192,7.9366117,7.642797,7.471199,7.5578227,7.75641,7.871162,7.680921,7.3283396,7.011873,6.6537676,6.1652575,5.900818,5.584279,5.4821463,5.2553864,5.009405,4.8618135,4.7142205,4.3854613,4.0044327,4.089873,4.650733,5.3103642,5.772328,6.148182,6.615217,6.991737,7.4629745,7.9366117,8.165725,7.9119015,7.7922816,7.4353366,7.2009454,7.1739116,7.062648,6.8653593,6.8653593,6.766713,6.732044,6.5344925,6.4480124,6.1117654,5.87777,5.772743,6.011106,6.604918,6.7636294,6.8471656,6.664404,6.615217,6.9514904,7.2005925
2025-11-08 02:15:06+00:00,2025-11-08 00:00:00+00:00,7.6458993,5.8640976,4.463774,4.1310005,4.2269797,4.02116,3.5044549,2.9185917,2.4380443,1.5295304,1.3061757,0.82163125,0.6065781,1.383357,0.62239873,0.9910896,2.1544862,3.9381957,5.673239,6.4363866,7.2541223,7.7350926,7.5139356,7.1783776,6.202471,4.796227,4.011401,4.493222,3.8087509,2.93983,2.189701,1.0811976,1.2238717,1.1296121,0.8939521,1.3366015,1.1944034,0.9244818,1.0522006,0.9573957,1.384001,3.7020519,5.5130825,6.3731856,7.351096,7.7586184,8.3081045,8.648839,7.3221908,4.535791,4.2765718,4.3463035,4.1335874,4.0644083,4.0905223,3.9926603,4.065396,3.8458655,3.7969334,3.6944685,3.7133994,3.6642642,3.5753937,3.601204,4.1667194,5.3043747,6.7400074,8.0347395,8.158763,9.49988,10.592154,10.596456,10.700502,10.742253,10.482407,10.383262,10.593351,10.63112,10.742253,10.320296,9.754408,9.843219,9.409666,8.895459,8.366869,7.4789395,6.9808335,6.3330235,6.61558,6.78197,6.7694497,6.1485276,6.0582466,5.704521,5.93642,6.5448184,6.8950243,6.466873,6.4736047,6.3718014,6.2314024,6.2948275,6.1967106,6.0268574,5.8430486,5.497318,5.1883183,5.0751486,4.8780975,4.8618135,4.615825,4.6960645,4.8654327,5.1685367,5.535542,5.789522,6.2297835,6.692489,6.968965,7.2377687,7.384852,7.288797,6.9816284,6.6328135,6.454436,6.520099,6.4214516,6.372128,6.372128,6.2734795,6.139384,5.9040313,5.7651496,5.624005,5.530281,5.5744257,5.878884,6.368143,6.684555,6.753575,6.947819,7.093499,7.3362947,7.7173843,7.99957,8.182465,8.133692,8.395618,8.944643,9.788398,10.318737,10.422646,10.422646,10.522408,10.721929,11.124344,11.374045,11.523867,11.623747,11.669653,11.813322,11.895377,12.068647,12.068925,11.928252,11.704127,11.770065,11.768947
2025-11-09 02:36:23+00:00,2025-11-09 00:00:00+00:00,4.622729,3.7446668,3.4050484,2.966644,2.6302679,1.9756749,1.3673855,1.1767522,0.9167853,1.0814327,1.1953425,1.258351,1.4229717,1.374987,1.0192221,0.8757405,1.4974692,3.5819094,4.605049,5.56087,6.441787,7.226314,7.561871,7.673972,6.1820636,4.388642,3.502801,2.674766,2.0721152,2.1071835,2.4365046,1.9633604,1.5088725,1.241804,0.9099927,0.8915316,0.7352199,1.161048,1.926479,2.4457927,3.6926537,6.665564,9.886678,11.7296,12.015485,12.310074,11.225747,10.686296,10.5936985,10.019816,9.914747,9.914747,10.014266,9.964506,9.857823,9.749558,9.513843,8.944643,8.867912,8.478684,8.403608,8.542246,8.648205,7.775058,8.018971,8.773392,8.747737,7.8193817,7.1329226,6.759948,6.713174,7.7475114,7.7677064,7.5714946,7.597184,7.4353366,7.270579,7.1029725,6.9468627,6.8303175,6.760058,6.8303175,6.849165,6.766713,6.5838804,6.3985605,6.2996545,5.8295584,6.0742006,7.09478,7.616615,7.972634,8.426014,8.896077,8.963256,9.0190735,9.068834,9.068834,9.068834,9.118592,8.525194,8.869793,8.973585,8.676813,9.025983,8.577051,8.873943,8.7743,8.869793,8.820033,8.820033,8.7644615,8.919553,8.973585,6.4974647,5.8140655,5.094339,4.6018734,4.6533732,4.8126163,4.8058376,4.3786397,3.842425,3.2972195,2.947991,2.5996292,2.4025116,2.599493,3.0850112,3.3734117,3.2333896,2.998467,2.947991,3.1968198,3.5954514,3.89207,3.9878325,4.032001,4.081521,4.186161,4.390725,4.2916512,4.041136,3.6885605,3.4833274,3.3335009,3.383443,3.4333854,3.4391415,3.3958821,3.3966298,3.2466917,3.1970472,3.1970472,3.0953357,3.1945035,3.2440875,3.3956265,3.6944735,3.8880947,3.7829807,3.4833274,3.3335009,3.383443,3.4890254,3.8418372,4.8390594,6.1303344
2025-11-10 02:27:40+00:00,2025-11-10 00:00:00+00:00,2.8843038,1.5036678,1.3652581,0.8939521,0.42548057,0.32831275,0.49863088,0.72647494,0.79546523,0.58373696,0.10406407,-0.08558703,-0.2958912,-0.2958912,-0.7979064,-0.61318815,0.9212469,3.8145833,7.829621,11.487308,11.372867,10.5936985,10.0273,9.998546,9.485017,7.0377245,5.3846602,4.3251996,3.8884985,3.3596067,3.3082104,2.586822,1.9507856,1.7171538,1.4796426,0.89511174,0.55166304,0.34960586,0.3359033,0.08047354,0.36648178,2.3410413,5.145631,6.159459,6.877866,6.824672,7.0639625,7.350319,6.3154254,5.905202,5.6460094,5.612929,5.66164,5.480142,5.4180737,5.466788,5.2557287,4.9796367,4.963008,4.701841,4.4708724,4.3349743,4.0822654,4.140963,4.3946524,4.8994317,4.886388,5.2029576,5.6266866,5.6662164,5.6662164,6.4073596,7.0053077,6.58714,6.377744,6.2583766,6.20974,5.8077784,5.9874926,6.0004745,6.3929443,6.7103124,6.602209,6.7103124,6.732044,7.5219693,7.7704716,7.458394,7.366971,6.904012,6.766713,6.893078,6.596368,5.632256,5.6454887,5.4752655,5.4806395,5.6792054,5.530281,5.162218,5.2769456,5.185984,4.460089,4.477679,4.6323957,4.0410013,3.094464,4.337046,4.0876284,4.337046,4.1402884,4.440429,4.6392455,4.739531,4.389906,3.937978,3.1398382,2.7341933,2.634309,2.7341933,2.9339626,3.133732,3.4333854,3.6830962,3.9328065,4.2324586,4.4322267,4.582052,4.6819367,4.7818203,4.881704,4.9815874,5.081471,5.1813545,5.2312965,5.33118,5.481006,5.6807723,5.8805385,6.080305,6.2800713,6.4798374,6.5797195,6.629661,6.729544,6.879369,7.029193,7.179017,7.3288403,7.4786654,7.6284885,7.7783117,7.928135,7.978076,7.928135,7.828253,7.7783117,7.8781943,8.176,8.227783,8.126622,7.9129944,7.5716147,7.0049977,6.4136367,5.893523,5.8794208,6.098592
2025-11-11 02:17:39+00:00,2025-11-11 00:00:00+00:00,9.20941,7.0705876,6.099642,5.2817607,5.097578,4.997281,4.8071938,4.0717487,3.486488,3.0092487,2.670455,2.2386634,1.7972419,1.7171538,1.7684907,1.4768381,2.1054628,5.633206,8.134559,8.715011,9.2505455,9.354163,9.350621,9.354163,9.007434,7.743159,6.882383,6.251488,6.49241,5.38872,5.1972322,4.8968387,4.3119636,3.869707,3.8863099,3.7419348,3.5494294,3.6489775,3.6007738,3.4079525,4.1740375,6.630808,7.4409537,8.731153,9.194123,9.778442,9.888811,9.671356,7.9975533,6.8566847,6.793374,6.939277,6.64747,6.684555,6.5240855,6.292195,6.2314024,6.343597,6.1164045,6.294887,6.0965075,6.047586,5.9986634,6.21411,6.6216435,6.753575,6.850698,6.906059,7.045052,7.2005925,7.6855335,8.243071,8.818662,9.34224,8.453223,8.772147,8.7644615,8.466267,8.161184,8.118371,7.974101,7.3792953,7.3728676,7.0617785,5.8840938,5.436207,4.987794,4.589203,5.0368743,5.894922,6.441014,6.050283,5.39199,4.4479017,3.3487933,4.1395793,4.3912854,4.189466,4.102702,4.0155463,3.6944685,3.4677231,3.0906074,2.6815274,2.2714112,2.0562599,1.8889282,2.2511282,2.5735662,3.0363681,4.0360036,4.377541,5.020169,5.894922,6.2190595,6.552952,6.893078,7.0617785,7.323168,7.376964,7.528761,7.5785832,7.6284056,7.7280493,7.827693,7.9273376,8.0269785,8.076801,8.277761,8.327642,8.327642,8.4275465,8.4275465,8.477487,8.527428,8.57737,8.477287,8.222906,8.01227,7.844774,7.5558605,7.3410597,7.11197,6.6332684,6.408862,6.1693754,6.0266933,5.828129,5.87777,5.9214816,5.822323,5.282072,4.6400027,4.041136,3.692363,3.3958821,3.1474025,2.936632,2.5832496,2.4518483,2.4790776,2.609732,2.549076,1.9110496,1.2943267,0.7094523,0.77464205,1.1218797
2025-11-12 02:20:25+00:00,2025-11-12 00:00:00+00:00,6.452776,5.400991,4.566175,3.7560537,3.6258123,3.7229998,3.8880734,3.7446668,3.410037,3.44715,3.2633345,2.8705382,2.486101,2.3473427,2.3455908,2.7278774,3.390584,5.3791566,6.435406,6.7103705,7.294842,7.694528,8.278067,8.647247,8.617188,7.5900044,6.207773,4.8768916,4.0591187,3.8880734,3.511507,3.5819318,2.914596,2.4865625,2.368089,2.6929035,3.1588507,3.5494294,3.329885,3.985209,4.651686,6.6880445,7.851987,8.291579,8.812831,9.362095,8.403396,9.216629,8.486946,9.367393,10.064025,10.318737,10.24591,10.205706,9.874719,9.183369,9.044801,9.203564,9.10429,9.267874,9.372151,9.471793,9.521612,9.471793,9.417151,9.49096,9.311166,8.924839,8.353663,8.297603,8.6001835,8.88442,8.822509,8.697781,8.449907,8.636967,8.945651,8.7855,8.537944,8.607923,8.508649,8.508649,8.290385,8.339898,8.339898,8.290385,8.240873,8.301183,8.400332,8.38941,8.648205,8.697781,8.747355,8.835011,8.855596,8.658066,8.5593,8.52491,8.475463,8.587456,8.697781,8.80647,8.963256,9.012956,8.226266,8.969314,9.22269,9.267874,9.367393,9.571432,9.521612,9.671076,9.815228,9.864987,10.163542,10.362577,10.354797,10.45419,10.404494,10.462095,10.213302,9.765469,9.421972,9.023406,8.770273,8.770273,8.665065,8.714763,8.969314,9.068834,9.267874,9.466911,9.417151,8.919553,8.123384,7.3728676,6.920217,6.408862,6.1512976,5.991217,5.878884,5.5997562,5.143332,4.6214895,4.102702,3.9183972,3.8268929,3.5451775,3.2894902,2.7456875,2.4467342,2.0979545,1.6540626,1.405227,1.1066221,0.8577834,0.70847976,0.41420275,0.21822189,0.11302924,0.51801264,1.0160407,1.1038332,0.5416833,-0.33064216,-0.67342365,-0.25958267,0.3976072
2025-11-13 02:38:23+00:00,2025-11-13 00:00:00+00:00,6.934255,6.2561884,5.4357076,5.194119,4.456087,3.869707,3.677844,3.5339413,3.8381846,3.9344327,4.554685,4.373476,3.9863968,4.2151737,6.037214,6.3631163,6.8569946,7.4002457,7.809391,8.8478,9.418089,9.391709,9.82001,9.801287,9.018762,9.039276,8.990296,8.340421,8.096208,8.157617,6.3530207,6.499224,7.100023,7.184054,6.9401674,5.190973,5.6032047,5.759461,6.099425,5.4815006,4.8006043,7.427934,8.430243,8.716965,8.634207,8.547333,8.18851,8.202121,6.8509617,8.312383,8.372189,8.126622,7.625772,8.191362,8.475463,7.8201714,8.178774,7.9173098,7.8054276,7.9011025,7.9321165,7.7641788,7.74189,7.5716147,7.7664995,7.7597404,7.9553976,8.1191635,7.9119015,8.133692,7.8704185,7.682864,7.481968,7.376971,7.239177,7.353308,7.2989182,7.0133266,6.9535265,6.913046,7.012202,7.0617785,7.111356,7.168415,7.2237654,7.168415,7.177918,7.0746627,7.2886844,7.4173303,7.3900237,7.279707,7.966695,8.322427,8.425552,8.475372,8.477287,8.176445,8.176445,8.123384,8.123384,8.173145,8.222906,8.118371,7.6782274,7.4291177,7.329474,7.27965,7.528761,7.528761,7.5785832,7.824817,8.118371,8.322427,8.425552,7.824817,7.024963,6.225257,5.832121,5.4362245,5.2369127,5.1870894,5.2369127,5.0878787,4.688949,4.037414,3.4872725,3.1449199,2.7502398,2.551631,2.3019834,2.0890815,1.8235184,1.7001007,1.4580768,1.5996944,2.1532276,2.7130663,2.964924,2.6094449,2.0293405,1.4837055,1.4148883,1.8293929,1.97676,2.0608873,2.1452596,1.9983027,1.7929629,1.5545285,1.3089536,0.91128886,0.41420275,-0.07967484,-0.27656087,-0.5258267,-0.6774458,-0.8721018,-1.1681514,-1.2703223,-0.8355186,-0.393657,-0.31020117,-0.28362462,-0.44619036,-0.5999288,-0.3992278,-0.18897064
2025-11-14 02:21:21+00:00,2025-11-14 00:00:00+00:00,7.57426,8.145052,6.9793563,7.246136,7.159586,6.35251,6.354209,5.907209,5.0536118,4.718485,6.293684,7.003,6.8262067,5.143136,3.2654734,4.174875,4.7809763,6.0110116,7.879377,8.116716,7.620466,7.3049088,7.572955,7.0643935,7.109823,5.7238073,5.1785254,4.9404135,4.5117846,4.0082855,3.3841414,2.9201822,3.2422745,3.4314291,3.7151425,3.9299607,3.6585488,4.0723386,3.6111739,3.7532961,4.626349,6.9386816,8.432496,8.620472,8.901151,8.808052,9.191439,9.623603,9.10902,9.331315,9.183369,8.466267,8.267468,8.16807,8.372189,8.317169,8.615365,8.670751,8.615365,8.52147,8.123384,7.824817,7.675534,7.625772,8.210823,8.649535,9.01155,8.747737,8.713349,8.355408,8.152543,8.608765,8.718939,8.50198,8.424647,8.344973,8.197017,8.246336,8.098379,8.04906,8.10849,8.41115,8.756834,9.073227,9.275388,9.32233,8.648205,8.409373,8.400332,8.796929,8.722701,8.7855,8.722701,8.339898,8.16423,7.783183,7.7062755,7.6710706,7.6710706,7.775058,7.4291177,6.5821376,6.7311964,7.4662495,7.5219693,6.531893,6.3323636,5.9333034,5.436207,5.485988,5.009405,4.8434587,5.3491454,5.533604,5.18817,4.7714806,4.094331,3.508918,3.0320604,2.7942746,2.8588085,3.3250344,3.828635,4.042795,4.041136,3.9432986,3.7445662,3.4954126,3.0475225,2.8951633,3.044639,3.2465854,3.4456472,3.3393736,3.0260003,2.79065,2.7218025,2.588712,2.1248097,1.5709491,1.2440891,1.2910306,1.5709491,2.2850506,2.5614433,2.5922348,2.4849715,2.3925667,2.4027193,2.5000963,2.6460364,2.6991615,2.5499086,2.4420278,2.1384802,1.891485,1.5950863,1.3538598,0.9581492,0.95287514,1.0270617,1.3272884,1.3015686,1.1770228,0.95708084,1.0103698,1.1832843,1.3897841
