forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:38:11+00:00,2025-11-05 00:00:00+00:00,-2.7525337,-3.7498028,-5.22948,-4.1757126,-2.8990269,-2.4658542,-2.3517401,-3.334792,-3.5900908,-3.7815948,-3.4477882,-3.0242856,-1.2206641,1.2884926,3.0620334,1.3521836,1.7867271,0.7644121,-0.36278015,-2.9310765,-4.3304954,-5.893117,-6.361888,-6.177663,-6.2237883,-5.8521895,-5.7690053,-6.0711823,-6.426041,-6.3883023,-6.223971,-6.0453777,-6.305797,-6.4979935,-5.6784344,-5.585117,-5.900309,-4.820868,-4.5448093,-3.9139497,-3.7798157,-3.6004317,-4.3901095,-4.581197,-4.2278323,-5.4471903,-5.7136927,-6.6758413,-7.0258484,-4.570804,-3.6792972,-1.6998055,0.32253402,3.4685721,4.896357,4.2748475,2.9627392,2.2945142,2.0119095,2.0327363,2.019124,1.9476837,2.2817824,2.5260487,2.8052528,2.723407,2.489808,-0.043783925,0.04499192,1.1896384,0.7088368,-1.5370398,-1.5166683,-1.5166683,-2.590203,-3.999478,-4.77638,-5.264324,-5.809246,-6.3911676,-7.048468,-7.53276,-7.8717847,-8.16239,-8.576958,-8.549879,-8.745057,-9.14513,-9.6831875,-10.78557,-11.658088,-13.009944,-14.420605,-15.96085,-16.646696,-15.891091,-13.972033,-13.289979,-11.878506,-9.622734,-11.076143,-13.056985,-14.049659,-14.537349,-13.6879225,-12.522383,-9.576387,-7.643427,-8.268516,-8.840726,-8.4102335,-8.2844095,-9.483236,-11.700878,-12.948482,-14.400175,-15.021781,-15.195604,-14.447617,-13.315494,-12.273256,-10.636195,-8.97595,-7.5575867,-6.705813,-6.164123,-5.789752,-5.6453023,-5.798662,-5.9968204,-6.1525197,-6.400518,-6.5854177,-6.6290994,-6.7916946,-7.047719,-7.835539,-9.200376,-11.005973,-11.53177,-10.725161,-10.117343,-9.856796,-9.529736,-9.637513,-9.592481,-9.6638155,-9.653984,-9.797501,-9.848804,-9.992574,-9.992574,-9.896727,-9.8931875,-10.5291605,-11.379721,-12.083945,-12.317184,-12.135548,-12.015159,-12.414125,-12.599781,-12.551856,-11.620451,-10.011487,-8.217072,-6.8163013,-5.5949993
2025-11-06 02:28:59+00:00,2025-11-06 00:00:00+00:00,-7.3118305,-6.314174,-6.643725,-5.7574515,-5.745352,-6.005296,-6.2399206,-5.77442,-5.6173453,-6.0168657,-6.877492,-7.3595552,-6.900691,-5.9214234,-5.2762313,-3.808905,-1.4738468,-1.4248115,-0.7997885,-1.9993064,-3.4425251,-3.108834,-3.820022,-4.523956,-5.5701194,-6.2605944,-6.2354765,-4.5409408,-0.5545296,2.4004736,2.4652894,1.8632615,1.8751314,2.182208,2.404585,2.1172385,2.1783915,1.782198,3.523213,3.9512012,4.036526,3.8369663,3.1014736,2.203663,2.1494327,1.7624867,1.285062,0.84340966,0.39760685,-0.8842197,-1.9887311,-2.9604,-3.1334925,-3.3102505,-3.8150887,-4.456667,-5.2505984,-5.7964454,-6.154265,-6.5465946,-6.7629857,-6.876137,-7.0850253,-7.2690926,-7.597382,-8.378539,-9.32909,-10.297395,-11.349837,-12.435126,-13.560028,-14.712262,-15.089646,-14.610273,-13.245371,-11.906049,-11.327934,-11.215407,-9.819869,-9.759013,-10.766784,-12.297951,-12.3565645,-13.005988,-12.330069,-10.712467,-9.155901,-7.9201145,-9.213853,-10.993536,-12.909832,-13.140646,-13.230532,-13.469225,-12.76238,-12.557767,-12.548351,-12.872017,-13.542018,-13.73428,-13.996775,-14.276553,-14.509896,-14.562363,-14.49392,-14.536555,-14.564116,-14.157141,-13.473177,-12.55779,-11.295527,-9.323484,-8.240992,-7.6945777,-7.7137938,-8.62507,-9.937306,-10.670299,-10.267506,-9.986022,-9.893862,-10.092219,-10.229436,-10.32481,-10.425447,-10.493721,-10.272645,-9.657139,-8.899716,-7.963617,-6.9742107,-5.9347167,-5.27296,-5.3717413,-6.254065,-6.755659,-6.5574055,-5.755312,-4.909678,-4.283704,-3.2849655,-2.612054,-2.0259218,-1.5511624,-1.5843812,-1.7264087,-2.1633735,-2.25374,-2.0770037,-1.888145,-1.7963225,-1.8915299,-1.8915299,-1.9391342,-2.0655882,-2.2437394,-2.2437394,-2.0819507,-1.773752,-1.738692,-1.7135867,-2.2412715,-2.965186,-3.4352133,-3.5706646,-4.069595,-4.639678,-5.517089
2025-11-07 02:27:13+00:00,2025-11-07 00:00:00+00:00,-3.7217996,-4.8020844,-3.8112822,-4.451153,-3.5589962,-1.0563766,2.002033,3.9156456,3.4782968,1.956327,1.6977712,1.6284482,1.4256434,1.0888445,1.5301636,1.2304033,1.1764034,1.2722161,1.9775871,1.9907613,1.388219,0.91868794,0.4693315,-0.21306595,-0.3089313,-0.4261307,-0.8772809,-1.6725495,-2.3290658,-1.993625,-1.742664,-1.964307,-2.2848706,-2.7217588,-3.0824442,-3.0824442,-3.520016,-3.4953504,-3.8383582,-4.5282803,-4.9367785,-5.0942473,-4.8168693,-4.6306005,-5.679822,-6.521576,-8.65261,-8.306326,-8.249857,-12.73197,-12.743033,-12.607405,-12.454585,-12.5946045,-12.899945,-13.351577,-13.3433485,-13.58039,-13.682567,-13.869972,-13.916824,-13.034646,-12.2507515,-11.161718,-10.75122,-11.080018,-12.823069,-13.231075,-14.137513,-14.181288,-14.071623,-13.991765,-13.966232,-13.865052,-13.6879225,-12.558344,-10.901529,-9.475876,-8.401468,-7.968897,-7.81077,-7.7636204,-7.624536,-7.491737,-7.6510863,-7.8000684,-7.613818,-7.077788,-7.693838,-8.97057,-10.266337,-10.822474,-10.844276,-10.368059,-9.674133,-10.008665,-9.892812,-9.608991,-9.613198,-9.566599,-8.634742,-7.645152,-7.00217,-6.852549,-7.0878983,-7.391515,-6.02558,-6.473732,-6.7252684,-6.8649473,-6.3880186,-5.881488,-5.3862376,-4.435286,-3.5119152,-2.3320096,-0.7580287,0.29741222,0.7867143,1.0217409,0.8272736,0.64025366,0.34407297,0.20408672,0.0791387,0.14173615,0.2335603,0.49815717,0.8435657,0.821155,-0.08606135,-1.5984899,-3.0171437,-4.0476394,-4.708117,-5.4339957,-6.100649,-6.6093373,-7.0257654,-6.947663,-6.6370196,-6.3579373,-6.3653846,-6.1820345,-6.1750474,-6.020515,-6.0052714,-5.871385,-5.857515,-5.786769,-5.8758326,-5.920574,-6.1121287,-6.351582,-6.500395,-6.5303006,-6.6268563,-6.548445,-6.6660943,-6.9464474,-7.4207945,-8.352385,-9.563769,-10.027906,-10.10882,-9.853255,-9.696195,-9.79783
2025-11-08 02:16:24+00:00,2025-11-08 00:00:00+00:00,1.2884926,0.081153736,-0.8922724,-1.0819073,-1.0394462,-0.26838169,-0.92718005,-0.8180885,-1.1673287,-1.3532245,-1.4019037,0.43225664,0.34311894,-0.39869553,-1.0871285,-2.0907056,-2.8966315,-3.3328469,-3.555585,-5.1604385,-5.9191813,-6.806142,-8.370865,-6.4473553,-8.318674,-8.644059,-10.142808,-9.279101,-10.400304,-8.816261,-11.584487,-13.189203,-9.367204,-10.241652,-11.25043,-13.760923,-14.507562,-13.308848,-13.110549,-12.361439,-11.338505,-10.185058,-9.344958,-10.783127,-12.003282,-11.852594,-11.723773,-11.615292,-10.795991,-12.503692,-12.886203,-13.307784,-13.34663,-13.35463,-13.075607,-13.242028,-13.242028,-12.972464,-12.281565,-10.826799,-9.853931,-9.091016,-8.410336,-7.785633,-7.488677,-7.457081,-7.436219,-7.641,-7.8042583,-8.237303,-8.056138,-7.905805,-7.221187,-6.9031863,-7.0000405,-7.173132,-7.11897,-6.4593515,-6.095818,-5.498946,-4.981183,-4.133285,-4.2542605,-4.450693,-4.883927,-5.3234725,-5.536939,-5.4929967,-5.3532434,-5.2985296,-4.6538134,-3.9197288,-3.4285793,-2.994696,-2.704395,-2.737406,-1.9631315,-1.2549263,0.1310322,0.51500005,0.4074461,0.35953194,0.21578884,-0.4945873,-2.148192,-3.0998795,-3.9282124,-4.5205564,-4.757431,-4.8299313,-4.757431,-4.5566945,-4.0915537,-4.7451515,-5.388992,-5.7741685,-6.115077,-6.160005,-6.1808558,-6.3001375,-6.4439754,-6.418668,-6.3528194,-6.192648,-6.2892075,-6.249549,-6.214078,-6.2298822,-6.202503,-6.226341,-5.9872255,-5.584903,-5.256311,-5.105281,-5.239282,-5.5441017,-5.9741726,-6.8278084,-7.7411585,-8.209263,-8.284166,-8.504724,-8.45122,-8.396311,-8.610769,-8.654914,-9.036609,-9.034334,-9.007453,-9.095027,-9.188411,-9.054046,-9.19463,-9.036609,-8.916917,-8.9879465,-8.941558,-8.977384,-9.192589,-8.848606,-8.068356,-6.8476024,-5.1114473,-3.171264,-0.79279155,1.150943,2.525252,3.6007779
2025-11-09 02:37:38+00:00,2025-11-09 00:00:00+00:00,-3.8181329,-5.5887766,-6.2001376,-7.3615303,-6.97765,-7.414387,-10.783127,-11.898819,-11.147739,-11.848444,-12.456151,-13.201057,-12.5823765,-12.181064,-11.65996,-11.708425,-9.370723,-8.95878,-8.919713,-8.329372,-9.959941,-9.51767,-9.279101,-8.95878,-10.341363,-10.867432,-11.66625,-11.642064,-11.282749,-11.108091,-10.85154,-11.180867,-11.236339,-10.727896,-9.590286,-8.268289,-7.666341,-7.613324,-6.2422013,-6.0812507,-7.502548,-8.390192,-8.644059,-7.972287,-8.272194,-8.2435,-8.166585,-8.285784,-7.699361,-8.8421,-8.69884,-9.070796,-9.016571,-8.759672,-7.5120883,-6.062404,-5.348215,-5.5161166,-6.363099,-7.22614,-7.035517,-6.9990797,-8.01832,-8.297839,-7.733774,-6.628806,-5.755312,-4.8183618,-3.7684448,-3.1326141,-3.0491946,-2.7960951,-2.372214,-2.0814698,-1.8271445,-1.1692786,-0.25419447,-0.2633816,-0.071708485,-0.17705762,-0.46526483,-1.2878416,-2.563965,-3.7178285,-4.4258103,-4.7100554,-4.499889,-4.1320415,-3.7003484,-3.730337,-3.931851,-3.9172134,-3.9814231,-3.9675467,-4.238297,-5.070169,-5.204507,-5.2791066,-5.3065066,-5.356004,-5.2384696,-4.899562,-4.668679,-4.0503635,-3.6937487,-3.4738266,-3.3088942,-3.2908442,-3.1770444,-3.2260065,-3.2236812,-3.3979146,-3.50044,-3.736123,-3.9030051,-4.1536775,-3.8434854,-3.7777884,-3.666326,-3.79461,-4.0283866,-4.258584,-4.138275,-4.2256794,-4.180608,-4.3295107,-4.2161865,-4.2363243,-4.2129464,-4.098146,-3.98657,-4.034195,-4.003063,-4.0270624,-3.8045568,-3.5433462,-2.8137915,-1.5811565,-0.6212748,0.062380712,0.59440845,1.2773926,1.9397993,2.1713395,2.697152,2.9580173,3.0895445,3.2473974,3.677364,4.1745667,4.710918,5.330175,6.1104226,6.785531,7.5218267,8.183254,8.745771,9.276329,9.863747,10.370988,11.0658655,11.846579,12.456648,12.776865,13.083806,12.795108,12.215971,11.231212
2025-11-10 02:29:04+00:00,2025-11-10 00:00:00+00:00,-8.413101,-9.174003,-8.98387,-8.169377,-8.189736,-8.671154,-8.68454,-9.381687,-9.618358,-10.049175,-10.152476,-9.813905,-9.93337,-10.075681,-9.059621,-8.141597,-6.540758,-6.1567345,-6.871532,-7.3291364,-7.4702806,-7.783406,-7.883215,-7.861455,-7.6287794,-6.745709,-6.446782,-6.125979,-6.1459208,-5.9302053,-5.293301,-5.097685,-5.708214,-5.9748917,-5.9522977,-5.7920613,-5.822331,-5.53509,-5.4607825,-4.969951,-4.11566,-3.2210157,-2.6318243,-2.1427507,-1.7955137,-1.9314859,-2.4981074,-3.2950566,-3.6206765,-1.0937206,0.1325896,0.6547536,0.64748615,0.7442392,0.75135624,0.70305485,-0.18441087,-2.3252177,-3.4269254,-3.909653,-4.149009,-4.2420645,-4.450644,-4.3416853,-4.278442,-4.4685025,-4.8880033,-5.4412684,-5.641922,-4.857472,-4.9134665,-4.9721704,-4.224362,-3.3587985,-2.6651695,-2.0989838,-1.7450979,-1.5614105,-1.5313666,-1.5588015,-1.6988118,-1.8375237,-2.084568,-2.282205,-2.6306958,-2.8816307,-2.8161438,-2.6532583,-2.7976012,-3.1540904,-3.6063945,-4.1246724,-3.9556215,-3.097764,-2.5821013,-2.5438545,-2.075416,-1.5395333,-1.3003399,-1.2465215,-1.367911,-1.2883444,-0.97725636,-1.0715693,-1.0728941,-1.0360092,-0.9131462,-0.9767747,-0.99456316,-1.0917759,-1.1254077,-1.0866015,-0.83442193,-0.31936768,0.071401305,0.42513174,0.5155119,0.79797196,0.7096078,0.3219893,0.06409612,0.09567443,0.2932329,0.36600527,0.032327063,-0.5338869,-0.7499032,-0.3913729,0.27067116,0.92309004,1.4224924,1.816149,2.296817,3.281681,4.3341217,5.2620487,5.64264,5.64264,5.756557,5.756557,5.918121,5.918121,5.9675097,6.1275597,6.2264657,6.3748226,6.6821856,6.880245,7.0783033,7.27636,7.4249015,7.573442,7.672468,7.672468,7.523928,7.27636,6.9187927,6.7083383,6.5950704,6.3815336,6.1844983,6.101832,5.855208,5.756557,5.544119,5.2317724,4.9857903,4.4759536
2025-11-11 02:18:54+00:00,2025-11-11 00:00:00+00:00,-7.866251,-7.8372717,-8.073562,-7.7861304,-7.786083,-7.7382584,-7.117567,-7.026564,-7.853058,-7.1643987,-6.5940933,-6.829675,-6.829675,-7.117567,-6.2577486,-5.3071547,-4.3051233,-2.984171,-2.2178142,-1.6717783,-0.060630534,0.6807986,1.164614,1.7197247,1.8108559,1.7680182,0.5651376,0.50477326,0.03704869,-0.39993933,-0.97633135,-1.4187003,-1.7039953,-2.1469681,-2.7950482,-3.0899975,-3.6398625,-3.9835386,-2.3143423,-1.5089146,-1.1751382,-1.358783,-1.2404277,-1.3078393,-0.9832109,-0.815334,-1.4440318,-1.9448932,-2.174784,-2.5400076,-2.750696,-3.0342996,-3.0341668,-3.1515262,-3.1392574,-3.1034777,-3.0941913,-3.1082695,-3.030159,-3.0924554,-3.1830823,-3.3799765,-3.5224469,-3.7433915,-4.284085,-5.2616215,-6.168183,-7.0236073,-7.6477394,-7.479054,-6.313423,-6.813624,-6.7558355,-6.724684,-6.9491067,-6.8208666,-7.0977407,-7.1586704,-7.2256875,-7.2056513,-7.284023,-7.5168653,-7.5078955,-7.503847,-7.410838,-7.597382,-7.550237,-7.5822215,-7.589716,-6.9405274,-5.4972844,-4.113442,-2.7731154,-2.000335,-1.5759739,-1.7996908,-1.7739706,-1.6078186,-1.0560377,-0.18696497,0.5093734,0.98603743,1.2239344,1.8063613,2.1519449,2.6139388,3.3971972,4.433865,5.3603077,6.461398,7.4744143,8.370619,9.479591,10.313547,10.659966,11.144124,11.610643,11.899993,12.358264,12.439217,12.50521,12.826575,13.064192,13.163577,12.666638,12.080223,11.284104,10.48797,9.486084,8.840005,8.547346,8.602988,8.351817,7.7816305,7.0027304,6.271506,5.6084776,4.991157,4.238651,3.7020278,3.6148496,3.4782424,3.3617523,3.017566,2.6951115,2.493222,2.2797205,2.1061087,1.9731325,1.9310842,1.7831304,1.485247,1.2866571,1.0880655,1.0365539,1.0329658,1.0365539,0.83035856,0.42456347,0.075109564,0.23992406,0.18977368,0.18372084,-0.18677789,-0.32554692,0.09059519,1.4309247,2.7273934
2025-11-12 02:21:43+00:00,2025-11-12 00:00:00+00:00,-1.6960459,-2.3868968,-1.2916584,-0.031155754,-0.5504771,-0.70050275,-1.061156,-2.3381758,-3.3295324,-4.099209,-4.21097,-3.964359,-4.3466024,-4.788564,-4.0296626,-2.603266,-2.0634558,-1.8844206,-1.168709,-0.964524,-0.9182253,-1.4871972,-2.2569504,-2.641179,-2.8293984,-2.9073815,-3.0456638,-3.3295324,-3.680123,-3.8673997,-5.2381177,-5.5933614,-5.1996794,-4.9373674,-4.7123284,-5.0239353,-5.0239353,-4.916417,-3.667759,-1.8315333,-1.0618167,-0.7987956,-0.815334,-0.97821385,-0.7977243,-2.0372496,-2.115754,-1.1737874,-1.3866855,-0.38807565,-0.15835646,0.17474543,0.46627247,0.96435004,1.3018128,1.5975813,1.8552605,1.9844842,1.9476837,1.9087664,1.9665723,1.8183738,1.95341,2.1492178,2.5869403,3.3757036,3.6916294,4.21354,4.416547,4.9817915,5.2564354,5.1302934,5.185051,5.329394,5.9652057,6.9722643,7.8881316,8.288679,8.514178,8.550622,8.288679,7.94299,7.6110983,7.038973,6.391983,5.555564,4.710918,4.749441,5.0861893,4.7081003,4.0301185,2.2460124,0.92001873,-0.23758717,-2.0737224,-4.330952,-5.6458354,-6.1414123,-5.9554543,-5.96433,-5.914385,-6.030463,-6.2671957,-6.72858,-6.8084593,-7.004634,-7.414559,-8.021297,-8.727916,-9.188411,-9.426076,-9.583363,-10.556556,-11.414206,-12.401774,-12.881079,-13.218435,-13.00833,-12.730843,-12.737359,-12.729319,-12.867729,-12.78114,-12.909832,-12.743033,-12.807826,-12.550465,-12.31916,-12.065768,-11.834195,-11.524365,-11.481304,-11.302452,-11.196795,-10.936886,-10.636392,-10.586994,-10.206441,-10.221458,-9.932033,-9.574178,-9.324063,-8.857334,-8.740783,-8.646382,-8.488812,-8.307911,-8.093342,-7.9322395,-7.7708592,-7.7264857,-7.677239,-7.4912953,-7.3135595,-7.1841574,-7.271567,-7.222393,-7.2521114,-7.4358997,-7.5011053,-7.290645,-7.284023,-7.454332,-7.43954,-7.587321,-7.4187875,-7.227276,-7.0828233
2025-11-13 02:39:39+00:00,2025-11-13 00:00:00+00:00,-4.840187,-5.0645285,-5.260471,-5.3452926,-5.444383,-5.141702,-5.2369046,-5.794269,-6.5003095,-6.97765,-5.3085856,-5.391111,-5.488921,-5.6016145,-3.815624,-2.1448889,-2.0668674,-1.9889566,-2.2003293,-2.7824626,-3.2866068,-2.829213,-1.7853639,-1.3873405,-1.9099149,-2.1583242,-2.4863222,-3.3806844,-4.0538106,-4.1826606,-4.7433696,-5.0661917,-4.939541,-4.2859387,-4.0570807,-3.714358,-3.3180668,-3.0338264,-1.9860721,0.6135462,2.6502628,4.2832494,5.570249,5.9628553,6.28444,6.8439083,7.120167,7.467858,8.481182,8.518574,9.292324,9.751937,9.850956,9.527189,9.030828,8.633734,8.633734,8.227811,8.079086,7.4249015,6.824853,6.173162,5.000553,4.7209544,5.276812,5.173798,4.8522096,1.0019714,-2.7868617,-3.188113,-4.08199,-5.4248614,-6.2334213,-6.325514,-7.029295,-10.113443,-10.100682,-9.712281,-9.572733,-9.719519,-9.583027,-9.474586,-9.614078,-9.4522505,-9.518661,-9.683854,-9.86795,-9.902426,-10.477461,-11.221418,-11.230936,-11.6006,-11.425782,-10.970554,-10.8667965,-11.029441,-10.723929,-10.717587,-10.912988,-11.069201,-11.168985,-11.204135,-11.103356,-11.153577,-10.939341,-10.814592,-10.693537,-10.60411,-10.282633,-9.988876,-9.768847,-9.281441,-8.916917,-8.786841,-8.488249,-8.494404,-8.267599,-7.9410405,-7.6054134,-7.2281566,-7.298714,-7.358069,-7.277553,-7.351068,-7.3679237,-7.416282,-7.3390403,-7.288654,-7.3451605,-7.2647133,-7.3010244,-7.2416224,-7.1542854,-7.0238347,-6.999513,-6.9800367,-7.0798564,-7.2278914,-7.6054134,-7.7784743,-7.6964226,-7.595176,-7.4575057,-7.298111,-7.369111,-7.358069,-7.457423,-7.3142023,-7.361943,-7.361943,-7.2664633,-7.488677,-7.8166676,-7.3632216,-5.8277364,-4.03509,-2.940289,-2.6917253,-2.9761357,-3.0791206,-2.918366,-3.043371,-3.0523486,-3.1288383,-2.8924952,-2.7420142,-2.4655921,-2.5240278
2025-11-14 02:22:40+00:00,2025-11-14 00:00:00+00:00,-3.8200068,-3.3545637,-4.4423566,-4.6499124,-4.5504365,-4.339326,-4.4975243,-4.7339573,-4.571208,-4.400546,-4.1526628,-4.1917143,-4.147317,-3.9696705,-3.1244571,-0.25131717,1.6503704,3.350802,4.15477,4.2082605,4.737613,5.616803,6.267267,7.496573,8.863513,9.18817,8.971675,9.145205,8.825126,7.1077023,7.369136,7.8234835,7.007131,6.350919,6.179486,6.1675367,5.6110463,5.3002753,4.6005116,6.004143,5.241332,3.965593,0.9502128,-3.6323204,-4.816327,-6.5683637,-10.536324,-11.107346,-10.143547,-11.065999,-10.932621,-10.603179,-10.52248,-11.029441,-10.972721,-10.795041,-10.4957075,-10.4836,-10.283712,-10.08777,-10.134277,-9.935576,-10.101474,-10.313144,-11.050734,-12.023429,-12.373355,-12.773864,-13.08697,-12.773864,-12.502834,-13.076949,-12.773687,-12.662742,-12.59639,-12.398847,-11.950901,-11.716237,-11.483289,-11.290237,-10.798341,-10.414698,-10.086381,-9.80733,-9.475876,-9.30144,-9.089497,-8.569186,-8.355211,-8.898075,-9.511102,-9.937306,-10.245207,-10.468932,-10.309617,-10.490964,-10.402638,-10.411227,-10.0089035,-9.816364,-9.704919,-9.51045,-9.465436,-9.423343,-9.432165,-9.362054,-9.302477,-9.276479,-9.134599,-9.018326,-8.7997265,-8.596591,-8.348047,-8.14825,-8.260231,-8.441547,-8.442598,-8.396311,-8.236774,-8.5998955,-8.743175,-8.805047,-8.676122,-8.664362,-8.560709,-8.51304,-8.560709,-8.555584,-8.459228,-8.511477,-8.518834,-8.663035,-8.655447,-8.555584,-8.780338,-8.673215,-8.528684,-8.67586,-8.948085,-9.227537,-9.6028,-9.822731,-9.565571,-9.192589,-9.207743,-9.102055,-8.5998955,-8.355236,-8.20542,-8.12038,-7.958104,-7.835539,-7.6691947,-7.411306,-7.2037373,-7.2037373,-6.918814,-6.463308,-5.729486,-5.049657,-4.0743423,-3.3179224,-2.6089017,-2.6764839,-3.0730093,-3.50044,-3.6914997,-3.839898
