forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:38:17+00:00,2025-11-05 00:00:00+00:00,-3.5603683,-2.6137753,-2.631924,-2.2672267,-1.4178816,-1.649261,-2.2661505,-2.5464163,-2.803113,-2.5774848,-0.38845173,1.0116934,-0.83243704,-0.93655837,1.3721728,3.3780658,1.9832505,1.2953577,0.5706203,-0.8681387,-3.1616828,-3.7712076,-4.6987047,-5.6691527,-5.4393864,-5.3787355,-5.383436,-5.357191,-5.15908,-5.4022684,-5.713316,-6.113075,-6.2068715,-6.5244737,-7.1003213,-4.870244,-5.2379813,-5.3270736,-3.7473748,-3.5982144,-3.257695,-3.5396056,-4.845586,-5.5239515,-5.258216,-5.5313535,-6.0421224,-6.5734787,-6.6412525,-5.133022,-4.3947754,-3.3860917,-1.2633303,1.3189279,4.0984397,5.849048,5.532676,3.8132346,2.8351517,2.7462642,2.4716303,2.3906243,2.6623693,2.9877722,3.1816325,2.552779,2.2348788,2.2348788,2.7089043,1.5294837,0.982883,1.7541431,0.82670504,-0.52406687,0.3122453,-0.57455885,-0.9129763,-1.815199,-2.464179,-3.015768,-3.440399,-4.034333,-4.576916,-4.922566,-5.3185024,-5.57224,-5.830583,-6.3064966,-7.197071,-8.347431,-9.467184,-9.77369,-10.267504,-10.947506,-11.741949,-11.992246,-12.548069,-11.464823,-10.963966,-10.211642,-9.161658,-8.497495,-11.736408,-13.152077,-13.863581,-13.418472,-12.636889,-10.97009,-8.668068,-7.4203753,-8.244664,-8.238128,-9.167731,-10.652722,-12.23454,-13.162078,-14.069229,-14.244325,-14.422916,-14.74971,-14.507678,-13.6300535,-12.178306,-10.703462,-9.233934,-7.8282175,-6.9479566,-6.381574,-6.010728,-5.762915,-5.914468,-6.161866,-6.3538966,-6.3644753,-6.3924155,-6.7211637,-7.572923,-8.951585,-10.49727,-11.232561,-11.285258,-10.878635,-9.9862175,-9.307516,-9.109888,-9.010732,-9.101889,-9.148788,-9.246929,-9.348468,-9.540456,-9.549467,-9.645617,-9.828449,-10.295944,-11.051153,-11.698415,-11.876005,-11.597912,-11.467301,-11.73736,-12.548069,-12.522921,-11.204716,-9.411618,-7.661162,-6.716497,-5.8879647
2025-11-06 02:29:09+00:00,2025-11-06 00:00:00+00:00,-6.9747357,-7.3784847,-7.7935944,-6.012515,-5.543354,-5.6591177,-5.2380767,-5.6637406,-5.94754,-5.2324963,-6.285013,-6.620261,-5.6310854,-5.114406,-3.4626372,-3.979894,-3.666421,-2.4730768,-2.6587663,-3.471764,-4.1840363,-4.9534636,-5.148962,-5.891882,-6.5475564,-7.1860003,-6.2391167,-4.9611254,-2.087478,1.0398957,3.1183748,2.9796588,2.70138,2.897379,3.266755,3.5751503,3.1794784,3.1300197,4.295972,4.5515237,4.426303,4.411254,4.240836,3.9552286,3.2782285,2.2200296,2.2066107,2.2317705,0.6779855,0.083142884,-0.18968727,-1.1538948,-0.9673441,-0.9381037,-1.7178367,-2.36118,-2.851364,-3.4960916,-4.182759,-4.579122,-4.8291965,-4.9313483,-5.1999054,-5.282817,-5.4008565,-5.848745,-6.411681,-6.933458,-7.523694,-8.74119,-9.770967,-9.784877,-10.854464,-12.548069,-12.884593,-11.135748,-9.722617,-9.046285,-8.89256,-9.226358,-9.106081,-9.773579,-10.930276,-12.271521,-12.672293,-12.519531,-11.405579,-10.169896,-8.7198515,-7.819025,-9.7506695,-11.246182,-11.291839,-11.1460905,-12.113801,-11.038517,-9.987773,-10.101013,-10.9947195,-11.871294,-12.387914,-12.953952,-13.325563,-13.836601,-14.063831,-14.389804,-14.395876,-14.406008,-14.514579,-14.018229,-13.026756,-11.242037,-9.629581,-8.852786,-8.318152,-8.348612,-8.894136,-9.1671095,-9.31253,-9.726905,-10.129017,-10.087666,-9.916626,-9.770708,-9.866396,-10.107361,-10.01796,-9.694724,-9.18651,-8.412008,-7.0451226,-5.39162,-4.59998,-4.842436,-6.085044,-7.0151043,-6.7361455,-5.9303665,-5.088233,-4.1692953,-2.9454968,-1.9680275,-1.3769432,-1.2897216,-1.3624535,-1.5769968,-2.0428586,-2.1812997,-2.2750802,-2.0899339,-2.1449263,-2.20434,-2.2680492,-2.3359323,-2.3409348,-2.1119444,-2.1119444,-1.8481271,-1.7790259,-1.6721095,-1.6796232,-2.3530436,-2.8510568,-3.0212748,-2.8441212,-2.9769855,-3.0417285,-3.4306853
2025-11-07 02:27:22+00:00,2025-11-07 00:00:00+00:00,-6.8699803,-6.3778152,-6.311037,-5.007974,-3.751328,-1.8153018,0.43562686,3.0936394,4.240868,3.1269362,1.9240382,1.697292,1.6166413,1.4817927,1.8610039,2.1175096,1.9757228,2.2908986,2.0655367,1.8759685,1.9338686,2.1129587,1.3843148,0.5591086,-0.18743643,-0.19677469,-0.6681572,-1.3905919,-2.017971,-2.2548018,-2.0231857,-1.7181222,-1.6858871,-2.2368233,-2.639029,-2.0936143,-2.219825,-2.1712837,-2.0256615,-1.6373489,-1.7337226,-2.1617744,-0.2141863,0.35298237,-0.12271023,-1.1700324,-2.2368233,-3.0949447,-4.2428217,-9.410701,-10.875793,-10.380103,-10.442641,-10.835515,-11.142988,-11.715595,-12.337651,-12.759496,-13.133453,-13.783787,-14.017096,-13.970432,-13.1802025,-12.341374,-11.551691,-11.192813,-12.253722,-13.103821,-13.541063,-13.320669,-13.82561,-13.564939,-13.442903,-13.311,-13.484339,-13.498579,-13.354808,-12.804077,-11.4477415,-9.965736,-8.692131,-7.9584475,-7.739517,-7.68472,-7.783339,-7.834701,-7.3466334,-7.002354,-7.4795685,-8.705872,-9.648716,-10.3543825,-10.209506,-9.996453,-9.283739,-9.25565,-9.016209,-9.140423,-8.905081,-8.591801,-7.7618527,-7.216831,-6.8856335,-6.6017704,-6.920155,-7.201759,-7.0617666,-6.2702446,-6.542456,-6.3538,-6.512967,-5.9482203,-5.318822,-4.352815,-3.2657132,-2.167993,-1.2535756,-0.45569253,0.026088849,0.69519717,0.7434668,0.71319246,0.67783666,0.443564,0.2561353,-0.12849733,-0.025024842,0.49565578,1.4662645,1.8106987,1.380303,0.22925265,-0.8004724,-2.1812997,-3.8172038,-5.0504804,-5.7488327,-6.2955027,-6.789672,-6.8129168,-7.0248585,-6.768689,-6.64463,-6.5841727,-6.6098776,-6.424202,-5.832457,-5.744834,-5.7635837,-5.631136,-5.593091,-5.6882057,-5.847666,-6.1524096,-6.21137,-6.4282346,-6.470589,-6.4370103,-6.4598465,-6.588045,-6.979604,-7.7830024,-8.654435,-9.006487,-9.304967,-9.3922615,-9.622153,-9.414953
2025-11-08 02:16:31+00:00,2025-11-08 00:00:00+00:00,2.6690466,2.0374186,1.9543556,0.41559085,0.09139594,-0.35842133,-1.3919532,-1.9918346,-1.9333551,-1.7232065,-0.6786818,-0.53367585,-0.33240968,-0.28294265,-0.3909224,-0.13843727,-0.10263264,-0.013926405,-0.17322151,0.2567934,-0.0040774685,-0.85696834,-0.29974434,-1.3301306,-1.414047,-3.3661385,-4.339344,-5.8093805,-6.3352804,-8.03401,-7.1122417,-7.4388046,-9.605234,-11.290149,-12.114235,-11.002694,-13.501418,-14.076821,-13.208075,-12.352743,-11.972488,-10.908878,-10.346036,-9.55825,-9.642606,-10.760232,-10.137021,-11.237245,-10.861972,-10.760185,-10.929496,-11.164962,-11.618091,-12.479052,-12.479052,-12.525792,-12.578952,-12.766296,-12.248296,-11.951066,-11.681218,-10.909762,-9.690326,-8.480309,-7.973952,-7.8518095,-7.756114,-7.707987,-7.520477,-7.2935753,-7.5242734,-7.3671002,-7.189054,-6.82764,-6.753398,-6.924494,-6.9618106,-6.9011946,-6.617638,-6.2618833,-5.3673787,-4.520643,-4.1548886,-4.1653466,-4.5163054,-5.5661917,-5.8176146,-5.1651006,-5.2452974,-5.2287374,-4.900405,-4.07754,-2.8755205,-2.3819215,-2.134411,-2.4837635,-2.216986,-1.5620087,-0.9272505,0.15568306,0.63795793,0.24262121,0.29053628,0.05763508,-0.48655358,-2.0736663,-3.1503499,-3.9490926,-4.5414014,-4.7782764,-4.7098403,-4.4795885,-4.123277,-4.4973717,-4.9131484,-4.9991236,-5.250476,-5.5681415,-5.7941422,-6.0012445,-6.240998,-6.280831,-6.3002844,-6.2504835,-6.1286345,-5.9321966,-5.981285,-5.9880476,-6.1761765,-6.1405625,-5.868071,-5.627047,-5.2754073,-5.0442214,-5.062545,-5.0475454,-5.368047,-6.3657527,-7.326049,-7.7218275,-7.65343,-7.786178,-7.760823,-7.7886624,-8.027781,-8.260629,-8.243108,-8.45174,-8.4689,-8.648687,-8.693798,-8.693798,-8.788745,-8.795003,-8.608654,-8.088511,-7.863366,-7.9654837,-8.44799,-8.332916,-7.695741,-6.5841727,-5.2364736,-3.506094,-1.4935573,0.391577,1.9321511,3.0834208
2025-11-09 02:37:45+00:00,2025-11-09 00:00:00+00:00,0.8571069,-0.08266622,-4.1303387,-5.0923295,-5.426941,-5.280536,-6.5795445,-7.1122417,-9.5957155,-9.430855,-9.572078,-10.804832,-11.412184,-12.868951,-12.21225,-11.785995,-11.661558,-9.995777,-8.610092,-8.597259,-7.9796214,-8.646972,-9.823957,-7.8271275,-7.8207455,-8.230081,-8.16995,-8.862614,-8.584713,-8.775723,-9.492077,-9.352569,-9.590961,-9.778842,-10.258525,-10.748249,-9.439695,-8.046896,-6.64423,-5.6184397,-6.000611,-7.3037534,-7.5791426,-7.964435,-8.713738,-8.366867,-8.189802,-8.599817,-8.017781,-8.963058,-8.443851,-8.624042,-8.766104,-8.677024,-8.000819,-7.1942754,-6.586881,-5.6618524,-5.9760594,-6.7092953,-5.859181,-7.1296544,-8.0389,-7.9231453,-7.810354,-6.4085464,-6.035335,-5.637798,-3.9345112,-2.7522523,-2.1840875,-2.3990786,-2.4392326,-2.3464136,-1.8481271,-1.45266,-1.2384081,-0.42921987,-0.33238518,-0.28446552,-0.18192975,-0.4381698,-1.1639655,-2.5371194,-3.7862835,-4.3287435,-4.409645,-4.112111,-3.8823955,-3.6126215,-3.8608382,-3.801314,-3.6713982,-3.3957143,-3.906359,-4.2723565,-4.5822315,-4.7654405,-4.975181,-5.0235214,-4.9488034,-4.88162,-4.8344207,-4.4711204,-4.0713553,-3.8485413,-3.5518053,-3.4465995,-3.301863,-3.2327237,-3.1350565,-2.8660257,-2.6294203,-3.0871,-3.3511076,-3.2523203,-3.3083844,-2.8938196,-2.8960407,-3.0608957,-3.5575016,-3.7037034,-3.6449325,-3.5908606,-3.4962227,-3.4658594,-3.404577,-3.2633908,-3.3408203,-3.326665,-3.3159,-3.4592538,-3.5174754,-3.6169238,-3.4658594,-3.2163901,-2.3974423,-1.3144813,-0.20238654,0.66566944,1.6243865,2.334513,2.8407104,3.3551896,3.5942082,3.5992944,3.5604563,3.61772,3.9647067,4.5448527,5.0271797,5.6890373,6.413423,7.0836654,7.718925,8.398237,9.122229,9.693218,10.309074,10.855741,11.576921,12.244658,12.772865,12.969644,12.7949705,12.713425,13.112942,13.718694
2025-11-10 02:29:13+00:00,2025-11-10 00:00:00+00:00,-6.9573255,-7.051325,-8.343749,-6.690596,-7.674034,-6.5753965,-7.0589285,-5.8292055,-7.7038445,-7.95995,-8.523492,-9.232535,-9.505338,-9.525092,-8.724741,-7.9449067,-7.3466144,-7.2506046,-7.392562,-7.256358,-7.1582637,-7.3976626,-7.4211445,-7.366825,-7.3276834,-7.2552104,-7.1122417,-6.392456,-6.303204,-6.226771,-6.0069437,-5.7889447,-5.4266233,-5.715564,-5.475324,-5.3779225,-5.528481,-5.622491,-5.9113326,-5.781351,-5.001615,-3.602079,-2.568728,-1.439118,-1.0089563,-1.4641567,-2.1733685,-2.8457804,-3.0158648,-1.5020242,-0.57455885,0.36132628,0.4932798,0.3506041,0.63795793,0.5897325,0.5878978,-0.35487676,-2.4909284,-3.7459729,-4.3409114,-4.579059,-4.518581,-4.256031,-4.112111,-4.1738873,-4.8169627,-5.2620792,-5.3997865,-5.011939,-4.9333954,-5.0962605,-4.8362,-4.4326706,-3.7641933,-2.9450648,-2.3430438,-1.8717905,-1.6011515,-1.4547898,-1.4427851,-1.5804574,-1.7773311,-1.8628552,-2.1589339,-2.5583186,-2.448079,-2.4078734,-2.3520975,-2.7625341,-3.3710759,-3.519873,-3.0293865,-1.6744752,-1.4063709,-0.9131889,-0.60980815,-0.36233518,-0.536359,-0.8661454,-0.9604558,-1.0080749,-1.0851808,-1.2138311,-1.1470779,-1.1904012,-1.1408105,-1.0940853,-1.008954,-1.2022095,-1.0943892,-0.8715746,-0.5127997,-0.21204405,0.1334698,0.4144643,1.0767546,1.3489981,1.3189279,0.7684939,0.5906026,0.6192927,0.8873926,0.9215057,0.6335633,0.1367459,-0.06760453,0.28024805,0.76965976,1.4071449,2.0363588,2.8445537,3.5381536,3.9423227,4.290158,4.6797223,4.9947815,5.40691,5.7687464,6.080129,6.3902783,6.600325,6.5014205,6.5118527,6.4623365,6.5118527,6.8178573,7.016167,7.363207,7.6011686,7.898247,8.046784,8.255573,8.205997,7.958121,7.611089,7.2050595,6.9959364,6.933544,6.721337,6.474721,6.2915025,5.9951677,5.79761,5.6494403,5.2909184,4.783512,4.2261715
2025-11-11 02:19:01+00:00,2025-11-11 00:00:00+00:00,-6.7704787,-6.5244737,-6.385557,-6.344331,-6.529706,-6.8134003,-6.161262,-5.528481,-5.6567755,-5.6908073,-6.055584,-6.1453176,-6.428688,-6.717787,-6.1892314,-5.4922247,-4.6501355,-3.3190048,-2.590469,-1.2672882,-0.5878242,0.46344623,0.9673316,1.3208196,2.2261472,2.4903913,1.7789323,0.9198076,0.63850266,0.12749584,-0.28957418,-0.82728696,-1.0360081,-1.3791518,-1.73814,-1.9183972,-2.1635165,-2.3105905,-1.7763112,-0.968854,-0.8398475,-0.7948244,-0.978337,-1.1248689,-1.0601914,-0.72949374,-0.6852377,-0.96857125,-1.2587678,-2.1812997,-2.3807755,-2.7490551,-3.2199233,-3.167776,-3.2158577,-3.4697723,-3.4951649,-3.462488,-3.406374,-3.3731382,-3.3792064,-3.41015,-3.4733598,-3.6437523,-3.9816642,-4.664734,-5.5475016,-6.3036013,-6.8256598,-6.3036013,-5.53412,-6.2472935,-6.411321,-6.619741,-6.4641795,-6.5109687,-6.7027407,-6.841169,-6.8089957,-6.9215684,-6.8543987,-7.1796308,-7.2113795,-7.2950907,-7.1034403,-7.107958,-6.885435,-6.482674,-6.3145647,-6.035401,-5.5268226,-4.2494736,-3.2427402,-1.7363938,-1.370772,-1.7943801,-2.3046563,-1.8235387,-1.099966,-0.13785818,0.63102597,1.3054072,1.6988409,1.9726363,2.401216,2.6972597,3.3058422,3.8967524,4.908574,6.179587,7.122746,8.442881,9.612288,10.258044,11.150917,11.843582,12.379864,12.810988,13.067067,13.352841,13.311804,13.277471,13.340488,13.09202,12.595078,12.157845,11.610515,11.162693,10.920559,10.472183,9.92783,9.229496,8.728465,8.512618,8.464484,8.233541,7.6374993,6.7438087,5.8922424,5.141751,4.7340803,4.5205016,4.4503508,4.2015157,3.7655473,3.311517,2.8711016,2.6482546,2.5380423,2.5172524,2.5376189,2.4954448,2.5007896,2.35222,2.2067797,1.9092659,1.7084066,1.5417038,1.1092671,1.0252587,1.0226153,1.1550981,1.2497939,1.7074666,2.2718282,2.7095623,3.3574686,3.9223182
2025-11-12 02:21:50+00:00,2025-11-12 00:00:00+00:00,-0.23510852,-1.928826,-2.1450136,-1.370531,0.21079555,-0.093666695,-0.3980113,-0.89424664,-2.119676,-3.0711164,-3.7952437,-3.8877044,-3.5108163,-3.9385307,-3.4082267,-2.4634774,-1.6812859,-1.7077141,-1.3716074,-0.9949911,-0.9486184,-1.0407194,-1.7798152,-2.0543742,-2.1651149,-2.2965593,-2.3014197,-2.4162068,-2.6411464,-2.8363328,-2.8508883,-2.7828324,-2.849877,-2.9849408,-3.1716008,-4.1861973,-5.231821,-5.329222,-3.7944727,-1.6306374,-1.0782961,-1.1486969,-0.9674448,-1.2790629,-1.502795,-1.3170398,-0.22998098,0.8939149,0.3424187,0.27683586,0.8735165,1.3579905,1.6708032,1.7055525,1.7677108,1.9181834,1.8204402,1.864149,1.6681154,1.6373645,1.5552264,1.5691751,1.5512104,2.0251558,2.6061869,3.3006668,3.8524544,4.4611344,4.8693867,5.7925982,5.9963875,5.64501,5.701811,5.824519,6.2180176,6.959863,7.7570887,8.096298,8.205997,8.503448,8.776102,8.4778385,7.936056,7.325415,6.7363925,6.3450303,5.8907695,5.0328016,4.4709706,4.893318,5.4299335,5.514281,4.441977,2.5378723,1.0447019,-0.13996357,-1.631306,-4.0691476,-5.393729,-5.3422556,-5.363484,-5.7488327,-5.727899,-6.092367,-6.391301,-6.848201,-7.3404136,-7.658285,-8.209587,-8.536991,-8.623137,-8.959107,-10.088633,-10.658553,-11.631671,-12.074065,-12.34845,-12.074065,-11.806497,-11.823333,-12.127788,-12.217572,-12.037164,-12.163613,-12.083249,-12.282528,-12.113801,-12.154194,-12.109842,-12.025827,-11.782798,-11.761923,-11.467955,-11.159725,-10.841071,-10.735139,-10.511192,-10.317203,-10.08593,-9.897323,-9.325507,-8.832212,-8.484732,-8.179653,-8.088511,-8.047115,-7.9788485,-7.926627,-7.6860557,-7.4269314,-7.242332,-7.3099685,-7.4375587,-7.4794803,-7.434369,-7.415304,-7.2691708,-7.188473,-7.202467,-7.0965147,-6.9589605,-6.8284583,-6.933458,-6.739695,-6.653225,-6.556015,-6.3433857,-6.646538
2025-11-13 02:39:46+00:00,2025-11-13 00:00:00+00:00,-5.169243,-5.3712277,-4.632221,-4.643875,-4.473065,-4.0285344,-3.604215,-3.3592546,-3.626568,-3.9792812,-3.4076705,-2.8376613,-2.6308622,-2.5817053,-2.0521998,-0.9205413,-0.15952,-0.27674827,-1.5813574,-2.5512252,-2.724898,-3.093724,0.01627754,-0.12407097,-0.1364473,-1.2984815,-2.81211,-3.512733,-3.4572132,-3.5682487,-3.3665385,-3.5255847,-3.5559032,-3.2217433,-3.2776723,-3.1237614,-2.991905,-2.703938,-1.1195254,1.1627793,3.5226812,5.278757,6.225513,6.728104,7.0283203,7.384977,7.086209,6.74329,7.032167,8.95831,9.24706,9.563612,9.861798,9.952069,9.8031645,9.395781,9.037015,8.726656,8.182729,7.848735,7.2926407,6.7853827,6.493619,5.508142,4.5917525,5.1516113,5.039443,4.6412897,2.4503865,-2.799835,-4.350454,-4.817776,-5.1915646,-5.158078,-4.882527,-5.637798,-10.466211,-11.040405,-10.83228,-10.6228695,-10.4522505,-10.36218,-10.16828,-10.241948,-10.045091,-10.140028,-10.323301,-10.538389,-11.188081,-11.823333,-12.305683,-12.663734,-12.577702,-12.281572,-12.1444,-12.277748,-11.949713,-11.893308,-11.938489,-12.253722,-12.309801,-12.205147,-12.071838,-12.224427,-11.900908,-11.637866,-11.400444,-11.145872,-10.97009,-10.773644,-10.467155,-10.049534,-9.642713,-9.622136,-9.456873,-9.417085,-9.478388,-9.327094,-8.736356,-8.312604,-7.9638586,-7.747038,-7.570398,-7.578732,-7.6956487,-7.6793513,-7.673492,-7.6775866,-7.4815946,-7.4101143,-7.444853,-7.588246,-7.5430746,-7.300939,-7.346865,-7.257873,-7.164002,-7.272561,-7.3396177,-7.5337033,-7.757074,-7.9389677,-7.6619387,-7.8551326,-7.8563213,-7.9536514,-7.889523,-7.733634,-7.7812133,-7.6860557,-7.543324,-7.6217885,-7.667387,-7.2641473,-5.7527876,-4.2414145,-3.2427504,-3.0451035,-3.1632442,-3.2327237,-3.051371,-3.0769863,-3.1969073,-3.1202393,-3.169583,-3.119204,-2.9526606,-2.9726694
2025-11-14 02:22:47+00:00,2025-11-14 00:00:00+00:00,-2.7985358,-4.149267,-4.0845814,-3.7862246,-3.0813422,-2.8462055,-2.831012,-3.3123357,-3.6000128,-3.414457,-3.422436,-3.4626372,-3.7232313,-3.657002,-1.9449987,0.099254295,2.328562,4.1378307,4.977832,5.2761474,5.5774713,5.9274645,5.770676,6.148952,7.1944256,7.0211177,6.302637,6.6430917,7.0074816,8.470122,7.0215883,6.6005206,7.858127,7.6007414,6.8609195,6.888627,6.252968,5.908153,5.7496443,6.1734757,7.0215883,6.3189483,4.8621817,1.784622,-3.2592354,-3.7960703,-5.4905925,-9.321769,-7.252243,-10.171453,-10.57119,-10.634071,-10.343161,-10.654405,-10.744791,-10.891393,-10.677353,-10.498006,-10.350354,-10.186037,-10.0940485,-10.149648,-9.956117,-10.1026125,-10.757127,-11.558503,-12.042908,-12.281572,-12.577702,-12.195184,-12.739528,-13.06279,-12.968096,-12.881952,-12.708743,-12.531322,-12.309801,-12.068129,-11.972142,-11.48397,-11.171882,-10.9947195,-10.691389,-10.303578,-10.057775,-9.693692,-9.48366,-8.8483715,-8.555319,-9.082712,-9.467184,-9.680699,-9.732083,-9.82209,-9.667643,-9.688794,-9.643194,-9.77531,-9.752379,-9.462618,-9.029566,-8.47911,-8.292651,-8.068907,-8.033138,-7.9695134,-8.0662365,-8.259686,-8.356414,-8.329006,-8.388627,-8.403191,-8.248488,-8.348612,-8.166355,-8.144816,-8.236917,-7.9247146,-7.7961,-7.9018083,-8.214588,-8.305234,-8.352564,-8.399892,-8.427787,-8.412008,-8.399781,-8.295672,-8.34334,-8.34334,-8.391008,-8.194597,-8.105008,-8.001063,-7.8697495,-7.715113,-7.6718793,-7.6419516,-7.8310223,-7.953586,-7.729444,-7.380116,-7.2772574,-7.3177953,-7.5751,-7.478319,-7.3845954,-7.15491,-6.941761,-6.791011,-6.6073194,-6.4967566,-6.544323,-6.3417134,-5.9924836,-5.653972,-5.0369015,-4.225365,-3.1729622,-2.3945847,-1.7701579,-1.5525123,-1.4846196,-1.5697017,-1.8062054,-2.1867952,-2.7574673,-3.2712352
