forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:38:25+00:00,2025-11-05 00:00:00+00:00,130.36446,48.814175,117.552734,146.3099,151.55717,164.47583,4.398633,33.6901,33.6901,40.236294,360.0,350.9606,354.2895,351.87,340.0168,329.42084,319.1447,307.11694,300.01828,292.5431,296.1468,298.76755,301.15924,309.8055,307.23492,301.75943,317.29062,311.18582,331.38962,322.12494,308.15726,309.8055,291.80148,204.77512,192.99461,187.12492,166.75948,164.74483,172.14677,178.60284,181.30193,171.86998,170.8699,170.53775,173.29025,175.23645,176.24835,175.51547,181.0809,189.78233,197.52565,201.25058,203.6294,208.21725,217.14677,221.63345,230.19447,242.5925,254.29129,258.3664,268.31534,268.09088,280.1246,299.93143,316.90915,324.46225,325.92276,334.79892,327.6526,354.2895,12.875007,10.007925,349.8754,333.43503,335.32315,343.1415,329.03632,329.42084,323.61554,323.74606,321.8427,320.1945,328.39255,315.0001,303.6901,326.3099,307.87503,303.6901,319.7637,316.9749,327.72437,338.19852,342.64587,348.3664,353.6599,347.90527,331.38962,321.5819,333.43503,330.39563,326.65927,315.0001,303.6901,296.56497,291.57138,289.5732,289.88525,290.55612,306.6562,318.62158,320.44037,331.03244,337.1663,340.40762,343.4651,342.1496,338.19852,333.43503,328.5705,321.34018,316.08084,313.95847,313.09085,313.2101,312.3574,313.2101,312.27362,311.30853,310.31403,309.28937,307.14676,303.6901,301.7014,303.31064,307.11694,309.9575,312.5104,315.855,318.46832,320.35587,321.54626,321.1155,318.6523,311.82007,305.21768,302.90524,305.21768,303.6901,301.4295,297.8972,292.3802,283.24054,273.3664,263.29025,251.56496,238.39255,224.9999,215.83774,213.6901,209.53868,205.90645,200.55612,195.59286,187.59456,177.5105,172.56868,176.26868,183.73132
2025-11-06 02:29:21+00:00,2025-11-06 00:00:00+00:00,303.6901,308.65982,308.2902,315.0001,307.87503,323.61554,315.0001,298.30066,302.7352,275.19434,216.86998,169.6952,176.6336,151.92761,168.11136,170.27249,175.71092,177.20735,169.82455,164.21918,165.96373,162.29948,161.91646,161.20001,162.40749,171.52895,181.273,187.76508,200.40997,207.18103,212.73521,230.19447,258.11136,271.46878,271.46878,272.9356,273.57626,274.08554,278.13,283.67133,307.74686,308.15726,340.8209,358.0251,360.0,360.0,358.727,342.8972,347.90527,339.44388,334.8852,332.3541,322.59457,326.3099,330.9455,327.26477,336.8014,341.56494,344.05453,318.36655,328.39255,347.4712,350.53775,319.39877,330.9455,338.19852,340.55988,341.56494,345.9637,352.87506,1.7898695,3.5762644,360.0,353.9911,337.75092,324.86572,327.09476,327.3391,322.59457,318.94528,313.0251,306.57312,296.56497,291.25058,291.25058,287.44727,284.38144,306.86996,327.31946,330.6901,338.83865,349.26114,351.1797,357.13766,353.88458,351.70294,357.45523,358.80652,355.03033,344.6237,334.09354,322.12497,311.3477,307.87503,304.9921,299.35767,299.93143,297.8972,296.56497,298.49554,299.57773,305.67648,317.29062,319.02835,322.3523,323.67307,324.2932,323.13,322.3057,321.34018,311.63345,282.5288,248.19853,230.71062,219.80553,212.73521,206.56499,204.22774,203.7495,200.13638,193.24052,184.39862,178.66782,176.42374,177.83897,181.02301,191.113,204.36244,215.3113,226.50737,239.65683,252.80138,260.31128,263.9911,268.45187,272.9356,276.95285,277.9434,276.78888,272.9356,270.0,268.53122,268.60284,268.66782,270.0,271.3019,272.54474,273.65216,275.7105,275.49222,272.16104,266.82022,264.80566,270.0,277.23682,282.1549,285.10114,287.24155
2025-11-07 02:27:33+00:00,2025-11-07 00:00:00+00:00,146.97614,148.29861,157.249,160.34608,178.4926,186.3401,199.65392,215.83774,228.57643,253.73972,285.25516,302.47116,308.2902,315.0001,321.9529,327.17145,346.2637,356.6336,3.0127327,7.3859525,5.492242,4.763556,4.085537,360.0,355.10098,353.4803,345.9637,343.0091,340.55988,329.03632,326.3099,328.24057,327.99466,339.44388,352.40543,338.19852,4.763556,36.253937,44.999897,49.398785,26.564985,270.0,296.56497,325.0079,334.98312,337.75092,342.18103,346.42953,348.0239,332.1028,336.3706,338.19852,334.02567,327.84772,326.3099,322.59457,312.7974,299.5387,292.98874,294.67685,300.52963,300.34317,297.5972,297.5119,316.9749,331.03244,335.03723,339.22766,342.824,344.05453,339.59003,332.74475,326.3099,324.46225,323.8417,323.13,317.4896,315.0001,309.8055,306.57312,299.93143,293.80594,295.8663,302.82855,308.4181,304.15976,304.15976,315.0001,319.574,318.81418,313.6029,303.11136,285.06854,270.0,248.19853,234.16226,223.02507,212.27562,210.96368,216.86998,209.7448,205.97433,201.12479,201.80147,197.35411,198.43504,189.63747,188.74608,194.03627,196.69933,205.64096,199.72237,218.991,222.82524,236.61147,249.82925,262.47626,272.08252,277.38596,279.81924,281.3099,278.91486,275.38922,274.15958,277.2531,281.5138,285.52417,287.81897,289.90384,290.97357,290.97357,291.29742,290.77234,289.0257,287.24155,286.07364,288.43503,292.28564,294.65588,295.79596,295.38788,296.1615,298.23734,300.96368,302.55,302.79953,301.53473,300.17343,300.34317,301.1849,300.25635,298.49554,294.56717,291.80148,290.92456,292.1095,292.1095,290.92456,289.85532,289.74692,290.85452,293.9625,295.5599,298.1415,301.1849,304.50858,304.69522,303.02386
2025-11-08 02:16:39+00:00,2025-11-08 00:00:00+00:00,345.9637,354.4279,352.87506,325.6196,337.5205,333.43503,335.09525,334.98312,344.57776,341.56494,350.53775,347.90527,350.21765,357.70944,354.80566,15.945477,325.0079,356.42374,18.435053,355.76367,356.186,347.66092,337.6198,338.9624,343.3007,336.44772,331.50446,332.87878,332.8504,334.39786,327.77127,335.63754,330.25522,328.24057,322.69595,320.52756,310.91428,303.2749,301.1849,326.0234,321.48303,319.7637,322.38596,323.13,322.81522,324.86572,330.37634,329.65683,329.2646,338.83865,346.32867,346.60748,346.60748,343.0091,335.85446,319.18503,304.28693,300.65057,308.8845,309.28937,309.09384,305.36255,304.8754,313.09085,321.1466,320.52756,318.12222,318.23978,319.574,316.33215,311.18582,301.60745,304.9921,291.80148,243.43501,224.9999,224.9999,201.80147,207.75845,200.55612,196.85847,191.0035,185.7105,182.79265,178.66782,174.92049,183.814,193.24052,208.00908,217.97166,228.46832,237.42595,245.55606,252.1212,271.84756,272.4895,265.23645,273.9451,281.00348,286.31393,276.78888,280.08054,281.5601,282.09473,288.08353,297.84747,286.26028,290.80685,294.1791,294.62354,296.0753,293.86017,294.36243,295.2531,295.67676,296.11386,295.64096,296.56497,297.55273,299.60434,300.17343,299.1675,296.56497,295.01685,293.49857,292.4428,292.4428,293.49857,295.01685,295.51382,295.46332,293.0255,292.30624,290.55612,290.40997,290.69553,294.53772,299.4758,302.79953,303.6901,303.6901,302.90524,301.26367,294.44394,289.44012,293.1986,304.69522,309.8055,306.02747,293.9625,270.0,240.2552,212.00534,194.03627,175.91446,153.43501,147.09476,150.5242,156.3706,160.70985,165.96373,171.7242,177.08922,182.91078,189.95056,195.06854,194.93147,191.0035
2025-11-09 02:37:53+00:00,2025-11-09 00:00:00+00:00,348.6901,343.68607,342.216,340.9064,333.43503,327.84772,328.24057,348.23172,344.24875,331.6071,317.72638,315.0001,309.17365,302.3474,292.5206,290.69553,304.5626,309.09384,317.38596,327.40744,321.1886,348.17853,349.69522,330.25522,329.82657,340.70987,336.5713,334.2901,336.3706,324.46225,326.3099,320.38934,305.53775,307.40543,300.65057,308.2902,329.03632,324.78232,324.2932,323.88055,328.84076,332.81897,329.9315,322.00122,310.76352,313.66785,313.0251,270.0,250.34608,293.9625,259.69522,230.19447,199.65392,209.35765,199.9832,198.43504,195.25517,192.20045,184.28908,181.36389,176.186,182.33725,189.81923,198.77812,206.56499,216.02747,227.4896,235.95401,243.43501,250.0168,258.0239,260.53775,265.42615,285.7087,292.3802,282.99463,287.19864,286.8215,288.03436,292.24908,290.69553,289.1791,294.77512,300.46545,296.56497,292.8906,287.3541,285.3502,294.62354,294.7024,300.61853,299.74478,296.56497,295.01685,291.57138,291.54105,290.22495,292.30624,292.83368,288.43503,284.03625,276.91113,282.20044,278.97253,277.90707,276.3401,271.68463,271.73566,271.78986,273.57626,273.3664,278.97253,288.85324,291.80148,289.6539,290.22495,289.9832,290.3232,292.24908,299.35767,306.02747,310.60123,315.0001,90.0,111.801476,111.801476,114.775116,118.072395,122.90524,125.837746,126.384445,126.384445,126.86999,130.60121,133.72705,137.29063,142.25313,147.0306,148.62704,146.63362,141.7098,137.4896,135.80684,134.21527,133.49263,133.53127,135.0001,135.70723,135.0001,133.63614,132.33694,131.09941,131.18582,130.60121,130.60121,131.85495,132.45515,134.35634,136.30188,138.28934,141.04408,143.32556,145.75092,147.77127,148.46526,149.82657,149.23735,149.23735
2025-11-10 02:29:25+00:00,2025-11-10 00:00:00+00:00,360.0,328.67136,313.53125,4.5738406,331.38962,360.0,329.74365,327.99466,331.8215,328.67136,323.97253,305.83774,302.00534,312.27362,321.5819,325.6196,326.92932,322.88306,319.0857,319.0857,310.0302,303.6901,304.50858,277.1249,255.2564,213.6901,224.9999,205.01686,220.10085,223.53127,215.75398,221.63345,212.47118,210.25635,198.8248,201.03758,195.59286,200.95586,205.08356,210.61853,227.41954,233.67308,239.74365,256.9081,273.65216,282.09473,283.13403,281.9761,283.39252,284.4208,293.70264,288.85324,285.0184,285.3763,287.5925,284.03625,282.9074,296.56497,303.147,306.02747,299.0545,296.56497,298.0724,298.85556,303.94363,306.86996,303.6901,305.1665,301.53473,300.01828,298.21725,290.37653,286.38962,288.9705,287.24155,286.50443,284.93146,281.68933,276.3401,283.57043,283.57043,280.88547,276.84268,277.76508,272.72626,267.13766,261.02747,270.0,270.0,264.2895,262.8751,258.0239,254.57777,239.0363,223.1524,223.1524,220.91429,217.40543,227.29063,255.96373,210.96368,195.94547,135.0001,90.0,58.392544,59.03632,62.24156,72.34979,72.34979,70.01681,70.90642,79.69521,85.101,90.0,93.17977,94.76356,94.76356,94.635376,95.85592,96.952866,99.24603,104.03627,109.57322,113.962494,116.05344,118.072395,118.52302,117.51192,116.11385,116.13094,116.980156,117.75845,118.88649,120.67721,122.09256,124.135994,126.55257,127.806595,129.50764,130.10085,129.0194,128.41809,126.55257,123.91747,121.82741,122.27561,122.73522,123.92984,123.20658,122.00535,122.00535,123.20658,124.41843,124.41843,122.94922,119.4071,115.74066,113.19862,110.55613,106.88687,101.113,94.08554,88.9584,86.82024,86.76037,84.40076,79.79609,72.64589
2025-11-11 02:19:09+00:00,2025-11-11 00:00:00+00:00,241.69934,233.97253,231.34016,222.13753,204.44394,190.1246,205.76927,205.2011,194.7436,180.0,189.24603,188.29706,186.84268,193.7608,195.46127,206.11385,216.46933,222.35739,235.1246,245.89777,267.20737,277.1249,273.27042,266.42374,270.0,270.0,288.43503,293.1986,296.56497,300.57913,292.6199,283.57043,282.33908,285.3763,288.03436,290.40997,291.57138,292.5206,290.69553,291.80148,294.14554,295.79596,296.56497,297.7184,296.96564,289.72235,286.31393,284.5345,292.6199,284.38144,287.5925,286.31393,289.74692,292.83368,294.56717,290.37653,285.7087,279.16226,273.57626,271.78986,275.7105,270.0,266.0549,270.0,282.68036,284.67642,286.8215,285.25516,277.69595,286.8585,277.4313,274.96964,274.96964,290.85452,296.56497,313.0251,315.0001,320.1945,331.38962,360.0,53.13002,101.3099,90.0,100.00792,128.65984,126.86999,136.97493,152.44728,150.01845,158.4985,167.79955,172.87508,168.9965,167.4712,158.4985,147.80429,154.05775,157.96371,158.87521,163.73972,166.2392,169.11452,170.9098,171.86998,172.87508,172.72508,172.40544,173.79665,176.34785,175.13557,178.78116,183.65215,192.26476,189.65982,190.84026,189.24603,184.5139,181.78987,182.3859,190.6196,199.9832,189.46225,180.0,180.0,209.0545,289.9832,309.09384,313.26434,315.0001,320.52756,330.25522,338.19852,342.75845,338.19852,330.4613,328.4958,332.74475,338.74942,344.87595,349.28693,353.4803,358.26434,3.8140097,10.885482,19.983198,32.275623,44.999897,55.6196,65.77226,73.300674,84.2895,92.86235,101.3099,106.699326,108.43504,105.945465,107.650215,111.3707,117.552734,122.00535,127.23492,132.61403,135.0001,135.0001,133.72705,129.28938,120.57915,105.25517
2025-11-12 02:21:59+00:00,2025-11-12 00:00:00+00:00,250.20103,249.67677,282.68036,298.92633,298.1415,293.70264,282.33908,271.90912,285.52417,288.85324,286.31393,285.94547,288.43503,290.80685,287.74475,287.24155,293.08514,294.04422,296.56497,297.8972,296.2113,294.96277,291.59537,286.6993,285.12405,282.72437,292.1095,296.56497,299.0545,295.20108,287.1028,274.76355,260.53775,261.87,263.88458,267.95465,260.9098,250.82089,252.89719,265.23645,265.48608,270.0,268.6981,263.79663,260.75397,265.36462,264.2895,263.15732,243.43501,206.56499,192.5288,176.6336,142.12495,129.28938,132.87889,125.537766,119.357666,122.90524,125.21768,136.8476,138.57643,142.12495,138.57643,153.43501,162.55272,168.40785,173.21112,180.0,183.90042,175.81517,174.68555,170.07382,164.87595,163.85559,171.15826,175.42616,177.5634,177.27374,177.27374,180.0,180.0,183.3664,180.0,199.53674,214.9921,216.86998,246.0375,282.99463,318.991,309.40063,313.4926,318.1799,320.0425,317.0454,302.61923,293.1986,278.13,280.30478,297.64587,292.71445,290.69553,293.0255,295.27768,297.18103,295.97433,295.34613,291.54105,290.22495,287.52567,287.52567,288.43503,290.69553,296.56497,296.56497,295.60214,296.56497,296.02954,295.97433,294.44394,292.93213,290.85452,292.24908,293.7495,295.7099,295.64096,292.24908,291.80148,295.34613,300.06848,302.27563,303.6901,302.90524,306.86996,316.8476,325.71307,331.69934,335.09525,335.85446,338.19852,341.02948,345.5792,348.6901,352.40543,357.5105,360.0,345.06854,327.26477,315.0001,311.18582,313.1524,315.0001,318.36655,324.46225,325.71307,324.46225,320.1945,318.57642,325.0079,332.52567,336.8014,337.5205,336.8014,337.8336,338.9624,342.25522,345.3791,351.4693,3.3664
2025-11-13 02:39:54+00:00,2025-11-13 00:00:00+00:00,280.0079,288.43503,292.1095,289.85532,298.49554,300.1413,302.1957,297.55273,285.6423,253.73972,248.6293,252.3498,257.73523,255.96373,255.37909,266.6336,271.73566,268.36346,266.82022,270.0,268.49258,264.47256,266.186,266.186,208.61037,190.78426,169.6952,165.96373,152.35411,136.63654,126.86999,136.63654,133.36346,142.12495,124.3804,129.09386,128.65984,140.90616,139.39879,155.37645,154.2901,166.32867,172.30405,178.60284,182.66295,182.66295,183.57626,183.57626,183.01273,178.63611,186.63242,185.31445,186.63242,194.03627,203.9625,198.43504,197.24155,233.13002,212.00534,238.57048,272.4895,293.6294,313.95847,321.8427,312.64667,308.33337,316.73566,315.72513,308.82983,301.53473,299.24872,304.90256,303.36636,294.94388,293.49857,294.0755,296.05344,296.05344,295.51382,292.8906,292.24908,291.1248,290.69553,289.88525,293.05133,291.3707,288.43503,288.43503,293.9625,297.80136,296.98016,298.61035,298.85556,297.55273,299.60434,300.34317,301.1849,299.0545,298.61035,300.1413,296.56497,295.76926,295.01685,300.37906,304.15976,306.15826,304.21576,295.64096,303.6901,303.6901,300.06848,313.66785,322.76508,324.6887,315.0001,316.27295,318.6523,321.07245,327.38077,337.75092,345.25638,342.64587,326.3099,312.27362,304.69522,300.96368,299.35767,306.25394,312.8789,317.1211,315.0001,308.15726,305.53775,307.56866,309.8055,309.8055,304.69522,298.0724,295.20108,296.56497,299.0545,302.90524,310.60123,325.30478,336.8014,344.05453,347.00537,344.7448,333.43503,305.53775,288.43503,286.6993,286.6993,289.9832,292.6199,293.1986,295.01685,296.56497,301.60745,301.60745,298.0724,295.34613,295.46332,303.6901,315.0001,322.3057,329.42084,338.19852
2025-11-14 02:22:57+00:00,2025-11-14 00:00:00+00:00,180.0,164.05453,186.00891,182.86235,170.13426,153.43501,113.962494,115.46331,113.198616,123.6901,149.53453,145.0079,90.0,115.46331,142.59457,164.3577,166.86597,173.04713,178.60284,174.80566,176.49654,180.0,175.81517,183.01273,180.0,185.90605,194.03627,198.43504,218.65984,199.17911,224.9999,234.78232,241.69934,208.07239,191.88864,278.13,305.21768,322.25314,319.26797,320.1945,317.66306,311.71066,307.40543,300.37906,299.5387,296.98016,292.24908,285.94547,284.8265,308.82983,306.86996,305.39487,304.69522,302.00534,302.6609,302.6609,301.60745,299.29126,300.34317,300.96368,299.42737,297.69937,300.52963,306.6342,309.9363,306.46933,305.31128,304.46088,302.55,304.28693,304.28693,307.77576,309.3693,316.5911,319.02835,318.27057,314.16977,312.5104,312.3574,310.1559,309.09384,316.08084,319.574,317.38596,320.1945,320.1945,319.9698,326.3099,330.64233,328.73633,326.3099,332.6502,329.3494,335.85446,338.6293,342.47433,339.77505,344.47583,348.6901,333.43503,308.15726,304.69522,305.53775,312.70938,326.3099,321.34018,323.74606,329.03632,322.43134,319.7637,326.3099,323.97253,306.02747,298.30066,301.60745,295.01685,289.44012,289.44012,302.7352,320.1945,333.43503,331.38962,320.1945,291.80148,270.0,270.0,251.56496,243.43501,239.0363,236.3099,240.2552,240.2552,240.2552,230.19447,209.7448,198.43504,201.80147,208.61037,216.02747,216.02747,218.65984,217.87505,212.00534,187.12492,165.96373,156.0375,147.52882,140.71062,126.86998,116.56499,107.35411,110.55613,118.072395,123.6901,124.50858,122.90524,123.6901,125.837746,129.47243,129.80553,127.30403,123.17853,119.53869,114.30454,105.7087,96.91113,90.0,84.14409
