forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:39:13+00:00,2025-11-05 00:00:00+00:00,5.8603754,4.198285,5.4833565,2.3051248,4.5820518,2.0364676,2.0991426,1.484318,3.8268526,5.95906,7.92,9.3669195,9.726665,12.758432,17.114204,20.68356,22.26477,24.798225,25.772078,26.009844,24.951921,20.746122,17.727943,13.684735,14.182355,18.532135,20.620804,17.935081,10.233123,8.714677,7.289445,6.696387,5.495161,5.4477882,5.692099,4.1046314,1.1384199,4.3349743,4.73506,3.9763298,3.96,4.1046314,3.5455887,3.219938,2.16,4.802999,8.4042845,8.311245,6.9527545,6.9153743,8.0899935,7.9932966,8.435069,7.8954163,8.287822,8.311245,7.69592,7.928178,8.311245,10.464798,11.212135,14.264361,15.978484,19.161337,21.30093,22.473343,21.261345,21.980644,22.26768,21.203358,22.039528,16.075521,14.529915,16.923828,17.208603,18.11841,14.291592,16.039202,10.296251,9.931042,10.514218,10.464797,11.988594,11.457958,12.783802,11.753877,11.435313,12.72283,12.661564,13.441071,14.471821,14.77755,12.6462,11.620809,7.145796,6.4096174,6.638072,6.989936,6.4096174,5.8048253,6.725354,7.42159,7.771331,8.4042845,8.759178,9.904906,11.298495,16.1198,18.584509,21.178896,23.132626,22.702845,22.682856,18.806337,17.698677,16.700275,16.039202,15.683776,15.745627,16.595179,17.026896,17.026896,17.026896,16.946787,16.808569,16.981165,16.923828,16.575644,16.263872,15.986595,15.683776,14.973576,14.917212,15.188415,15.856356,16.56,17.294992,18.416384,18.448023,17.698677,16.203999,14.417988,12.783802,11.165805,10.00256,9.290511,8.942214,8.669949,8.913181,8.913181,9.422101,9.673221,10.182337,10.44,10.195057,9.957108,10.44,11.808878,14.021525,15.978484,17.309973,18.782204,18.998314,18.0036,15.827721,13.854155,11.681987,9.686609
2025-11-06 02:30:41+00:00,2025-11-06 00:00:00+00:00,21.626984,19.592731,18.089775,17.566378,15.546833,15.072783,10.1887,7.928177,7.7043357,6.792466,4.5536795,3.9763298,3.396233,3.8773184,5.6920996,6.162207,6.924738,6.725354,6.489992,5.3999996,4.896529,3.319036,7.5170207,8.557102,6.989936,5.991594,5.991594,5.815978,4.896529,4.6938257,4.0249224,1.609969,2.52,4.2136917,7.5685663,8.12197,11.720751,13.910169,16.676977,21.288757,22.33161,24.798225,24.798225,16.311613,18.388212,10.787993,15.807239,14.4,14.799459,16.055355,12.819235,13.363711,14.8257065,13.584932,8.14587,7.729527,7.6367526,8.161764,7.127636,7.7043357,6.9153743,6.638072,9.585739,10.805998,10.805998,11.609651,12.55879,12.55879,9.360001,7.5170207,4.73506,3.8773184,2.9024127,3.396233,3.5455887,4.32,4.896529,6.28713,5.991594,5.3999996,7.754637,8.12197,9.178235,12.413476,17.388409,20.674156,23.358425,22.73707,20.140705,19.881649,21.791153,20.12461,17.64,16.299694,14.84318,11.525623,12.964998,17.294992,17.015474,18.129137,19.211996,18.532133,17.106628,15.856356,15.137133,15.856356,15.328561,15.463244,15.827721,15.778518,19.191748,21.758419,22.450264,21.758419,21.288757,20.633371,20.833395,20.771093,19.486609,17.193533,15.893093,15.629972,16.215992,16.575644,16.700275,16.676977,16.62249,16.854767,16.645864,16.45007,15.617529,14.693999,14.57889,15.683774,17.238699,18.514643,19.008547,19.191748,19.008547,17.906157,17.148247,16.323528,15.990646,16.311613,16.965895,18.331741,20.291357,21.924562,22.17144,21.9718,21.599998,21.096123,20.08916,19.376562,18.875126,18.171976,18.079027,18.723461,20.150354,21.382906,21.437386,21.385939,21.370783,20.991426,20.808498,20.00512,19.08,17.673029
2025-11-07 02:28:39+00:00,2025-11-07 00:00:00+00:00,5.95906,5.4833565,5.0528407,6.439876,4.198285,3.396233,3.96,1.609969,3.6179552,2.8799999,1.8,7.9526596,11.720751,11.525623,17.026896,20.393293,20.945072,24.315327,24.881702,18.532135,16.363178,17.10284,13.854155,16.323528,13.237038,10.966713,6.6087217,5.95906,5.937272,5.04,5.4833565,5.95906,6.4096174,5.154415,5.634891,6.5693827,6.130579,4.198285,3.8773184,6.3690495,9.422101,10.97262,11.808878,13.783817,12.387348,8.707237,8.089993,7.5170207,8.049845,5.95906,6.28713,7.4128532,6.9527545,6.28713,5.3517847,4.1046314,3.8939953,7.2359104,8.4042845,8.225035,8.557102,10.948973,10.538843,11.435313,9.693296,11.753877,16.87398,14.05845,13.783817,17.283749,13.896187,13.979872,14.186923,12.496718,12.031756,12.88981,13.18308,13.684735,11.808878,13.783817,11.966954,9.686609,10.00256,11.119281,10.805998,9.793058,13.202726,14.182355,15.7908325,17.25373,18.03237,19.022177,17.727943,16.923828,14.8257065,10.163227,7.208994,7.342588,7.342588,7.771331,8.089993,9.449572,8.699793,9.290511,10.009036,9.422101,9.931042,10.464797,10.883676,11.525623,14.76439,16.299694,17.826363,18.844202,19.107151,18.504139,17.238699,17.114204,18.331741,19.930477,21.129885,21.924562,23.113008,23.686249,23.166216,21.897945,21.142147,21.142147,21.407139,21.407139,21.166653,20.421871,20.150354,20.620804,21.407139,21.758419,21.096123,20.172853,19.469976,20.073025,21.068459,21.370783,20.87379,19.694992,18.709612,18.043148,17.709658,16.92383,15.256526,12.849528,11.183201,10.08,9.72,9.0,8.311245,7.42159,7.771331,9.726665,13.138765,15.978486,17.811815,19.13426,19.416653,18.709612,17.298738,15.463244,12.783802,9.726665
2025-11-08 02:17:34+00:00,2025-11-08 00:00:00+00:00,10.805998,10.195057,6.696387,6.989936,8.654987,8.435069,7.7043357,7.8625183,6.792466,7.386582,7.0911775,6.28713,6.849467,6.519877,6.28713,10.495713,11.435313,14.182355,14.512064,14.693999,13.830749,10.30883,8.225035,7.9036193,7.754637,7.42159,6.638072,5.0528407,3.7585104,5.1544156,7.289445,5.1165614,5.1544156,4.32,2.3051248,6.519877,7.628263,3.319036,19.95972,25.567604,24.798225,22.406927,21.38897,19.681828,20.188908,19.33639,18.486622,19.134262,19.06301,12.074766,10.636766,9.178235,7.928178,10.823973,14.458382,14.039999,15.7908325,15.978484,12.57426,11.966953,11.885453,12.783802,15.941944,17.373497,18.64369,20.16,20.364674,21.841648,20.833395,18.374111,19.829433,22.881956,23.34455,21.273533,17.58481,14.934577,13.75558,13.084402,13.905509,15.463246,17.727943,19.161337,19.33639,19.855558,18.25026,17.22742,18.681883,20.49156,20.150354,19.809813,20.833395,20.326454,18.892282,15.815435,15.7908325,14.081477,12.9249525,16.171976,17.388409,18.35647,19.67195,20.304129,20.808498,20.969807,21.175837,21.385939,20.808498,20.466246,21.166653,22.159746,22.322903,22.682856,22.065973,22.104116,21.749481,21.53089,21.068459,20.431387,18.782204,16.75064,14.512064,11.928989,9.3876505,7.5942073,7.5170207,8.534353,9.885262,10.315115,10.636766,11.043261,11.043261,11.165805,11.503113,12.9249525,15.517629,17.643673,19.469976,20.570463,21.288757,20.907913,19.443333,17.643673,14.77755,11.212135,8.707238,7.6367526,7.6367526,7.2805495,6.924738,6.2145634,5.8603754,5.506941,5.0911684,4.73506,4.5536795,4.510787,4.6938257,5.315336,6.379216,7.342588,8.707238,10.105681,10.464798,9.47012,7.628263,6.193674,5.1919937,5.0911684
2025-11-09 02:38:41+00:00,2025-11-09 00:00:00+00:00,5.0911684,1.08,5.4833565,1.8,4.510787,5.3517847,3.8939953,2.7416782,5.8048253,7.628263,5.0142193,2.4149535,4.8965297,3.4152596,6.924738,14.480773,12.181624,16.039202,18.899143,14.05845,16.09969,14.565548,13.684735,16.981165,18.35647,16.92383,14.973577,15.978484,15.844089,16.179985,15.509274,15.509274,14.986553,15.7908325,14.241629,14.685176,15.273505,15.328561,15.941944,14.512064,13.202726,7.7879906,7.42159,9.028754,15.124284,12.783802,10.00256,16.73516,11.720751,16.055355,13.896187,11.043261,10.105681,10.028439,12.096214,15.141414,16.904673,19.137648,18.161278,17.902534,16.965895,16.45007,16.595179,18.448023,18.671474,18.899143,19.130875,16.92383,15.277749,14.021525,11.592894,9.605998,12.849528,16.267857,17.287498,18.892282,19.694992,17.84816,17.429354,17.283749,17.10284,18.193361,19.576189,19.228851,20.172853,19.134262,20.12461,21.767351,21.434364,21.273533,20.870687,20.12461,18.751125,16.595179,13.084402,8.707237,9.449572,10.799999,11.435313,9.565437,7.968939,7.628263,7.42159,7.4128532,7.289445,7.5942082,7.10031,7.10031,6.9247384,6.6087217,9.531505,11.183201,12.605142,14.081478,14.618837,13.493999,11.928989,10.08,8.707238,7.8625183,7.0911775,6.6185193,6.151683,5.5887027,5.1544156,4.73506,4.0249224,2.968636,1.9386592,1.5273507,1.609969,1.609969,2.0991426,3.096837,3.8268526,4.8433046,5.495161,5.815978,5.937272,5.0528407,3.2599385,2.0991426,0.8049845,1.08,2.5455842,3.96,5.0911684,6.2145634,6.519877,6.130579,6.162207,6.12,5.8048253,5.937272,6.28713,6.162207,6.489992,6.4799995,6.489992,6.5693827,6.489992,6.12,6.193674,5.692099,5.154415,5.0142193,5.315336,6.1305785
2025-11-10 02:30:44+00:00,2025-11-10 00:00:00+00:00,20.316889,14.512064,17.555305,14.869351,14.658676,12.904882,12.9249525,13.358861,13.084402,13.910169,13.5515,13.854155,13.207634,13.009903,14.578888,13.584932,12.738099,15.349684,13.684735,11.019764,11.212135,19.809813,9.511088,12.819235,13.479583,14.386494,11.570515,8.12197,14.33234,14.081478,13.004921,13.397612,14.471821,12.287555,8.825508,11.304229,8.373386,9.360001,14.372974,16.311613,18.03237,20.497883,22.104116,22.86496,21.533897,18.844202,12.88981,10.703569,12.641076,15.542662,18.681883,17.713316,17.673029,16.676977,15.94601,16.299694,17.713316,19.008545,19.881649,20.111729,19.406637,18.864824,19.453327,19.022177,19.803272,19.255793,18.792551,18.089775,17.698677,15.496736,11.252519,8.217153,11.440979,12.964998,12.72283,10.137692,5.937272,5.6920996,4.5536795,5.00128,6.297428,6.4096174,6.618519,7.127636,6.8777895,6.9153743,9.904906,11.090103,11.966953,12.599999,13.363711,12.245294,10.086427,7.69592,5.95906,5.634891,5.3999996,5.6233797,5.6002855,5.8603754,6.3690495,6.489992,6.12,5.95906,6.379216,6.2145634,6.130579,6.130579,5.771239,6.28713,6.130579,8.759178,9.449572,10.948973,10.315115,9.19939,7.729527,6.297428,5.6002855,5.634891,6.0347,5.3517847,4.510787,3.8268526,3.396233,3.6179552,3.6179552,3.2399998,2.7416782,2.3051248,1.2979984,0.71999997,1.8,3.219938,5.506941,6.924738,6.9899354,6.725354,6.489992,7.289444,8.427383,9.107359,8.654986,7.8625183,7.42159,7.42159,7.42159,7.42159,7.172949,7.42159,7.0911775,6.830519,6.924738,6.849467,6.489992,6.9153743,8.435069,10.739832,13.513193,15.546833,15.408671,14.693999,14.973577,16.981165,20.240198,21.986542,21.385939,19.164717
2025-11-11 02:20:04+00:00,2025-11-11 00:00:00+00:00,17.298738,18.057508,20.523157,20.275385,18.94024,14.05845,17.373497,16.700275,14.917212,16.454008,17.015474,18.998314,17.76081,17.873554,19.930477,20.870687,19.930477,21.129885,22.057161,22.104116,20.972897,17.610588,12.245293,12.641076,11.720751,14.003029,12.522619,12.72283,12.768586,11.165805,13.661038,14.799459,14.372974,13.891522,12.594856,11.183201,12.538134,14.336861,17.610588,18.709612,19.319628,20.799152,22.66857,23.400002,22.19773,19.134262,13.084402,9.904906,10.630672,13.1041975,10.105681,6.8399997,4.6800003,5.8048253,6.6087217,7.10031,7.7043357,7.7043357,8.161764,7.8954163,8.161764,8.654987,10.685391,13.207634,13.979871,15.941944,15.546833,14.044615,12.979984,10.823973,7.754637,7.42159,7.9036193,7.289445,7.42159,7.491114,7.491114,7.5942082,6.989936,6.193674,6.1094027,6.1305785,5.8603754,5.904439,2.9024127,5.634891,6.8777895,7.491114,8.049845,7.342588,7.771331,7.42159,6.489992,3.6179552,3.2599385,3.396233,3.8939953,4.73506,6.28713,7.24486,7.289445,7.386582,6.489992,6.9527545,6.2145634,6.2145634,4.73506,4.379589,5.04,4.379589,4.6800003,5.506941,6.379216,5.3517847,5.0911684,5.0911684,4.452954,4.2136917,4.802999,5.8048253,6.489992,6.87779,6.924738,7.2805495,8.28,9.9571085,11.384199,12.303366,12.904882,13.527572,14.168641,15.141414,15.990646,17.49615,19.373219,21.129883,22.159746,22.42427,22.45315,21.758419,20.674156,19.881649,19.652176,19.486609,19.191748,18.86139,17.87718,17.072504,16.311613,15.034041,14.05845,12.57426,10.931203,8.654986,5.7599998,4.5820518,5.8048253,6.725354,7.491114,8.161764,7.491114,5.95906,4.802999,5.0911684,6.151683,6.9247384,6.9247384,6.439876
2025-11-12 02:22:54+00:00,2025-11-12 00:00:00+00:00,4.5536795,8.311245,13.708391,11.090103,8.4042845,10.182337,11.841756,13.570615,12.413477,11.91812,11.91812,11.435313,10.805998,12.599998,18.59845,20.172853,20.26899,23.34455,24.821732,25.49908,25.153671,21.316135,15.876775,12.57426,10.308831,9.255571,8.049845,8.891343,9.449572,9.686609,10.086427,9.693296,10.028439,8.891344,9.793058,9.227524,8.217153,6.1305785,9.746631,11.525623,13.202726,16.24394,16.595179,15.815435,15.03835,12.324414,7.5685663,7.9932976,5.8048253,4.896529,5.692099,5.1919937,6.1305785,5.6233797,4.5820518,4.6938257,4.0249224,4.2136917,5.937272,6.28713,6.2145634,6.2145634,6.28713,9.021574,10.383987,8.435069,6.696387,5.315336,8.435069,8.942214,4.1046314,5.4477882,5.815978,5.904439,4.8433046,5.0911684,3.7064266,4.5820518,3.219938,2.6208394,3.8773184,3.5455887,4.6938252,5.506941,5.8048253,5.771239,6.519877,9.114471,9.178235,10.829959,11.631956,12.57426,15.496736,13.397612,14.693999,15.496736,15.683774,16.92383,17.31746,18.59845,17.84816,16.800856,18.58451,19.694992,18.892282,18.532135,19.05281,17.58481,16.516901,15.281989,14.494192,14.044615,14.458382,15.379206,13.441071,13.708391,14.039999,13.570615,11.503113,9.107359,7.072878,6.725354,6.830519,6.9527545,6.6087217,6.1305785,5.8603754,5.6233797,5.3999996,4.6938257,3.5455887,2.1897945,1.2979984,1.08,1.5273507,1.9386592,1.835647,1.08,0.8049845,2.7416782,5.634891,6.489992,4.39436,3.8939953,6.439876,7.5685663,7.9036193,8.209263,9.422101,11.384198,12.287555,11.753876,10.799999,10.315115,9.585739,9.449572,9.504273,10.239453,11.165805,12.371645,13.556282,14.264361,14.264361,12.429127,9.531505,7.771331,8.766573,10.966713
2025-11-13 02:40:48+00:00,2025-11-13 00:00:00+00:00,17.026896,14.154915,13.556282,8.647496,8.311245,9.693296,10.495713,9.793058,9.360001,9.021574,8.699793,8.0899935,7.386582,7.2,7.928178,9.72,11.885453,16.263872,19.296133,19.562946,17.298738,14.408997,7.9932976,8.311245,7.928178,5.8048253,3.4152596,4.3349743,6.638072,7.172949,7.172949,5.7599998,5.6920996,6.638072,3.7585104,5.692099,3.2599385,4.3349743,5.5887027,8.311245,9.531505,11.440978,13.1041975,14.336861,13.891522,11.119281,8.854829,4.829907,3.9763298,6.489992,6.792466,6.618519,6.4096174,6.3690495,6.1305785,7.289445,7.0911775,7.0911775,8.654986,9.565437,10.495713,11.384199,14.021525,14.386494,15.077082,16.87398,18.58451,19.171478,19.734436,19.602652,21.479664,21.533897,21.437386,20.304129,20.570463,21.068459,21.794127,22.476227,22.553936,21.897945,23.03156,22.406927,21.99538,18.72,19.64228,16.375053,15.778516,16.179987,17.595861,19.486609,19.995398,20.188908,17.462782,17.298738,13.661038,8.049845,7.5942073,7.2359104,7.2,7.2,7.208994,6.8399997,6.4799995,6.2145634,6.28713,6.9247384,6.9527545,6.9247384,6.696387,6.4096174,8.473393,8.473393,9.114471,10.239453,10.538843,9.885262,8.905908,7.172949,4.6800003,1.9386592,0.35999998,0.8049845,1.2979984,1.835647,3.671294,5.8603754,7.342588,7.172949,6.12,5.6233797,5.6233797,5.692099,5.8048253,5.991594,5.904439,5.8603754,5.6002855,4.8433046,4.3349743,3.8268526,3.396233,3.096837,3.563818,4.39436,5.315336,5.634891,6.12,6.12,6.12,5.991594,5.991594,5.8048253,5.95906,5.815978,6.151683,6.489992,6.489992,6.28713,6.297428,5.991594,5.154415,4.379589,3.9763298,4.1046314,4.3498964,4.510787,4.3498964,4.379589
2025-11-14 02:23:55+00:00,2025-11-14 00:00:00+00:00,5.2416787,7.208994,4.6938257,6.6087217,7.928177,6.830519,6.87779,6.379216,5.6920996,3.6,4.73506,6.162207,4.510787,3.9763298,6.4799995,9.72,11.5199995,11.885453,13.358861,14.8257065,13.830749,7.968939,7.8954163,8.699793,8.049845,7.4128532,3.319036,9.983106,7.628263,8.534353,7.172949,7.5170207,7.8954163,8.534353,8.699793,9.693296,10.495713,11.119281,13.18308,16.870138,18.161278,21.758419,22.392464,22.768396,22.66857,19.586119,21.068459,21.203358,17.339897,20.991426,20.774214,19.652176,20.3774,20.94507,20.326454,18.35647,19.137648,13.746156,12.984975,12.313894,13.004922,11.988594,13.044722,15.580141,14.021525,18.0,20.037485,18.919704,17.418196,17.208603,15.281989,13.276144,11.304229,10.8955765,10.182337,7.208994,7.2359104,6.519877,6.162207,6.725354,7.0911775,7.0911775,7.289445,7.42159,7.628263,7.342588,10.853866,11.384199,11.726277,12.074766,12.6462,12.6462,11.901798,8.28,4.6938252,3.319036,3.096837,1.484318,3.5455887,1.609969,4.32,4.510787,2.1897945,2.16,2.1897945,3.8773184,3.8773184,3.8939953,4.3498964,4.379589,2.968636,4.8965297,6.6087217,5.1919937,5.154415,5.00128,4.6102495,4.3349743,3.7064266,2.968636,2.52,2.1897945,2.4149535,2.8116899,3.319036,4.1046314,4.8965297,5.3999996,5.8603754,6.1094027,6.3690495,6.1305785,6.4096174,7.491114,8.587338,9.085988,8.4963045,7.653705,6.8777895,6.638072,6.9153743,6.9153743,6.9153743,6.638072,6.3690495,6.1094027,5.904439,5.991594,6.12,6.439876,6.763786,7.5685663,8.373386,8.534353,7.7043357,6.989936,6.763786,6.4096174,6.9247384,7.5170207,6.830519,5.8048253,5.1919937,5.0142193,5.771239,6.519877,7.2805495,7.9932976
