forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:38:50+00:00,2025-11-05 00:00:00+00:00,-3.4945068,-2.0377147,-2.6835103,-2.7930124,-2.45949,-1.6590099,-2.1269011,-2.4964097,-2.0143883,-2.4228227,-2.3947074,-1.8567429,-1.2660898,-0.44333056,-0.2494017,0.7463962,0.8930808,0.9829312,1.1863449,1.0535529,0.9134889,0.6986145,-3.2755594,-9.84804,-8.56846,-4.150843,-3.277371,-3.294869,-6.077339,-8.109028,-8.299708,-10.031923,-11.638838,-8.279876,-5.9462843,-6.7268376,-5.5009375,-4.1132727,-4.8887405,-3.8455112,-2.0439231,-1.0660468,-2.6129797,-6.427337,-7.4507394,-7.4507394,-8.403305,-8.184661,-8.567165,-6.409603,-6.3259463,-5.969369,-5.700623,-5.448684,-4.923294,-4.7704573,-4.9008517,-5.274725,-6.1696873,-6.8332872,-7.472343,-7.7024612,-7.712498,-7.499714,-7.4777117,-7.4945183,-8.165318,-8.184969,-7.876855,-7.3601017,-6.541788,-5.506849,-5.304478,-4.73714,-4.7920814,-5.3428164,-5.743395,-5.7919726,-4.990469,-1.957436,-1.7846063,-1.849466,-6.189691,-14.549881,-15.93599,-14.5956335,-12.517577,-13.006876,-12.603896,-12.449179,-13.219659,-12.458291,-12.329847,-12.708117,-12.750737,-12.271465,-12.051713,-11.609478,-11.4941225,-11.288873,-10.299373,-9.768799,-9.812675,-9.867596,-10.159902,-10.274252,-10.255545,-10.280582,-10.467027,-10.557718,-10.791286,-10.68178,-10.852048,-11.049311,-11.379342,-11.801316,-12.597776,-13.132282,-12.978725,-12.458291,-11.996861,-11.789422,-11.949706,-11.993595,-12.213824,-12.739752,-12.827556,-12.959274,-13.495047,-13.1788225,-12.449275,-11.319491,-10.46023,-9.906703,-9.546679,-8.889862,-8.267689,-8.184969,-8.532947,-8.649229,-8.024139,-7.6937556,-7.1683345,-7.3340254,-7.73225,-7.7292113,-7.085795,-6.540702,-5.967475,-5.2098374,-4.73714,-4.4460483,-4.4460483,-4.782038,-5.26009,-6.149621,-6.9402966,-7.328141,-7.5947857,-7.3045926,-6.974036,-6.796476,-6.810062,-7.0332713,-6.3731594,-6.331913,-5.8915963,-6.1674767
2025-11-06 02:29:59+00:00,2025-11-06 00:00:00+00:00,0.14995779,0.7744924,-1.1368734,-1.0571657,-1.5348201,-2.8444898,-3.7247565,-3.300918,-6.175835,-5.9533935,-2.5388951,-1.1273466,-1.8278896,-1.1918113,-1.9496247,-0.70434266,1.7439841,0.16518217,-1.3124087,-1.6352663,-5.4115906,-6.2560034,-6.9814878,-6.9227185,-5.490736,-5.6910324,-6.7784986,-6.91053,-7.474334,-7.7894998,-7.79539,-8.119353,-9.490677,-8.9651,-8.568336,-8.520666,-9.268455,-9.003005,-8.40995,-6.043174,-3.86805,-5.495489,-5.604423,-5.7347116,-5.0414786,-4.548076,-5.1215405,-6.4052234,-6.74807,-5.7251406,-5.6170473,-5.3368344,-5.52453,-3.0703566,-2.010494,-9.754463,-12.708403,-10.659372,-10.471209,-12.663884,-12.827556,-12.033638,-11.6700735,-11.602256,-12.516773,-13.573472,-14.568159,-15.555703,-15.349184,-15.87467,-15.266584,-14.056059,-11.57088,-10.382566,-9.587215,-9.3113785,-9.168288,-9.494337,-9.768799,-10.042554,-10.051941,-9.903841,-9.767916,-9.857117,-10.04393,-10.138753,-10.191737,-9.867596,-10.262087,-10.650213,-11.024915,-11.254022,-11.712489,-12.026353,-12.173781,-12.0689535,-11.48347,-11.598691,-11.77419,-11.742051,-12.257873,-12.43408,-12.566248,-12.566248,-12.564155,-11.501618,-9.996717,-9.13467,-8.351062,-7.976451,-6.776937,-7.284433,-7.228173,-7.1188536,-6.585297,-6.669165,-6.1674767,-5.914282,-5.492097,-5.5939426,-5.785806,-5.8739038,-5.3453794,-5.3994894,-5.5311317,-5.433455,-5.3928647,-5.409137,-5.8526454,-5.9270854,-5.663087,-5.436854,-5.3368344,-5.063847,-4.92796,-4.523834,-4.138946,-3.8205721,-4.1773252,-4.337202,-4.398627,-4.6402254,-4.775966,-4.6017723,-4.174815,-3.493488,-3.1662521,-3.027176,-3.007297,-3.2810652,-3.30597,-3.567439,-3.56128,-3.7062848,-3.6264122,-3.6727197,-3.7062848,-3.6990683,-3.4889717,-3.3448777,-3.211117,-3.3610451,-3.7223969,-3.7782235,-4.1656227,-4.122854,-3.907656,-3.85085
2025-11-07 02:28:07+00:00,2025-11-07 00:00:00+00:00,-9.721072,-8.216844,-8.48193,-7.4085855,-8.179186,-7.1512733,-6.9087157,-7.2820234,-7.655374,-7.447072,-8.656576,-9.663274,-9.993479,-9.8190155,-9.456745,-8.342836,-5.662038,-5.744995,-6.1752324,-6.7701,-5.843528,-5.2712207,-6.878368,-5.976064,-5.4299874,-6.1425004,-6.1880865,-2.9914794,-1.3877751,-4.2210574,-7.634676,-8.584498,-8.86042,-9.852973,-10.594296,-9.896432,-11.065583,-10.970675,-10.335901,-9.238806,-7.604024,-8.324849,-10.558962,-11.103661,-11.595378,-11.976937,-11.680962,-12.108953,-12.8575535,-13.03958,-12.257873,-11.944355,-12.050028,-12.076692,-12.587487,-12.660721,-12.473604,-12.394992,-12.34862,-12.1944895,-12.46924,-12.652423,-13.064634,-13.110085,-13.574083,-13.961934,-14.243311,-14.28754,-14.693517,-14.776015,-15.1427,-14.192158,-14.542018,-14.091668,-14.036565,-13.867704,-13.9985,-14.042101,-13.867704,-12.871462,-11.449636,-10.662251,-9.855822,-9.189465,-8.5484495,-7.38941,-6.9884543,-7.3751144,-6.961865,-6.779524,-6.3257084,-6.476573,-6.631793,-6.083072,-5.3684382,-5.419757,-6.035952,-5.942372,-5.9922233,-5.8822207,-5.8790627,-6.232739,-6.6307063,-7.023745,-7.2433543,-7.0729923,-6.7278957,-6.995486,-6.8725457,-6.466483,-6.29696,-5.859904,-5.433455,-5.388666,-5.7519264,-6.034557,-5.5994983,-5.3491826,-5.1128097,-4.735979,-4.549779,-3.747559,-3.034083,-2.642317,-2.787791,-3.055379,-3.238658,-3.2904935,-3.5214815,-3.613881,-3.5214815,-3.6073716,-3.607104,-3.7509167,-3.8550105,-4.0712113,-4.096309,-4.259019,-4.8219433,-5.1847334,-4.901978,-4.733334,-4.4740334,-4.5118194,-4.462399,-4.288793,-4.2883415,-3.9253883,-3.6041353,-3.659835,-3.3951468,-3.56953,-3.7988105,-3.946418,-3.965614,-4.148192,-4.1938376,-4.2394853,-4.4472175,-4.3392105,-4.2727776,-4.7231936,-5.778315,-6.8210363,-7.160026,-7.6964154,-7.40475,-7.4204206
2025-11-08 02:17:07+00:00,2025-11-08 00:00:00+00:00,-7.0968175,-6.5553737,-5.426403,-1.6974797,-4.565524,-7.634676,-11.811048,-12.820532,-14.603796,-15.637203,-15.721109,-13.708456,-14.9109335,-14.019639,-14.269547,-13.68336,-11.223101,-11.464701,-11.708047,-11.791594,-11.447695,-11.404715,-11.852142,-11.619635,-11.957285,-12.442201,-11.520342,-11.20265,-11.860919,-12.416119,-12.6478615,-12.44214,-12.278351,-12.119594,-12.324582,-11.578455,-11.1223135,-11.3015175,-11.348337,-10.194924,-9.505825,-9.534716,-9.53061,-9.947564,-9.938736,-10.614466,-10.98053,-11.319414,-12.178575,-12.257102,-12.516773,-12.35777,-12.488955,-12.62015,-12.663884,-12.256903,-11.905512,-10.738005,-9.546679,-8.138022,-7.289098,-6.464509,-5.3700304,-4.7143846,-4.1128078,-4.0587716,-4.37502,-4.382336,-4.1343613,-4.3367147,-4.306228,-3.3610451,-4.138946,-4.420849,-4.4208317,-4.5975404,-4.7883983,-5.0816784,-5.304118,-5.660075,-5.483968,-5.2566752,-4.8373737,-4.7204227,-4.7873135,-3.4874933,-3.459113,-3.62623,-3.345724,-3.5407484,-3.8645108,-4.3888826,-4.901978,-4.734034,-5.368756,-4.775492,-4.2181525,-3.0961888,-2.5382166,-2.1167762,-2.4118378,-2.547447,-2.53106,-2.7466974,-3.1570916,-2.503912,-2.7856455,-3.1615965,-3.5357103,-3.129924,-3.0494258,-3.844894,-3.8916996,-4.147699,-4.5659957,-5.116215,-5.192466,-5.496256,-5.877426,-5.550396,-5.8822207,-5.785806,-5.6977115,-5.304478,-5.276106,-5.031315,-5.081005,-4.9616456,-4.478676,-4.3392105,-4.3890495,-4.2394853,-4.422082,-4.76596,-5.472364,-5.70787,-5.785806,-6.605545,-7.4784594,-8.144529,-7.9408736,-7.737155,-7.980385,-7.770996,-8.06797,-7.756262,-7.2739916,-6.777045,-6.8137603,-6.867025,-6.8919935,-6.25189,-5.752653,-5.436854,-5.201315,-5.1109724,-4.885132,-5.0765104,-5.1861753,-5.120573,-4.553368,-4.026924,-3.4470901,-3.236186,-2.8484976,-2.2624464,-2.136048,-2.5455203
2025-11-09 02:38:18+00:00,2025-11-09 00:00:00+00:00,-11.856536,-12.4270315,-13.528722,-13.62399,-13.7571335,-14.001907,-13.792917,-13.45143,-13.343815,-12.877423,-11.9192505,-11.531827,-11.764973,-12.281802,-12.476497,-11.640664,-10.447762,-10.228639,-10.489728,-10.602711,-10.910897,-11.706638,-11.950834,-12.202471,-13.773992,-14.193818,-14.459527,-14.733584,-14.811481,-14.863759,-14.75746,-14.831103,-14.778463,-14.438632,-14.5280285,-14.328032,-13.598073,-13.598073,-13.77893,-13.067558,-11.326475,-11.153007,-10.039508,-8.699397,-8.063438,-7.892168,-7.7231474,-7.749436,-9.55769,-5.0279036,-5.2020493,-5.0811744,-5.5655794,-5.9620066,-5.660075,-5.2098374,-4.7612567,-4.7044764,-4.7612567,-4.5203485,-4.376431,-3.4290838,-3.459113,-3.4757035,-3.3905952,-3.4146159,-3.5919034,-3.7047799,-4.0057592,-4.125399,-4.6068654,-3.6188793,-4.4344277,-4.244173,-2.7806923,-2.0542107,-2.0434706,-2.3300786,-2.6438231,-2.8239112,-3.055379,-3.0985498,-2.940008,-3.168729,-3.059524,-3.0707726,-3.2270741,-2.9253607,-3.0316565,-2.9273806,-3.152208,-3.3468585,-3.5242102,-3.6227415,-4.040687,-3.2605984,-3.9082515,-4.331333,-4.1127534,-3.9462864,-4.2564936,-4.547921,-4.2753096,-4.1308856,-4.1759067,-4.4460483,-4.656212,-4.7467904,-5.2065415,-5.1069355,-5.289594,-4.794803,-4.7414346,-4.94246,-5.742033,-6.881947,-6.6784253,-7.004079,-6.5794034,-6.2024617,-5.7093115,-5.492097,-4.9079127,-4.3391767,-4.4254947,-4.131481,-3.8093991,-3.0754626,-1.6592464,-0.7896559,0.19286817,0.62547207,1.1362172,1.4631703,1.5954684,1.4101225,0.8158759,-0.1064912,-1.0000355,-1.5680991,-1.7967018,-2.6721125,-4.9466996,-8.004934,-10.376988,-10.999676,-10.284274,-10.293358,-10.917898,-11.672074,-12.477327,-12.74014,-12.721874,-12.743983,-13.153225,-13.573471,-13.981549,-14.072243,-13.890858,-13.560094,-13.552055,-14.063976,-14.81512,-15.174906,-14.686297,-14.266104,-13.13439,-11.907045
2025-11-10 02:30:08+00:00,2025-11-10 00:00:00+00:00,-11.551768,-12.875572,-13.176107,-13.326614,-13.535213,-13.934741,-13.902347,-14.14871,-14.372865,-14.046866,-13.77353,-13.9989805,-14.134261,-14.224451,-13.914581,-13.462439,-11.595093,-11.23798,-9.772922,-8.072785,-7.482384,-7.749436,-7.15573,-7.2265253,-8.420347,-10.082824,-8.393397,-7.837687,-7.2322383,-6.6532702,-6.150091,-6.7441745,-8.150539,-8.324849,-7.429495,-7.188601,-7.144317,-7.355662,-7.190133,-5.871185,-3.9270687,-3.6417162,-3.6912649,-2.7362478,-2.9189744,-3.610432,-2.8762412,-3.740862,-5.067172,-3.514662,-2.2996957,-1.8587707,-1.8351997,-2.2270675,-2.6702504,-2.8125145,-2.7659104,-2.855847,-2.8591194,-2.9781768,-2.9318795,-3.105716,-3.3198867,-3.0094063,-3.1856637,-3.2141619,-3.513723,-3.741519,-3.8336432,-4.2611628,-4.1334553,-3.3949654,-3.7690458,-3.6586483,-3.6141953,-3.8576636,-3.5252929,-3.3919444,-3.3919444,-3.5252929,-4.0792255,-4.5850816,-5.031315,-5.2153172,-5.5287466,-5.5287466,-5.211632,-4.6781178,-4.478283,-4.824978,-4.3367147,-4.1853914,-4.015009,-4.140028,-3.7699735,-3.011283,-2.7593458,-2.5935018,-2.3744721,-2.6171215,-3.0568843,-1.9930248,-1.5704311,-0.3072732,-1.5068424,-1.5025132,-0.49332795,0.26000243,0.3445214,0.35673076,0.4459324,0.11239423,2.5162153,2.4760706,0.20676906,-1.0311497,-3.303052,-5.423842,-7.1902046,-8.834973,-8.034472,-4.4677334,-1.716349,-0.7871074,-1.127512,-1.9145052,-2.7329068,-3.299228,-4.020713,-4.5048985,-4.978221,-5.648216,-5.987245,-6.131384,-6.3190165,-6.7440705,-8.26066,-10.707004,-14.343442,-16.324362,-17.126493,-17.002405,-16.730108,-15.63996,-14.77223,-13.475381,-12.360857,-11.810439,-11.71737,-11.707186,-11.64106,-11.468994,-11.278241,-11.019946,-10.580416,-9.857951,-9.450662,-9.040636,-8.617043,-7.994517,-7.4386287,-7.147511,-7.012411,-6.7585373,-6.8619046,-6.5502486,-5.932422,-5.4570284
2025-11-11 02:19:35+00:00,2025-11-11 00:00:00+00:00,-2.6509871,-5.057026,-4.9823666,-4.5725694,-4.658245,-5.150098,-5.4293275,-6.945431,-7.589456,-6.682202,-6.611051,-7.0128293,-5.7346444,-5.894764,-6.5648036,-6.2745776,-3.921636,-2.8463542,-2.4342105,-2.0632753,-1.2812464,-1.1509448,-1.0946168,-2.0170748,-3.251496,-2.3677933,-2.7749944,-2.4056115,-2.837797,-3.6785672,-3.7252834,-4.4260907,-4.809627,-4.902892,-5.0335717,-5.4158955,-5.4158955,-5.4158955,-5.462537,-5.173775,-3.4109643,-2.7704597,-2.476112,-2.920295,-2.6980307,-2.654057,-2.610086,-2.920295,-3.686455,-4.0687475,-4.331333,-4.331333,-4.024742,-4.1127534,-4.1558414,-3.9462864,-4.362002,-4.581133,-4.656212,-4.92796,-5.2065415,-5.403568,-5.228109,-5.0314717,-5.1362395,-4.824978,-4.935688,-4.9304194,-4.775492,-5.0275874,-4.9437084,-4.3888826,-4.549099,-4.023352,-3.9350305,-3.4363925,-3.2469687,-3.3361487,-3.3807418,-3.8364704,-3.9698493,-4.0349116,-4.1558414,-4.1835556,-4.1984205,-4.027143,-3.7988105,-3.5305588,-3.5032184,-3.2439687,-2.9685457,-2.5168211,-2.4321537,-3.0901787,-2.7601323,-1.0681667,-0.6088448,-0.14763941,-0.26729605,-0.5837487,-0.48706564,0.42016244,0.58466613,0.5614099,0.3915028,0.45700184,0.6366042,0.6249697,1.215193,0.98231214,0.9272641,0.7196058,0.6078647,0.39706054,0.03264112,-0.35073996,-0.8023376,-1.1227231,-1.1566601,-1.1033971,-1.0311497,-0.92811954,-1.0333192,-1.1200869,-1.1394923,-1.3902721,-1.4444357,-1.5661641,-1.9868757,-2.092097,-2.1676702,-2.3776767,-2.3546467,-2.6148727,-2.641177,-2.6963212,-2.4863024,-1.9485307,-1.8987443,-1.8159205,-1.4313213,-1.2964286,-1.1218435,-1.0333192,-1.1394923,-1.3215163,-1.292226,-1.2822165,-1.2903222,-1.4898372,-1.4290192,-1.3831431,-1.3036293,-1.6379987,-2.4304407,-3.2316394,-4.0736327,-4.4387913,-4.8493247,-4.7606587,-4.4918256,-4.219569,-4.1984205,-4.2810965,-3.9905982,-3.9462864,-3.7383537,-3.8864274
2025-11-12 02:22:27+00:00,2025-11-12 00:00:00+00:00,-6.6829534,-7.798729,-7.1554694,-5.7454867,-5.244698,-4.717233,-4.253369,-4.2967167,-4.5195427,-4.9401064,-4.986839,-5.220511,-5.173775,-5.5224094,-5.5689516,-4.99616,-3.2891765,-2.7039893,-2.791855,-2.6980307,-3.3447223,-3.5556238,-3.814464,-3.6691768,-4.1164527,-4.4471664,-5.044269,-4.8779063,-4.9267464,-5.3809757,-5.190956,-4.4297743,-4.267374,-4.3335886,-4.4728584,-4.4264336,-4.529848,-4.753183,-5.2672467,-4.7482257,-2.665249,-2.5283382,-2.481965,-2.4550724,-2.9249735,-2.8502073,-3.6794722,-5.146704,-4.411578,-3.5888262,-3.5847428,-3.169718,-3.0226254,-2.8073514,-3.0363955,-3.4260623,-3.184471,-2.843731,-2.9438276,-3.1568038,-3.0056677,-3.2597404,-3.1856637,-3.1931295,-2.584771,-2.498532,-2.3052433,-2.0379345,-1.9958626,-1.9117228,-2.206238,-1.5158095,-1.3863492,-1.3424106,-0.7268834,-0.565585,-0.37301156,0.19269364,0.5412805,0.654319,0.62529194,0.924871,0.40162563,0.5878581,0.7957217,1.3683591,1.3032593,1.4859583,1.5832545,1.4733768,1.2239712,0.99879646,0.64865696,0.5682223,0.21134928,0.59700024,0.27564424,0.14534369,0.122939795,0.18450777,0.19114845,-0.042556416,-0.27750683,-0.83758414,-1.3977501,-1.9113173,-2.1601214,-2.1756737,-2.2279742,-2.3751154,-2.2807732,-1.8005788,-1.9982096,-1.5476921,-1.4429028,-1.9941921,-2.2366445,-1.2826965,1.5954684,4.045737,5.127808,5.314422,5.098938,4.8328023,4.6076283,4.1163006,3.8214958,3.6552138,3.7321966,3.7088552,3.6344156,3.332881,3.154765,3.1379797,3.2923644,3.2162652,2.995675,2.5957048,1.9969698,1.7140772,1.2711045,1.1409893,1.1395409,1.2395928,1.2924961,1.1626236,1.2400588,1.1607977,1.161025,0.98861194,0.90778464,0.82331896,0.8312847,0.88417864,0.687313,0.5358524,0.38165414,0.29628596,0.15938608,0.19032031,-0.061116457,-1.2165607,-2.7431061,-4.001484,-4.166555,-3.9148238,-3.4698918,-2.5754185
2025-11-13 02:40:24+00:00,2025-11-13 00:00:00+00:00,-2.979617,-3.1825056,-3.7435784,-4.2435613,-4.345792,-2.9660974,-2.8864832,-3.1125607,-3.8120775,-4.5602894,-4.3492365,-4.105753,-4.3275757,-6.4844894,-6.520743,-5.6919527,-2.9336603,-2.4940002,-1.7522753,-2.3889096,-2.6650736,-2.4109628,-3.1674457,-3.6912649,-5.285712,-5.0241756,-5.297699,-5.0242643,-5.159384,-5.2494674,-5.2830925,-5.0319138,-4.991885,-5.2555695,-5.4442697,-5.9457855,-6.0838485,-6.2679434,-5.1222086,-4.4385557,-3.0183852,-2.6343017,-2.2146852,-1.6077335,-2.3674974,-2.6674166,-2.3240728,-2.6650736,-3.251496,-1.6434449,-1.1896847,-0.35106283,-0.13449249,-0.22209209,-0.22209209,-0.105515614,-0.198566,0.15875115,0.18915464,0.15769936,0.34417024,0.28248018,0.8333502,1.0685488,1.047069,0.7312756,0.52834266,0.28444177,0.1606712,-0.22931731,-0.5955817,-0.5372943,-0.5777372,-0.8182012,-0.6658276,-0.56689066,-0.56689066,-0.72510064,-0.24783409,0.50233656,0.97447115,1.1155854,0.7669224,0.8273985,0.82331896,1.3188714,1.2706498,1.3032593,1.011414,1.2117121,0.9872826,0.6007379,0.36656302,0.41149285,0.4832822,0.69255936,0.6222798,0.7233934,0.56243956,0.49514323,0.889029,1.3497052,1.6658375,1.7207962,1.7207962,1.9457122,2.0831683,2.488795,2.510491,2.5071194,2.2768137,2.7068188,2.6345508,2.8135502,2.5639465,1.9623255,1.0723722,0.587417,0.7149782,1.3473583,1.6053452,1.7524691,1.5990747,1.4635319,1.3855124,1.313044,1.1838971,0.84081644,0.3600434,-0.004782649,-0.22651736,-0.28651774,-0.3199329,-0.1589682,0.03762441,0.39969808,0.47658393,0.39841905,0.02746011,-0.47388986,-0.8182012,-1.0311497,-1.046145,-0.9354447,-0.7442313,-0.71858346,-0.49767208,-0.38572672,-0.16906026,0.06844192,0.33012834,0.5111442,0.88417864,0.83664566,0.44608662,-0.04530269,-0.38398036,-0.42342314,-0.1761421,-0.08059607,-0.098132774,-0.15463918,-0.2968386,-0.7510726,-0.8367058,-1.2165607,-0.9083873,-0.8492268
2025-11-14 02:23:27+00:00,2025-11-14 00:00:00+00:00,-4.1496086,-5.436349,-6.422261,-6.193372,-6.506947,-6.82057,-6.7657313,-5.7454867,-6.09553,-6.363458,-6.0977054,-6.415889,-6.4260254,-6.3074284,-6.424195,-5.4293275,-3.5726957,-3.0199158,-2.2560854,-1.3998728,-1.4433697,-1.294515,-1.141852,-1.7488003,-2.6477842,-1.1183425,-1.3322036,-0.34923932,-0.71489644,-0.28827268,-0.67907923,-0.7735652,0.05447006,-0.23328045,0.0066342955,-0.021503182,-0.6953181,-1.1813643,-1.6104001,-0.2925748,2.496568,2.8924384,2.8571632,2.1481967,1.5415401,0.33356926,-0.97722334,-1.6615609,-3.181798,-0.5800252,-0.898272,-0.8955029,-0.8492268,-0.71598643,-0.7909069,-0.93093765,-0.87121844,-0.90762293,-0.97195625,-0.9880252,-1.000369,-1.1413,-1.0021888,-0.71858346,-0.9352644,-0.79099995,-0.7590914,-0.801896,-0.3415369,-0.29615068,-0.027908323,0.16784391,0.28275537,0.35343847,0.46850067,0.30850697,0.8401265,1.4881788,1.9969698,2.4428022,3.2782662,4.1278005,4.822456,4.576466,3.9535146,3.949621,3.6740916,3.2318683,2.9481606,2.894348,3.118673,2.995675,2.404122,2.4520197,2.3260713,2.0895782,2.3096044,2.2620888,2.523166,2.5508416,2.5102406,2.4124527,2.2114513,1.9128512,1.514715,1.1612222,0.81243575,0.76260906,0.41382074,0.35627654,-0.042806394,1.2110488,1.6462976,1.5330691,1.2125058,0.9556121,0.4942602,0.26757473,0.31275725,0.6844096,0.78804034,0.77713513,0.72171533,0.40894064,-0.1672693,-0.89566195,-1.8424044,-3.1671834,-4.876968,-6.4771924,-7.25148,-7.5697384,-7.545302,-7.197463,-6.8737025,-6.035345,-4.427947,-2.624026,-1.7889028,-2.2225633,-3.6073716,-5.653081,-7.982912,-10.151516,-11.645804,-11.156977,-9.456683,-7.976451,-6.216337,-4.113359,-2.7260134,-1.8580385,-1.3507243,-1.1167583,-1.0096549,-1.1096774,-1.1620543,-1.1665703,-1.1665703,-1.2088593,-1.5351931,-2.011585,-2.776204,-3.3330493,-4.1643047,-4.552701,-4.3199954,-3.6381018
