forecast_day,time_of_1h,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,25h,26h,27h,28h,29h,30h,31h,32h,33h,34h,35h,36h,37h,38h,39h,40h,41h,42h,43h,44h,45h,46h,47h,48h,49h,50h,51h,52h,53h,54h,55h,56h,57h,58h,59h,60h,61h,62h,63h,64h,65h,66h,67h,68h,69h,70h,71h,72h,73h,74h,75h,76h,77h,78h,79h,80h,81h,82h,83h,84h,85h,86h,87h,88h,89h,90h,91h,92h,93h,94h,95h,96h,97h,98h,99h,100h,101h,102h,103h,104h,105h,106h,107h,108h,109h,110h,111h,112h,113h,114h,115h,116h,117h,118h,119h,120h,121h,122h,123h,124h,125h,126h,127h,128h,129h,130h,131h,132h,133h,134h,135h,136h,137h,138h,139h,140h,141h,142h,143h,144h,145h,146h,147h,148h,149h,150h,151h,152h,153h,154h,155h,156h,157h,158h,159h,160h,161h,162h,163h,164h,165h,166h,167h,168h
2025-11-05 02:38:50+00:00,2025-11-05 00:00:00+00:00,-1.7199811,-1.232985,-1.4086641,-0.97718906,-0.51930463,-0.5349172,-1.6138628,-1.5756229,-1.0398062,-1.0880262,-0.8925943,-0.8854864,-0.56832373,-0.20657763,-0.6167089,0.48762116,0.558131,1.0454273,0.9363683,1.0156897,1.0878145,0.50963664,-0.52888864,-5.515835,-4.456485,-3.7622008,-7.8831944,-8.784477,-9.932457,-8.916245,-11.953781,-11.893658,-11.765266,-3.5005574,-3.552523,-4.404206,-3.9040427,-3.0266016,-2.6623101,-3.198468,-1.3126647,-1.8446187,-2.3054416,-6.254718,-7.3641305,-7.2401605,-8.260348,-8.040962,-8.853599,-6.823433,-6.180382,-6.0845995,-5.793044,-6.0208364,-5.657536,-5.3954554,-5.458419,-5.573772,-6.177557,-7.0601473,-7.5532575,-7.907735,-7.9536777,-8.003999,-8.361072,-8.234324,-8.451028,-8.641472,-8.417484,-7.512956,-6.8241525,-6.0631814,-5.6430335,-5.1951184,-5.1951694,-5.452034,-5.5875688,-5.5417747,-3.4723048,-1.7139174,-1.6337923,-2.6946805,-6.489701,-13.069448,-16.807762,-15.762885,-14.8075695,-12.987045,-11.280296,-12.194207,-12.639214,-12.338127,-12.524658,-12.353396,-12.48184,-12.381135,-12.061633,-11.929958,-11.722165,-10.910638,-10.426923,-9.960276,-9.424227,-9.353876,-9.512643,-9.384198,-9.420746,-9.228567,-9.019456,-9.036487,-9.199426,-9.151723,-9.577095,-10.021472,-10.683748,-11.49561,-11.822119,-12.262802,-11.96813,-11.196894,-11.026831,-11.184149,-11.313263,-11.368662,-11.633783,-11.766358,-11.898944,-12.075738,-12.634539,-12.76672,-12.898911,-12.987045,-12.517801,-11.652054,-10.350265,-9.542543,-8.806805,-8.929225,-8.889745,-9.041239,-9.087992,-8.672099,-8.242139,-8.16387,-7.9491954,-7.8864374,-7.8864374,-7.4915814,-6.4708824,-5.5955524,-5.0608587,-5.0160904,-5.1897526,-5.462066,-6.301273,-6.823433,-7.355365,-6.9203925,-6.127233,-5.463818,-5.3729773,-6.264731,-7.1914406,-7.3837433,-6.677807,-6.4287467,-6.2067194,-5.895293
2025-11-06 02:29:58+00:00,2025-11-06 00:00:00+00:00,-1.239405,-0.5628567,-3.742202,-2.8692212,-5.024156,-5.219411,-4.2468314,-6.9761243,-6.9870253,-2.4122655,-0.5953388,0.03886323,-0.86663556,-0.64129466,-0.16669415,-0.26344228,1.2364007,-1.0646659,-2.1682184,-1.3666248,-6.0177903,-5.496673,-6.597406,-5.5856695,-4.8039007,-4.425832,-4.9156146,-5.8071856,-7.051314,-7.5981083,-7.9656215,-8.338469,-8.55269,-7.42208,-7.2276764,-7.375124,-8.373523,-8.305055,-8.634214,-6.3868804,-4.699994,-4.71586,-5.3798914,-6.093348,-5.1717753,-5.0717,-4.9468055,-5.987692,-6.438275,-5.462066,-5.371537,-5.506677,-5.451165,-1.1866056,-4.1808624,-8.579116,-12.940365,-11.40347,-11.726042,-13.466882,-13.985718,-12.676096,-12.23557,-11.880754,-12.758185,-13.809019,-15.009063,-15.131254,-15.413199,-15.289299,-14.757322,-13.087656,-11.332701,-10.31782,-9.811749,-9.350555,-9.395935,-9.759005,-10.167526,-10.352851,-10.434491,-10.569385,-10.399923,-10.207112,-10.23466,-10.221248,-10.259607,-9.975887,-10.286916,-10.08099,-10.462165,-10.701737,-11.240243,-11.521197,-11.711344,-11.882529,-11.157911,-11.140287,-11.093146,-11.324477,-11.545404,-11.810553,-11.943139,-12.45831,-12.502366,-12.59048,-12.013802,-11.385134,-10.241771,-9.277674,-8.234376,-7.4791994,-7.5544004,-7.1319714,-7.1047883,-7.186158,-6.71323,-6.3721166,-6.1356626,-5.753918,-5.9421835,-5.8981314,-5.8624697,-5.9288173,-5.972545,-6.1474676,-5.994146,-5.8540807,-5.433528,-5.373079,-5.368287,-5.0761533,-4.966167,-4.864808,-4.9099736,-4.6509275,-4.350024,-4.0059013,-4.3602414,-4.419295,-4.3713465,-4.5624533,-4.2120934,-4.2420063,-3.895326,-3.7131684,-3.105279,-2.876884,-2.9686463,-3.0067534,-2.9411404,-3.056653,-3.0881584,-3.3174694,-3.3565156,-3.5864124,-3.540431,-3.6513948,-3.5162673,-3.5553863,-3.3603282,-3.429474,-3.4818437,-3.8019516,-3.932545,-4.1994348,-3.900226,-3.7898247
2025-11-07 02:28:07+00:00,2025-11-07 00:00:00+00:00,-7.782535,-6.0216503,-6.1920276,-4.848385,-5.6006002,-6.220538,-6.7807207,-7.5062375,-7.9656215,-7.83448,-7.556694,-7.7437696,-8.559455,-9.3058815,-9.735382,-8.808428,-6.1809254,-5.7348595,-6.4823384,-6.7687984,-7.025877,-5.458665,-5.999545,-6.1038275,-6.1588387,-6.287828,-5.5993156,-1.4704664,-0.0692113,-5.208182,-7.9046564,-8.288697,-9.3805065,-10.360918,-10.678731,-9.951011,-11.087083,-11.6366415,-11.491145,-10.432363,-8.062126,-8.54838,-10.688694,-11.618346,-11.722471,-11.594094,-11.808062,-11.833298,-12.334268,-12.584292,-12.469277,-12.252552,-12.279925,-12.31952,-12.281418,-12.638632,-12.7017145,-12.543449,-12.6809,-12.737141,-12.711027,-12.692609,-12.727252,-12.453327,-12.9157505,-13.125346,-13.3804245,-13.338433,-14.099583,-14.079162,-14.923499,-14.507573,-13.681214,-13.553342,-13.582826,-13.368601,-13.542941,-13.760895,-14.1473055,-14.1473055,-13.978879,-13.027331,-12.013802,-10.955396,-10.016061,-9.029647,-8.505835,-8.034922,-7.5633287,-7.5474906,-6.974552,-7.1004453,-6.5000243,-6.395486,-5.943797,-5.447886,-6.060004,-6.7384467,-6.140572,-5.413637,-5.5055623,-6.541108,-6.847337,-7.066104,-7.1796646,-6.6030807,-6.4093924,-6.4844837,-6.4043574,-5.912147,-5.949035,-5.6600084,-5.461365,-5.3257833,-5.349268,-5.5120916,-5.5989285,-5.184232,-4.6732335,-4.4548745,-4.362914,-3.9622238,-3.1731985,-2.8683267,-2.7430182,-3.0067534,-3.1236439,-3.2396355,-3.4683824,-3.5598876,-3.8081517,-3.925934,-4.05078,-4.05078,-4.05078,-3.866054,-3.852445,-4.3269873,-4.535558,-4.7955294,-4.275777,-4.4614415,-4.5723386,-4.3728304,-4.5453763,-4.573036,-4.7906613,-4.661198,-3.9593186,-3.4498582,-3.2806637,-3.3904283,-4.133334,-4.4475617,-4.7169356,-4.896537,-5.0312467,-4.9211297,-4.7293153,-4.605899,-4.438965,-5.152326,-5.8864603,-6.415456,-6.849642,-7.2235837,-7.138512,-7.6329956
2025-11-08 02:17:07+00:00,2025-11-08 00:00:00+00:00,-6.2914104,-4.145005,-2.5888631,-1.82512,-3.8823204,-6.2883263,-12.205484,-14.249553,-13.423515,-14.2954445,-15.5545435,-13.833591,-15.315278,-14.629007,-15.04413,-13.186124,-10.862965,-11.945252,-11.879477,-11.4477,-11.231856,-11.059205,-11.1023655,-11.490871,-11.955972,-11.670558,-10.798467,-10.846211,-10.928079,-11.2012825,-12.783041,-13.00903,-12.932289,-13.010127,-12.921962,-12.717529,-12.3734865,-12.839885,-12.876047,-11.670314,-9.582348,-9.756975,-9.484837,-9.989918,-9.980573,-10.783425,-11.14869,-10.996249,-11.749931,-12.300146,-12.061633,-12.322944,-12.119477,-12.67142,-12.469277,-12.556738,-12.687937,-12.731673,-12.456609,-11.722165,-11.126994,-9.961093,-8.345196,-6.538716,-5.191364,-4.883727,-4.5330725,-4.529515,-4.621887,-4.492397,-4.0508523,-3.571886,-4.118872,-4.2365513,-4.4890566,-4.9670887,-4.7101912,-4.8971534,-4.9733005,-4.886912,-4.788106,-4.5158415,-4.0053782,-3.9450748,-3.9450748,-3.9259362,-3.6844049,-3.4430587,-3.1654136,-3.1250587,-3.6854527,-4.318137,-4.8828974,-5.2671604,-5.9009943,-4.883003,-4.362914,-3.7875252,-2.660917,-1.9309407,-1.9418993,-2.7213032,-3.306162,-3.6072984,-3.4091985,-3.5405393,-3.790808,-4.0416055,-4.227283,-4.2525363,-4.5058203,-4.4601927,-4.695959,-4.7502866,-4.841222,-4.9212494,-5.4044857,-5.5156407,-5.576495,-5.802884,-5.841365,-6.1474676,-6.191201,-5.906361,-5.4171715,-4.6542425,-4.267998,-4.155647,-4.051975,-4.187427,-4.322885,-4.4131985,-4.7860255,-5.2557845,-5.6429358,-5.862555,-5.906361,-6.5862665,-6.9814034,-7.3861713,-6.8136044,-7.067186,-7.2235837,-6.916564,-7.246203,-7.583946,-7.186158,-7.340727,-7.1047883,-7.404386,-7.1796646,-6.9646235,-7.0750413,-6.752461,-6.333886,-6.13744,-5.858663,-5.903849,-5.858663,-5.5517263,-5.373079,-5.273035,-5.146505,-4.2420063,-2.9631839,-2.0324259,-2.030064,-2.44037
2025-11-09 02:38:18+00:00,2025-11-09 00:00:00+00:00,-10.976255,-12.61184,-13.35547,-12.794588,-13.697513,-13.57827,-14.156686,-14.466242,-14.466242,-13.768296,-13.296869,-12.964323,-13.972889,-13.880549,-13.254138,-12.394629,-10.126101,-10.519498,-10.713138,-11.145528,-11.294257,-11.747532,-12.075387,-12.368995,-13.857174,-14.287029,-14.421043,-14.458233,-14.515978,-14.679839,-14.732289,-14.843728,-15.150299,-15.018903,-15.281704,-15.203284,-14.865967,-14.794893,-14.884305,-14.780456,-12.352457,-11.169272,-10.411932,-9.242567,-8.062163,-7.3826857,-7.425142,-7.7116923,-9.29065,-5.225997,-5.716129,-5.7049975,-5.792102,-5.5898037,-5.061659,-5.061659,-4.9666066,-4.492455,-4.3807616,-4.1829906,-4.335667,-3.9259362,-4.189023,-3.83489,-3.4354334,-3.1289043,-3.050461,-3.9014816,-4.377144,-5.121856,-5.080147,-4.1568675,-4.0059013,-3.5177705,-2.1143968,-2.1564891,-2.1966908,-2.7130277,-2.9411404,-3.214902,-3.4430587,-3.6396964,-3.458627,-3.6396964,-3.6712353,-3.4683824,-3.6385355,-3.4252386,-3.1909268,-3.2174926,-3.2310328,-3.5487394,-3.7284036,-3.761502,-3.5477245,-2.8990917,-3.344989,-3.888523,-3.915159,-3.9498413,-4.0832267,-4.172155,-4.0314245,-4.043564,-3.9755702,-4.2006664,-4.5486717,-5.0562425,-5.5875688,-5.8589377,-5.747488,-5.1793556,-5.2404003,-5.1956887,-5.306663,-5.914548,-7.3522296,-7.6099954,-6.8136044,-6.331959,-5.801638,-5.604909,-5.087608,-4.6306787,-4.492397,-4.4586897,-3.918547,-3.1690423,-1.994561,-0.9935825,-0.24695475,0.3417165,0.8702181,1.1617465,1.4309746,1.199279,0.14439489,-1.8724544,-3.4152725,-3.9866776,-4.2104197,-4.8327293,-5.8770423,-6.9997344,-8.423087,-9.978566,-10.964854,-12.149378,-12.851704,-12.942978,-13.004195,-13.122904,-13.209832,-13.353254,-13.687477,-14.123753,-14.301567,-14.52707,-14.52707,-14.763399,-14.765584,-14.832341,-15.179402,-15.295399,-15.045676,-14.925466,-14.057347,-12.89734
2025-11-10 02:30:08+00:00,2025-11-10 00:00:00+00:00,-11.637532,-13.249186,-13.126569,-12.910369,-12.912567,-13.192597,-13.791907,-14.245784,-14.023047,-14.379438,-14.298636,-13.990378,-16.021208,-14.506022,-14.416351,-14.526687,-11.266388,-10.840486,-10.254801,-8.773413,-8.260348,-7.5774646,-7.876185,-8.44072,-9.899858,-9.821645,-9.940501,-9.771611,-8.422232,-7.565981,-6.3675046,-6.644883,-7.9300714,-7.209681,-6.9604044,-6.822469,-6.1693683,-6.3581133,-6.3581133,-5.7688484,-4.4143405,-3.7684042,-3.4733675,-2.5194004,-3.4019141,-4.0509677,-4.0931067,-3.209278,-4.845508,-2.5105813,-1.9653307,-1.6846837,-1.7018154,-2.2073128,-2.3884904,-2.355537,-2.761599,-2.8539758,-3.1718338,-3.080664,-3.1726117,-3.1726117,-3.2351391,-3.080664,-3.3004181,-3.5052896,-3.476959,-3.5723307,-3.6725268,-4.1036077,-3.932545,-3.505421,-3.6502244,-3.6604953,-3.970657,-3.970657,-4.135967,-3.970657,-3.7275536,-4.0592847,-3.9943025,-4.3577776,-4.695959,-4.955141,-5.2261605,-5.2699556,-5.549516,-4.9099736,-5.237491,-5.443706,-5.3126945,-5.0448146,-4.4452305,-4.287983,-4.5624533,-3.4759429,-2.8706481,-2.5533636,-2.303303,-2.2456043,-1.7724926,-2.4584794,-1.3104937,0.006429216,-0.42957616,-1.1413138,-0.8937071,-0.06841202,0.21176013,0.14439489,0.09836178,-0.6910914,1.6541327,2.4438107,0.9074795,-0.9344504,-4.2684655,-7.6576715,-9.070959,-8.2451515,-6.735287,-3.867892,-1.7425314,-1.2131387,-1.5440477,-2.0382822,-2.8559458,-3.6118674,-4.3878036,-5.3933597,-6.8078847,-8.593853,-10.205779,-11.075182,-11.304039,-11.599306,-12.01156,-12.895609,-14.28128,-15.634351,-17.025156,-17.622509,-17.397469,-15.79008,-14.967373,-13.973598,-12.59048,-11.830023,-11.101958,-10.939369,-10.66329,-10.75289,-11.258266,-11.441364,-11.441144,-11.137513,-10.970773,-10.623872,-10.29972,-9.908139,-9.422769,-9.204808,-9.076417,-8.629115,-8.410762,-7.62821,-6.423752,-5.7257442
2025-11-11 02:19:35+00:00,2025-11-11 00:00:00+00:00,-3.849159,-6.944064,-6.54178,-5.85801,-5.8146396,-6.369207,-6.464606,-7.5901175,-7.752464,-7.1994524,-6.958466,-6.8797293,-6.4966984,-6.2270584,-6.7345786,-5.811882,-3.9569418,-3.1847143,-2.4537582,-1.8012545,-1.959097,-1.5713168,-0.7881101,-1.6416675,-3.6175518,-2.9971182,-2.9725227,-3.3865707,-4.330607,-4.476239,-3.9144228,-4.125064,-4.5643153,-4.9817076,-4.945224,-5.1200533,-5.4399624,-5.6919456,-5.9415617,-5.3462086,-2.9900813,-2.5386922,-2.3390186,-2.5646937,-2.4699523,-2.5208285,-2.4768593,-2.4058983,-2.7547507,-4.151589,-4.180623,-4.573036,-4.4427376,-4.5738106,-4.283135,-4.1809664,-4.2808704,-4.2999244,-4.5158415,-4.876094,-5.4165835,-5.6868773,-5.7231116,-5.463818,-5.511384,-5.830999,-5.644075,-5.6744204,-5.473412,-5.093833,-4.9673333,-4.2319174,-4.703607,-4.224977,-4.312998,-4.3126335,-3.4497955,-3.4152725,-3.4601445,-3.6845179,-3.9537969,-3.9305556,-3.9755702,-4.047155,-4.1869903,-3.971696,-4.0462623,-3.7429056,-3.6456652,-3.7620392,-3.2970352,-3.2198758,-2.8557897,-2.9229324,-2.354541,-1.1367484,-0.7674435,-0.5569178,-0.33736417,-0.377732,-0.3134276,-0.18586612,0.16419865,0.23633637,-0.1361772,-0.008310133,0.05008406,0.14884107,0.30395815,0.23231146,0.062341236,0.09826307,0.07127711,-0.01727139,-0.14934118,-0.5006074,-0.84007615,-0.91552526,-0.9288578,-1.0802059,-0.9387927,-1.1014366,-1.0446757,-1.2423501,-1.4224622,-1.5360264,-1.6266508,-1.6454424,-1.3570276,-1.3268223,-1.5308856,-1.6448221,-1.6679777,-1.5997248,-1.5521232,-1.2878578,-0.9390057,-0.6950281,-0.6382602,-0.5876217,-0.87471354,-1.0155472,-0.9232794,-1.0710655,-1.1916375,-1.3041289,-1.3005528,-1.3179554,-1.3080515,-1.4982321,-1.421323,-1.3602498,-1.3617233,-1.4871439,-1.820945,-2.3137982,-2.7134647,-3.3302202,-4.0878806,-4.6461735,-4.7483273,-4.5384936,-4.458355,-4.2231092,-4.252702,-4.029659,-3.8640325,-3.9113278
2025-11-12 02:22:27+00:00,2025-11-12 00:00:00+00:00,-4.942733,-5.1502395,-3.8843699,-4.847348,-4.847348,-4.76462,-3.9872758,-3.5986142,-3.4273133,-3.6133654,-3.5027924,-4.1929317,-5.072789,-5.072789,-5.0701604,-4.658927,-2.7736082,-2.4511812,-2.3951404,-2.5140786,-3.3434227,-3.1701806,-3.1052501,-2.7846587,-3.804937,-4.0412564,-5.1621976,-5.027729,-5.1327353,-5.447108,-5.7889276,-5.1911335,-4.6138926,-4.990512,-5.09826,-4.3844733,-4.2857738,-4.668336,-4.96082,-5.210474,-2.954702,-2.7096283,-2.450324,-2.3661506,-2.691839,-2.832226,-2.9339907,-4.3715158,-5.501668,-3.920333,-3.564946,-3.7826867,-3.638645,-3.5392652,-3.370403,-3.3603282,-3.3255327,-3.368097,-3.1481433,-3.3517933,-3.214902,-3.2853844,-3.3311331,-3.1429064,-3.0485575,-2.6791162,-2.696062,-2.5513,-2.0970798,-2.2426016,-1.9055527,-1.3016465,-1.4438928,-1.3137445,-1.0384035,-0.37599665,0.02853707,0.2852137,0.689486,1.2238883,1.734431,2.2990363,2.1248665,1.8973061,1.8496534,2.0149634,1.6206679,1.8263662,2.142208,1.7550725,1.3490479,1.0606066,0.7376196,0.3670667,0.09898941,0.24804239,0.16794185,-0.022838969,0.06830499,-0.014099193,-0.25071144,-0.8748318,-1.3290136,-1.8379925,-2.031537,-2.448115,-2.4944043,-2.5119321,-2.450644,-1.882206,-1.752091,-1.3570276,-1.3373656,-1.3002057,-1.0712203,-1.5250106,-2.0187795,-1.3211586,1.3382976,3.766613,4.975641,5.1701756,4.805817,4.489232,4.1462445,3.922633,3.5582428,3.3632188,3.3060813,3.1422513,3.1422513,2.9965029,3.0793505,3.2382228,3.4372773,3.535144,3.2879968,2.6282363,1.9584327,1.4623617,1.2832301,1.0932738,1.0932738,1.3298767,1.4072641,1.5122947,1.4844847,1.4684181,1.359739,1.3327594,1.1942141,1.1965593,1.2441282,1.1959066,1.003978,0.66091806,0.30751237,0.020506954,-0.06547939,-0.08813891,-0.4156652,-0.9794149,-2.379896,-3.2310328,-3.895326,-4.2334437,-4.007347,-3.2617881
2025-11-13 02:40:24+00:00,2025-11-13 00:00:00+00:00,-2.6371706,-3.5156624,-4.6388135,-4.647607,-4.7437167,-3.6632905,-3.5589032,-2.9765098,-3.4502952,-3.6231618,-3.9389822,-4.357681,-4.5157933,-5.609475,-6.236084,-5.9109488,-3.6359375,-2.8398347,-2.5921812,-2.2990305,-2.0157607,-1.9656055,-1.9656055,-2.4975643,-4.908559,-5.178997,-5.2956653,-4.9381957,-5.251175,-5.3563676,-5.2481165,-4.783477,-4.9646487,-5.0760903,-5.4483294,-5.8746457,-6.0436096,-5.997814,-5.9622707,-6.0367255,-3.8028486,-2.6568792,-1.9174505,-1.4731823,-2.0528612,-2.433188,-2.3469787,-2.5764792,-3.0075455,-1.3483278,-0.9703288,0.14349958,0.5126287,0.02853707,-0.20050912,0.05050341,0.41254517,0.6639347,0.6193074,0.56966156,0.27226594,0.095408745,0.37656006,0.61736524,0.6517185,0.76135683,0.48518103,0.38678145,-0.019051395,-0.51800907,-0.7075866,-0.6500904,-0.9165278,-0.87781185,-1.0712203,-0.9532569,-0.78296053,-0.042000994,0.6463318,0.99563843,1.2711095,1.365549,1.3183303,1.4397784,1.3807453,1.4372772,1.1959066,1.1348119,0.9938735,1.0499811,0.78877336,0.8287416,0.6211299,0.41344,0.4584985,0.8038785,0.5159055,0.5620416,0.44294864,0.51298696,1.0324956,1.3249002,1.5925107,1.5352583,1.7901355,2.1120565,2.5717325,2.8847284,2.8989944,3.0082948,3.000536,3.185831,3.287019,3.2508802,2.876304,2.4922702,1.6501138,1.2832301,1.2541077,1.5594217,1.8739341,1.8987923,1.9167622,1.8304288,1.6766357,1.5490232,1.3866667,1.2527646,1.0559275,0.85908777,0.56382394,0.31776607,0.17012914,0.22949536,0.43504518,0.6130347,0.67456937,0.61739165,0.44162256,0.08521761,-0.36081913,-0.658661,-0.7370253,-0.8746728,-0.97448784,-1.130834,-1.2141061,-1.2219421,-1.010164,-0.40983546,-0.13589352,-0.017561894,-0.15499218,-0.15162902,-0.25675836,-0.24248968,-0.30778968,-0.21058604,-0.048373837,0.21837057,0.32496884,0.5894463,0.38408026,0.05008406,-0.5461708,-0.8419454,-0.9207696,-0.5621718
2025-11-14 02:23:27+00:00,2025-11-14 00:00:00+00:00,-4.104616,-6.360711,-6.306087,-6.0521474,-6.0495405,-6.4972725,-6.843434,-5.6030836,-6.085798,-6.0521474,-5.788696,-6.00666,-6.4195385,-6.231923,-6.2785654,-5.804889,-4.2308116,-3.1157691,-2.5140786,-1.4857876,-1.3522505,-1.3559242,-0.7587957,-1.1143742,-1.4137555,-2.1645198,-0.8095406,-0.6962768,-0.6842795,-1.084306,-0.8753923,-0.7134902,0.2396593,0.018788043,-0.5486664,-0.092225336,0.024517424,-0.660164,-0.7434782,0.12240501,2.6715941,2.7704992,2.418726,2.1948426,1.4089909,0.15928033,-0.65732694,-1.2276397,-3.0485296,-1.0064393,-0.965399,-0.9532569,-0.8288947,-1.0531524,-0.9045652,-1.0722483,-0.9279099,-0.9209375,-1.0722483,-1.1985505,-1.1916375,-0.9904992,-0.77349263,-0.27889434,-0.34690607,-0.40804556,-0.5697662,-0.5634039,-0.42207867,-0.06254915,-0.017610794,0.20504093,0.23487459,0.18151231,0.5592317,0.95667577,1.5093006,1.9364084,2.0058253,2.70733,3.4589508,3.749234,4.6095595,4.6145396,3.971701,3.6282268,3.0082948,2.333148,2.4096246,2.6038578,3.0211587,2.7172697,2.4918616,2.4846575,2.3393378,2.2321377,2.3598604,2.499601,2.446796,2.529018,2.383799,2.2364042,2.0378184,1.8888782,1.6395092,1.3909712,1.2882736,1.1887387,0.8901326,0.740829,0.44222042,1.3380411,1.6271964,1.5490232,1.3445175,1.0521239,0.77137023,0.56478256,0.5172885,0.6105294,0.6423342,0.61292636,0.28088653,0.18317385,0.30457652,0.22681564,-0.14543112,-1.6539972,-4.329821,-6.502321,-7.185561,-6.8678493,-6.300622,-5.5273323,-4.3625355,-3.5196671,-2.599457,-1.8686328,-1.5045233,-2.204331,-3.5592673,-5.155336,-6.452888,-7.390138,-7.4574823,-6.8219004,-5.6266074,-4.5936027,-3.7796836,-3.1854243,-2.6629443,-2.2034786,-1.6860284,-1.3967135,-1.1862272,-1.0873615,-1.040409,-1.2857258,-1.7816924,-2.1520803,-2.445207,-2.807695,-3.299475,-3.8164504,-4.2723675,-4.438635,-3.938687,-2.9256172
